biz.paluch.visualizr	visualizr	1.0		addbffc22b90edae36f64790d3b55fe9b4a23ff2
ch.epfl.lamp	dotty-language-server_0.17	0.17.0		7bce3b4d4c84f68efec9d795befe17d54e37616c
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-RC1		37cd136b3e65ac5abef52132bbeb54c689438f61
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190608-ed8c6ee-NIGHTLY		afa7f0a5799a446f7105d9a738add6b3288d841d
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190609-74ec0ca-NIGHTLY		5358a027e73399fd5c1eaa1d50b242078803d804
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190610-5188531-NIGHTLY		9f75fb57cce63ffa720748c32b58a32d124c5134
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190611-af94cfc-NIGHTLY		2d7730b789d2e04e49eae0ce022aab79c54905d4
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190612-401742a-NIGHTLY		fd2fb6b318097a8a452950669fd04ca8c8b0bb87
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190614-655fbfe-NIGHTLY		d94554b9bffc29846e57fd9f80b1f8019892ef7e
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190615-eb27b4a-NIGHTLY		94565f71db31385048cf947edf4567b0c7237717
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190617-de5443f-NIGHTLY		17c546d50845054b2f5a684ddca3834133f97062
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190618-dc62333-NIGHTLY		ffcc89dfdacbb213a1313bf1b94ca3bf0773f383
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190619-0a67182-NIGHTLY		d21e74ba24192639a5109bf09b7743a31351e031
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190620-aef831a-NIGHTLY		0d2313245d2732e8ee49e2476edc4c5a3d2fdb18
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190621-b8ed0df-NIGHTLY		7ad9660adeb7ec0c8d22b4c03b05a434ba6b7edc
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190622-b5a6963-NIGHTLY		2d648456d8a546f3f756083c2ef9cfcbb1d15315
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190623-49c4a12-NIGHTLY		bf797fec02997a1e37df8ff9782563f0c707c0b1
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190624-1268474-NIGHTLY		45c7ec42642abed24194ea46fbb59be2d0e9c000
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190625-10526a7-NIGHTLY		2fd395cc04e816c180dfba164d97ab0e7622329b
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190626-42c422b-NIGHTLY		b5436eb5d5adc2d4fdd94090bda28a30810f2c7f
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190627-c3dbd50-NIGHTLY		be97ba155de8d3e465ee504ca253322da118cc20
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190704-3c99306-NIGHTLY		178941363968dfe2758e2479817acbc5ff15f9bd
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190704-dc0f865-NIGHTLY		7df05736a2122c3571851c2d30f6f7d4230f9f2a
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190705-2b7cf02-NIGHTLY		6b0f3e31086f5c88b8130e0750728953ac8e78d0
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190708-dfa1a91-NIGHTLY		43b2f16d5badd9dfa1184c0eedf1b3915e878853
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190709-bbc0df7-NIGHTLY		0b60c24c74feb05733d1b6196a24beba91cfad72
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190710-9375804-NIGHTLY		9922ce5e8622df3a6a1098ca6c2c652f98415cf4
ch.epfl.lamp	dotty-language-server_0.17	0.17.0-bin-20190711-e2130b9-NIGHTLY		380fb587f5741aa77c98242478ec658beca657df
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha01		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha02		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha03		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha04		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha05		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha06		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-alpha07		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-beta01		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-beta02		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-beta03		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-dev12		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-dev13		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-dev14		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.0.0-rc03		N/A
com.apollographql.apollo3	apollo-mpp-utils-iosarm64	3.1.0		N/A
