br.com.entelgy	zucchini-liferay	1.0.0		9d300e1e1ceddb35f094c3d41fede42e4b9fd60d
br.dev.dig.logger.printer	android-log-ktx	1.2.0		N/A
br.dev.dig.logger.printer	android-log-ktx	1.3.0		N/A
cn.numeron	reinforecer	1.0.1		6258e755b3fe17a6df2f5b4cd471978cd74d1bbf
com.almende.eve	eve-transport-xmpp	3.0.0		52a064df9d07b998322356c5dbd861c2ff4ce547
com.almende.eve	eve-transport-xmpp	3.1.0		a6480d693875104c844ac410804ef045cfc39556
com.almende.eve	eve-transport-xmpp	3.1.1		34e2698bd908cf181c353accfd6523ffd8211489
com.azure.resourcemanager	azure-resourcemanager-quota	1.0.0		ccdf4368cdf14f253edf745397870c6c7a813baa
com.azure.resourcemanager	azure-resourcemanager-quota	1.0.0-beta.1		e1ab348e0021f66f0e2e8b46334286e051f53c77
com.azure.resourcemanager	azure-resourcemanager-quota	1.0.0-beta.2		0d83c7efdd5596136f5ed513ed114a014b2bf9fe
com.azure.resourcemanager	azure-resourcemanager-quota	1.0.0-beta.3		9e429960d998e303d5f4030740f4299c7c316985
com.azure.resourcemanager	azure-resourcemanager-quota	1.1.0		fc1b457f6220880eed081e7a77a196a11e93bdcc
com.azure.resourcemanager	azure-resourcemanager-quota	1.1.0-beta.1		ddf2c540fd7235493820335fe6a04788311f5172
com.azure.resourcemanager	azure-resourcemanager-quota	1.1.0-beta.2		a7c5f9d098d99c83456f896f7e3370682ae9c877
com.azure.resourcemanager	azure-resourcemanager-quota	1.1.0-beta.3		ffb88fb14f1bfb5f69e0dad9da8214a7c1453961
com.coviu	coviu-sdk-auth	0.1.0		efdd97295da2aae353c66799f89cad355a20109b
com.coxautodata	spark-distcp_2.12	0.1		7d74c3ffb71d8d84b9035ca2b46d91f6f215c0a7
com.coxautodata	spark-distcp_2.12	0.2		cbb0e8cdeba34c5b4541d356457f224c16b76ae2
com.coxautodata	spark-distcp_2.12	0.2.1		3ff88e8aac83b8c5c5588788e283bc920e083634
com.coxautodata	spark-distcp_2.12	0.2.2		54a8c55bacfd32d4cc3fc68bea2a744ad2d5dff2
com.coxautodata	spark-distcp_2.12	0.2.3		a492ec04bd8eb20d309a3e21a37b50d3b14a010b
com.coxautodata	spark-distcp_2.12	0.2.4		5406a4944be6af56e0ec014988b3b9785fa0fd12
com.coxautodata	spark-distcp_2.12	0.2.5		983e45fa096ba77c5398b899efe04074ce425bbf
com.coxautodata	spark-distcp_2.12	0.2.5	assembly	578cb8a204d1fb0871111e1d454d339f79bf495c
com.daftmobile	efekt-datetime-jvm	1.0.0		651838721246ff3d50c04437970e1855fba3bba9
com.eed3si9n	sbt-projectmatrix_2.12_1.0	0.10.0		fe32e487a5caeb2ede0a2d3a71421aa58d90ba58
com.eed3si9n	sbt-projectmatrix_2.12_1.0	0.10.1		f0e9a22b19f3a20a6e11b9850772a714657410de
com.eed3si9n	sbt-projectmatrix_2.12_1.0	0.11.0		2ad86fc92e4e7b3a9f34c21a7a2c55474441c1ae
com.eed3si9n	sbt-projectmatrix_2.12_1.0	0.9.1		ebddd30011ad88bc46258ee9259c219938dc30ca
com.eed3si9n	sbt-projectmatrix_2.12_1.0	0.9.2		3bbd2f04f17c6436b2d81948834fb0e7c560db60
com.factset.sdk	contentfeedsdatadictionary	0.20.0		2489237bc51d68757d33eb1be10b4148737df46c
com.factset.sdk	contentfeedsdatadictionary	0.21.0		fd789d184615d7aba4b86caf1ed66c7bdca05906
com.factset.sdk	contentfeedsdatadictionary	0.21.1		51b2acad5dcd4be34162c233aa273c1db175295e
com.factset.sdk	contentfeedsdatadictionary	0.21.10		53b0124017583f9148e195a7174027d4979f24a9
com.factset.sdk	contentfeedsdatadictionary	0.21.11		5014ade60062b37d4007680237bf198b6c9ae692
com.factset.sdk	contentfeedsdatadictionary	0.21.12		bff2200b61e8667389a985a543fd88f5bc92a29b
com.factset.sdk	contentfeedsdatadictionary	0.21.2		b9aac134ce515caa743bd92b7b150b35ff6740c1
com.factset.sdk	contentfeedsdatadictionary	0.21.3		09dc1a7a75ee5cc2290e496229401ec05004670c
com.factset.sdk	contentfeedsdatadictionary	0.21.4		5936cb6f8bde7e6827324376c7d45f6d9a22d0a7
com.factset.sdk	contentfeedsdatadictionary	0.21.5		a077b61c87269977990faf843408c8bb1f31a240
com.factset.sdk	contentfeedsdatadictionary	0.21.6		5994700f319a9dd0a0586681672d98ab453c2a11
com.factset.sdk	contentfeedsdatadictionary	0.21.7		4ef1a9bce354c09a89af10033e55428d3a088ad0
com.factset.sdk	contentfeedsdatadictionary	0.21.8		eb20b1e2bbf7750acbc6871aab3abcdbd2087579
com.factset.sdk	contentfeedsdatadictionary	0.21.9		1beb11abbf7b5c6e1ee826cc7e9dddc71ce5f186
com.factset.sdk	contentfeedsdatadictionary	0.22.0		af825d235274be5d1b72a3e99f3a434df69996b4
com.factset.sdk	contentfeedsdatadictionary	0.22.1		cacbd1ef04eff2adb7fe9d271d60603a7d0df753
com.factset.sdk	contentfeedsdatadictionary	0.22.2		974cd0949ba2cb120f55f8b0946421827da7f408
com.flyqiu.common	flyqiu-common-spring-boot-starter	0.1.0		e9edae3ea7241b1bff582b57df02d6215c5bc158
com.flyqiu.common	flyqiu-common-spring-boot-starter	0.1.1		aa496d1cb8434fd8e004d4b0da4682ee7d4eb2dd
