avalon	avalon-activation	1.0		295b97d6be982750af6921dda4b1948eaa4e4662
co.touchlab	sqliter-driver-macosarm64	1.0.10		N/A
co.touchlab	sqliter-driver-macosarm64	1.0.10	metadata	b60d892b76b1e67b23a9e7d2dfb23f907c3a2446
co.touchlab	sqliter-driver-macosarm64	1.0.9		N/A
co.touchlab	sqliter-driver-macosarm64	1.0.9	metadata	60ca0398c16a4f0628d3b95f9a064faabb0fdf36
co.touchlab	sqliter-driver-macosarm64	1.1.0		N/A
co.touchlab	sqliter-driver-macosarm64	1.1.0	metadata	7109b94adad6e6390ff14ac307418381bbcd397c
co.touchlab	sqliter-driver-macosarm64	1.1.1		N/A
co.touchlab	sqliter-driver-macosarm64	1.1.1	metadata	a7e9e9b75d3edc337e12a6353d5b0efe2af0327e
co.touchlab	sqliter-driver-macosarm64	1.1.2		N/A
co.touchlab	sqliter-driver-macosarm64	1.1.2	metadata	c734dd5ef823b7e7a6ef3b6ec843203518e6627f
co.touchlab	sqliter-driver-macosarm64	1.2.0		N/A
co.touchlab	sqliter-driver-macosarm64	1.2.0	metadata	e1f19cbc287903739fa7ee500699636f0ee0a7c7
co.touchlab	sqliter-driver-macosarm64	1.2.1		N/A
co.touchlab	sqliter-driver-macosarm64	1.2.1	metadata	3f97d8f36d62f62160a0611de4451da333d200aa
co.touchlab	sqliter-driver-macosarm64	1.2.2		N/A
co.touchlab	sqliter-driver-macosarm64	1.2.2	metadata	a1bbead8ecfcbde75dbd14ae22310f9d60647e8c
co.touchlab	sqliter-driver-macosarm64	1.2.3		N/A
co.touchlab	sqliter-driver-macosarm64	1.2.3	metadata	98480e595bc0972d75b3e2161299b226101bae14
co.touchlab	sqliter-driver-macosarm64	1.3.1		N/A
co.touchlab	sqliter-driver-macosarm64	1.3.1	metadata	35a362366bfd52066a9fa7f20ad010263e2d22b1
co.touchlab	sqliter-driver-macosarm64	1.3.3		N/A
co.touchlab	sqliter-driver-macosarm64	1.3.3	metadata	53d5889039aee54f9b8882dde421dbb9b956241a
com.commsen.wedeploy	com.commsen.wedeploy.transport.rest.okhttp	0.1.0		031b6baea74a05401c8026e23f514c3a46de77f2
com.commsen.wedeploy	com.commsen.wedeploy.transport.rest.okhttp	1.0.0		4300da2d8e5305ebcd557fbcc273e9646b84d908
com.epam.deltix	SdmxSourceUtil	1.6.10		4e50a7e116ad59b2176300e53d62fb66232551dc
com.epam.deltix	SdmxSourceUtil	1.6.11		3fd3b09e0b269be61001ac1fccb60bd3a3052cfe
com.epam.deltix	SdmxSourceUtil	1.6.15		f80fb30a4bd072339bd9046c83579a0ae3acd182
com.epam.deltix	SdmxSourceUtil	1.6.17		d774fcbf8a8ad455c9f27ecc08415e26371dabfa
com.epam.deltix	SdmxSourceUtil	1.6.18		1fcc9f1a64631df803bf909e5e5a93ac1d6ed0df
com.epam.deltix	SdmxSourceUtil	1.6.19		98f0eaf1ef0621a29a3d47abe49f52307110b277
com.epam.deltix	SdmxSourceUtil	1.6.20		7ec7832e9ae71e05e8865ba266b2635286526e05
com.epam.deltix	SdmxSourceUtil	1.6.21		e0f363013d0c7d8dcd20a75602af732518f1997f
com.epam.deltix	SdmxSourceUtil	1.6.22		8e6a6d300b1bd3f7e137d9a4192ba89cabad042b
com.epam.deltix	SdmxSourceUtil	1.6.23		097da6ae10dad66d576c62b1ca068d7e7e53c558
com.epam.deltix	SdmxSourceUtil	1.6.24		659e520ad9b6de3b26e882ad7bbb6b035ce8b9f5
com.epam.deltix	SdmxSourceUtil	1.6.25		bafe449af883042b91ba5627910e52f398ded53d
com.epam.deltix	SdmxSourceUtil	1.6.26		7126c8f0870e4044007aae79c3f1543df983b192
com.epam.deltix	SdmxSourceUtil	1.6.27		1959d7f2c1bf71e8cd9599eada6bdd5f3d1d250d
com.epam.deltix	SdmxSourceUtil	1.6.8		c52aac8fdee4f87055e07ad331e1b348aff90e7b
com.epam.deltix	SdmxSourceUtil	1.6.9		02994b240bede3cba150f95c24a807e5eb716a37
com.epam.deltix	SdmxSourceUtil	1.7.0		58054c963358d9efbea6a3244c5487eae27f9e55
com.epam.deltix	SdmxSourceUtil	1.7.1		d80e5381875b1bc19ca960e72f477bfacf5ff97f
com.epam.deltix	SdmxSourceUtil	1.7.12		3d5b1ba2960c14b97fc4ef6e4b1c973aec7be133
com.epam.deltix	SdmxSourceUtil	1.7.13		56293670866d8cd30e40b31ec2248a43b9260bf1
com.epam.deltix	SdmxSourceUtil	1.7.14		ed6ffe4288f817b410d7b4ccc2cdf8a749423d20
com.epam.deltix	SdmxSourceUtil	1.7.15		e94046bfabf8f08e31d06df0d4887d0cbb9de7e4
com.epam.deltix	SdmxSourceUtil	1.7.16		494c79de92135183c5ed2162cc383e953ad144b5
com.epam.deltix	SdmxSourceUtil	1.7.17		c3c685248aae988cf7f1363ee3a5710d2795111f
com.epam.deltix	SdmxSourceUtil	1.7.2		cd61e63bee6f60903b270ac47f724b696ce84465
com.epam.deltix	SdmxSourceUtil	1.7.3		7e9d3a098bb065e29cd0024a40b0f8a843e6658f
com.epam.deltix	SdmxSourceUtil	1.7.4		93cd296e4ca5274b4f000c99443726e7af6fe791
com.epam.deltix	SdmxSourceUtil	1.7.5		86952455db063a73af81e8d452bf901314a9f394
com.epam.deltix	SdmxSourceUtil	1.7.6		258be2eadebac8536bd33b762939d0a1bb563f15
com.epam.deltix	SdmxSourceUtil	1.7.7		1912fe7d7dd219125f2796a24a6d99464df36c84
com.epam.deltix	SdmxSourceUtil	1.7.8		f33a5d4734de47e59ac70d54e2d0029e93f491fd
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.0.2-beta		6a038d84e04ae5d55baf190668d9190a4b675c41
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.0.2-beta2		cf183fcc6e15e17f4a9824f7cb074a535c81b9e1
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.0.2-beta3		930169c244063eaca5a85154bd571e4bb03154a3
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.0.2-beta4		d3ce155b50aed212fa2aa78911817fe5d4b4b6ae
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.0.2-beta5		1e2a0d387f16e139db3663b102457309e7ebc484
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.1.0-beta1		b5e0ca766db05a76bb0af646bb8bd20090820d15
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.1.1		8bd00a1f5aa777023ef1b2904b30fabc58d1d71a
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.2.4.1.RELEASE		087dc4b1f181885aba86de40eea378ed6fc3aa67
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.2.4.2023013001.RELEASE		67f7c2e17d3096c83c37b12558bf92d8e9d126f2
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.2.4.2024062001.RELEASE		18d1d87660919fb3a98a6ae1b0bfe630b1ee7dee
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	1.2.5.RELEASE		ccb02c65927af1d690e9a2846e4b8fcfc3edeb6b
com.gccloud	gc-starter-plugins-quartz-job-store-redis-native	2.3.5.RELEASE		8e7bcdf49f93f5b3539fdd57f4c89cd001c988a1
com.github.EmergentOrder	onnx-scala-proto_2.13	0.10.0		c5a5d0ab3fad6d6ced1c7aaf2fa11d68e59f4960
com.github.EmergentOrder	onnx-scala-proto_2.13	0.11.0		0f97ee31397bc4ab048e042bfdd4dcff9cfabe31
com.github.EmergentOrder	onnx-scala-proto_2.13	0.8.0		94a898354e1ba015a6ea5f792a2312b9f3b6c976
com.github.EmergentOrder	onnx-scala-proto_2.13	0.9.0		55e6aaf40799241a4ba3ef964b23bec5b1713d9a
com.github.apetrelli.gwtintegration	gwt-integration-mvp	1.0.0-alpha2		d70e08f5b8ec48dd8ab12abcf30459b173ca239c
com.github.apetrelli.gwtintegration	gwt-integration-mvp	1.0.0-alpha3		885136c5c2922717bd4fbc8ad9a60a6786386610
com.github.apetrelli.gwtintegration	gwt-integration-mvp	1.0.0-alpha4		fda9da6abf9e39473d1c921537be51f985ff1bbe
com.github.cafdataprocessing.workers.document	worker-document	7.0.0-1496		de87410e0c8b9e4c28de949454bb0af7083b6fb2
com.github.cafdataprocessing.workers.document	worker-document	7.1.0-1518		c0816a37df8bb8e53cd2c4426080ee9f8a1c2508
