cn.benma666	druid-spring-boot-starter	1.2.22		85b47248bf910ee503d4bce06f9096c923cf47e9
cocoon	cocoon-imageop	2.1.11		335fa652629617c771dab1f42ec28127023cac51
cocoon	cocoon-imageop	2.1.9		d1d81cdf7a6734c9a21ff448044d89a4f9e25207
com.agical.rmock	rmock-ext-tddoc	0.1.1		1bf21c5360bd3cfbdca5c315e36b403e95b92ec8
com.agical.rmock	rmock-ext-tddoc	2.0.0-rc-6		7c8b8788e1f1000523e76581d3e2edb6198626fa
com.angie910	angie910-support-demo	0.0.1		N/A
com.angie910	angie910-support-demo	0.0.1-RELEASE		N/A
com.angie910	angie910-support-demo	0.0.1-SNATSHOT		N/A
com.angie910	angie910-support-demo	0.0.2-SNATSHOT		N/A
com.angie910	angie910-support-demo	0.0.3		N/A
com.antkorwin	ioutils	0.1		f3da4b58cf27edb7fd074f8cafe9bc2fa1d418cc
com.antkorwin	ioutils	0.2		ae287c1765e7c7467e3d2a382d9446c1232881bd
com.antkorwin	ioutils	0.3		ec759e7af621bade4639eee1258e889f7f92bffb
com.antkorwin	ioutils	0.4		2ffe5e30fb70ca61c36dc4f7909d8cd467a4f141
com.antkorwin	ioutils	0.5		f24fde57c4d1cf491561593da9fb2af9c7fcf69b
com.antkorwin	ioutils	0.6		1936a97ab47c68c48d4f7f1b71d3431fd15ada59
com.antkorwin	ioutils	0.7		344337cdfa1c21724745226edb7c2db5e1522440
com.antkorwin	ioutils	0.8		96621c3a32695b353bdc9020d8c56a01070dda74
com.apicatalog	iridium-cbor-ld	0.1.0		b272d4ceeb78119a8019efde344fdbfb8d674cc3
com.apicatalog	iridium-cbor-ld	0.1.1		d8e6a7f218ecc1f1b5c996b7de0c90782a2d962c
com.apicatalog	iridium-cbor-ld	0.1.2		cafcb07529de51ad7e4d8daf6f48fc92ed3ee9a1
com.apicatalog	iridium-cbor-ld	0.1.3		1774fa274618b38e0614ca4199acc4ea464fd8fb
com.apicatalog	iridium-cbor-ld	0.2.0		4d88c9cd16dc203397b31a90415598cb655838c0
com.apicatalog	iridium-cbor-ld	0.2.2		26566f41566a6efcdd4cbf3d189ff0aedca4d5ca
com.apicatalog	iridium-cbor-ld	0.3.0		7b1213d0ddf0043b4fc2bf7946a150b8c30979ab
com.appnexus.opensdk.mediatedviews	appnexus-adconoly-mediation	2.2.0-2.2.1		N/A
com.appnexus.opensdk.mediatedviews	appnexus-adconoly-mediation	2.3.0-2.2.2		N/A
com.auryc	android-sdk	0.1.0		N/A
com.auryc	android-sdk	0.2.5		N/A
com.auryc	android-sdk	0.2.6		N/A
com.auryc	android-sdk	1.1.1		N/A
com.auryc	android-sdk	1.2.0		N/A
com.auryc	android-sdk	2.0.1		N/A
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.0.0		5ceb5b61154f929d813576902067085fd89104a2
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.0.0-beta.2		fc2ce7e92629ffff0b1148057411f35fc78d4597
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.0.0-beta.3		17b87ed88d912b0ee3f20e76a7c94c7495c0b878
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.1.0		bc613c1fe979b9ce887524a1c5e2b7d32f3da960
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.10.0		91d56131090fe65eeb3be3e43bf3904b81cd9c25
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.11.0		ed36826b6e0a080b828c82e1594eb005c9ce27bb
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.12.0		dabf2d4cd367713a4766a43f53e11c86fce2acfe
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.13.0		05699d7609c7341d7fe887fc2892c56e629532d3
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.14.0		be22da0d79e81125e2a0dcc3af1c1a5d33838c10
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.15.0		3d75b3a7670fb8e3baa6fcd2abfb8dba1ef7bff1
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.16.0		99d2db06ae2825276d0519ba0696a6a0568c3068
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.17.0		cc18873d18d8117c72250ce1eb670279ab3e188e
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.18.0		9e544c8936321ed4253712cdfd4b53f2be21be04
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.19.0		c3ba9a02581cd2fbe515d2e76734ccd398ce52a4
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.2.0		1187852d435f9bc9682ff1dff12c88ff7565b53a
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.20.0		da0f62f0722fa23e9fb30e96e63d6933751eb4ca
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.3.0		fd86a8a0f6ab36bcca6dcccbca7cf2d39ececd41
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.4.0		71876d9e6dc7c43e83ec03afa1e4f197ccd9a0c4
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.4.1		28e5c32f20f2731b7e1c8fca71af168c8a5a639c
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.5.0		d7c2524a4263f75893dfbca2d66bcbad5a89dafe
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.5.0-beta.1		04a1fd5c3d3f8f363a40895feefac2405d14d668
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.6.0		b95c9b87390ffb2b8f1fba27c004cb936ccffa13
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.7.0		7531d4277dcd3736a68346c5fd6c5ac0f7945e90
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.8.0		484fcc8ceecade90f9de00da780042598525bfc4
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.9.0		8a2e25fb4ff67af1bca24dfc64b9cf3249e8b000
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	4.9.0-beta.1		c985ba4def7f098c632be90426b8aec151b78e1c
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.0.0		30f90245284a88819777f4e38a854257a2103373
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.1.0		d33eed680d5238214a699450b2aef441428b32bb
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.10.0		51561a22b111f954903e5ed9da269747b43ee05a
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.11.0		509b2fe796783f4f2921c77212af2f9b3da9293f
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.12.0		b945432374dd30c347fcc1a63bbbc58793334849
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.12.0-beta.1		f11b0263cb187f4410c844d7e5844b50b5c51772
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.13.0		347023c4f7d84e8a1b047693cf2a63675806dd0f
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.14.0		aabae05555a27e9c1f1d8eec3d6e3522652e637a
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.15.0		766be1d66b1526bb18a2c957d2e6d1821c96e3d4
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.16.0		36c591eb6cc6f139bce8fa05544bab1175770851
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.17.0		ee33aca91bff89c2058c56fb32e1e94bd598c8df
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.17.1		0cde05c2651ccfda54158d5627f4f33484019830
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.18.0		490a480cd2c1b8d300405854064f6ad0f5ce51b9
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.19.0		17047fd7400dbed2355c946a3bc85fa504b01e42
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.2.0		926e4356ee3fb91ebcdd0ec306d4fc31905ff511
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.20.0		cea3ddeb34458dc9f917b129bb4261bc3815d894
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.20.1		bc3522d41209f37253fc543c444e671a686a2f88
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.21.0		5df51760b82e29906fea3ea99f16dfd447d8da42
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.22.0		c3478cdd4c88515d28bdd6d7ee126a032bfab34f
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.3.0		87d0f8f74bb16e67f3afd20c342899f69875f981
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.4.0		585738881b464313925df2536e9d8d8c4de52aba
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.5.0		0f96f3049f316b0e965e17b2b23f00a3e38e45f5
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.6.0		7b605436f82d7bc91f091cf06e5ad2b181de62df
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.7.0		15e9c1988582ee0bf53726053d10ba0d514592f7
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.8.0		ce9e6cbb7492cb8f44a2ffa06debe9bec84899c5
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.9.0		43a2dc635b3af85bba054b92400c1e6b4c282828
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	5.9.1		301f87ecf80a6e4600ede4a00a9253ceffd095e1
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	6.0.0-beta.2		6f46deb41a7a4a75b64d4b6a33f2541f50af2299
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	6.0.0-beta.3		a10bda5d0e232c39af8898a212c8367953fb05af
com.azure.spring	spring-cloud-azure-starter-stream-servicebus	6.0.0-beta.4		8c44e6e8bb1aab7bcc59f96c7dd0cf2f75de5f3b
com.citcon.sdk	sdk	3.1.2-alpha		N/A
com.fitbur.testify	level	0.0.1		N/A
com.fitbur.testify	level	0.0.2		N/A
com.fitbur.testify	level	0.0.3		N/A
com.fitbur.testify	level	0.0.4		N/A
com.fitbur.testify	level	0.0.5		N/A
com.fitbur.testify	level	0.0.6		N/A
com.fjordnet.groundcontrol	annotations	1.0.0		472550ab2d3556ff85be084a1a6610f8c50a2c1e
com.fjordnet.groundcontrol	annotations	1.0.1		27d1eb5ee760c12c218ac4f07810c506dbda517d
com.flozano.metrics	metrics-parent	0.2.1		N/A
com.flozano.metrics	metrics-parent	0.3.0		N/A
com.fudeco.hudson	gerrit	0.1		a655184b67e1c19e58876a911c971d1e86b12f38
com.fudeco.hudson	gerrit	0.1.1		b204a7ed517b80e6267e9bbcbe59d26b9abb2ada
com.fudeco.hudson	gerrit	0.2		9f08cc2b4cc2979bac86b80cc4158b1bdc1f83ed
com.fudeco.hudson	gerrit	0.3		8733583cfa054085c33cdaa5a132c39bd0183444
com.github.afarion1	command-handler	0.1.0		6ff1b7326478f8111340cc45980cdd0976aa224d
com.github.afarion1	command-handler	0.1.1		af82311dbaef6822e3bf0f0bd278bfc958614939
com.github.afarion1	command-handler	0.1.2		4d67d43afe43dbf4fb47e927a37175c6580e333b
com.github.fracpete	debian-maven-plugin	1.0.10		14ef1ac72fc2198a9d8e43b88051b5715610c541
com.github.fracpete	debian-maven-plugin	1.0.11		48ad1f0fac114ffe9cbe632ce8e9d5a5efdd65d5
com.github.fracpete	debian-maven-plugin	1.0.12		e63fca6fd57f2b53ec3317334d435c8436b96ca6
com.github.fracpete	debian-maven-plugin	1.0.13		1c948a765c76d2c9a5bf1da05d8d3f8c8bdd4a2f
com.github.fracpete	debian-maven-plugin	1.0.14		3af931c0b55fdb7fdc3cbaa0a9edc1e2fc1639af
com.github.fracpete	debian-maven-plugin	1.0.15		58201244c570cd7058e2c2c261157c40b39e89be
com.github.fracpete	debian-maven-plugin	1.0.16		16292841abf2fbf4d1d6a74651bc439b75b16216
com.github.fracpete	debian-maven-plugin	1.0.17		391685fb32b104d310277a48d6719b16b685ccc2
com.github.fracpete	debian-maven-plugin	1.0.18		c519c807230d034e86227c2c356791a35fe27f87
com.github.fracpete	debian-maven-plugin	1.0.19		e198c97904467f471cf55fb04512ffe83d0c9316
com.github.fracpete	debian-maven-plugin	1.0.20		c97f5e8fa6b9c12d654f9f5ba81537c0c5c918ae
com.github.fracpete	debian-maven-plugin	1.0.21		e29c8bfe9f0e6908277c69c3cfb24c65a57b04a6
com.github.fracpete	debian-maven-plugin	1.0.22		50764d68f43e82b9fd7d0b866bc303fcd4b220ff
com.github.fracpete	debian-maven-plugin	1.0.23		569e2acd4967160fc167837f83dbe851acbc9db0
com.github.fracpete	debian-maven-plugin	1.0.24		fa2df0ebb7831a512e567f9de6ed5555a514a774
com.github.fracpete	debian-maven-plugin	1.0.7		c460b30c38cc44a63cb34d6b139e91a888a562ba
com.github.fracpete	debian-maven-plugin	1.0.8		f087866847b33b8bb9ae081f2d74861be9138fd7
com.github.fracpete	debian-maven-plugin	1.0.9		5449d9424bce3cc2baef0bd161d3ead94fb6052a
com.github.kxbmap	sbt-jooq-codegen-tool	0.7.0		cc460dd6f1dadec14c0a873ab01ab38440fab6db
com.github.kxbmap	sbt-jooq-codegen-tool	0.7.1		2b14995ddc56fe4306796627d62dded116752efe
com.github.tommyettinger	textratypist	0.1.0		7852fe478f6a94476ebd95ec245657f424abe553
com.github.tommyettinger	textratypist	0.1.1		d145bdfef2e6b1f312f347d61129c15557185503
com.github.tommyettinger	textratypist	0.1.2		93a7d7cc51c37bc3c6bb91d1361af719f0fc4dbd
com.github.tommyettinger	textratypist	0.1.3		ad9638749d44bcbcfb12bac0f58fd7cf627f6c69
com.github.tommyettinger	textratypist	0.1.4		36468c3fb91f9918fbc46ffb795102f4b9fc9a72
com.github.tommyettinger	textratypist	0.1.5		fbb9dcdf098cb394930f684858429dd73906bfc1
com.github.tommyettinger	textratypist	0.1.6		50b723b43c7d9a7ba2df39d7b80f55ff11026dc9
com.github.tommyettinger	textratypist	0.10.0		3529299127e562724cc9dfff92cdc5a912fff38f
com.github.tommyettinger	textratypist	0.2.0		3e285ae9ead8808211fa7b7c88b2f9c34074715d
com.github.tommyettinger	textratypist	0.2.1		69d2a0b80dad32d0f26ad41871f4fc7282528c4e
com.github.tommyettinger	textratypist	0.3.0		b92581c0fbe4d25670a2d5caf99c348af8cdd8b5
com.github.tommyettinger	textratypist	0.4.0		ef1c1852b1cee025729cd4c3d2d014daecfbab55
com.github.tommyettinger	textratypist	0.5.0		015bc242fe2488cef9688446802688ce20603e04
com.github.tommyettinger	textratypist	0.5.1		a0e043a75f2c31df7c0af2c7b8ea7e4ed78d4d59
com.github.tommyettinger	textratypist	0.5.2		a91e9d0d3fedda7fcf4e610d13e86a39061918da
com.github.tommyettinger	textratypist	0.5.3		1dd65fed5420759bb82b38105ca75a808e28295e
com.github.tommyettinger	textratypist	0.5.4		86724fd3fff16ef9740a3999bdded9d55a67e733
com.github.tommyettinger	textratypist	0.5.5		cc356fab849ec55c437a517d74114745ea703775
com.github.tommyettinger	textratypist	0.6.0		87e4a231c163b0629224de91761f125886aecd59
com.github.tommyettinger	textratypist	0.6.1		f7d0759ee2a4c782354536118f7373fada0a8908
com.github.tommyettinger	textratypist	0.6.2		e52af6669fe22ea3854352b5e797486280a84a0b
com.github.tommyettinger	textratypist	0.6.3		1ff5f8c1e2aef0a649e67d6fad4b4b6a926a8de5
com.github.tommyettinger	textratypist	0.7.0		845fc215ca7111bfb6e25269301b8396f8c0a957
com.github.tommyettinger	textratypist	0.7.1		00634945a0dae1bab95273b942cf1d105d468db0
com.github.tommyettinger	textratypist	0.7.2		625e99a18de60cf935c45335376cf6178aa2b09f
com.github.tommyettinger	textratypist	0.7.3		37a64cc4e437c65000fd2ba6d00cbd4279438b92
com.github.tommyettinger	textratypist	0.7.4		b49ea9cb9e59cfb5e001139216fddc3a3bfb10db
com.github.tommyettinger	textratypist	0.7.5		08dde82de0bae4f5aa494fba2c485138ca536ff2
com.github.tommyettinger	textratypist	0.7.6		e5c50bafc86fc91d964b6c4bd8d3097f12337799
com.github.tommyettinger	textratypist	0.7.7		3eca7ac7dd3e5cb2b58c71280c254e2dc0c43d49
com.github.tommyettinger	textratypist	0.7.8		0056e0884db18f9a470e288a6fdc00c954d378d6
com.github.tommyettinger	textratypist	0.7.9		efcbf5a5b3555a53eb167dec182c7323ef4d32b1
com.github.tommyettinger	textratypist	0.8.0		e4f0b92f45071b27fe3b7a09d81f3e00fe07ff08
com.github.tommyettinger	textratypist	0.8.1		347b082dd8c67fc03d026384838f041ef9d33add
com.github.tommyettinger	textratypist	0.8.2		5e21e24fc23b72142b27435de42f3ebea4823826
com.github.tommyettinger	textratypist	0.8.3		b93c2f33651c49015a8da10d8149b3472b4c7312
com.github.tommyettinger	textratypist	0.9.0		ac5856011317637fc5e13246cbf2a0a91d711ddc
com.github.tommyettinger	textratypist	0.9.0-a1		380b3d8afa502762d03d95ef6eea1049a340fedc
com.github.tommyettinger	textratypist	0.9.0-a2		9cfe6b1a1ef4f52613a2166319c833ebd3240870
com.github.tommyettinger	textratypist	0.9.0-a3		9bf6503e79d5762429dc6a51633f9cbe4a7ad1df
com.github.tommyettinger	textratypist	1.0.0		c0b13611b760815c7d56f9fc1774e07943824594
com.github.tommyettinger	textratypist	1.1.0		61c68f7f5e441ecf6b6addb1e96f0517d04baa75
com.github.tommyettinger	textratypist	2.0.0		0d94fef416844c479a38a66c9b54e5603c336252
com.github.tommyettinger	textratypist	2.0.1		11e95a220f10d6f86a3668516d57313bfc73d55d
com.github.tommyettinger	textratypist	2.0.2		3692c2c316448453c7098fd360518383253dae6e
com.github.tommyettinger	textratypist	2.0.3		51a9f1f98501a479f7bc7e5d83ac5df3ecc921d6
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b1		dd2ceb04df08505a0f10613a2ad1fd6c0ac65d69
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b2		7725fc6618ba8a3a8e19042fec1d15368bc13f75
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b3		8e37e4f9ec64c4876ad8e584cd81af6654b3e170
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b4		afc9ceaaafa078f3728eaa1c90b74d91b2eeb9da
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b5		ba8e560a77d4b2e0a1b758af2a5da1ed30c97e8c
com.github.xpenatan.gdx-teavm	gdx-box2d-teavm	1.0.0-b6		f8239f124cc991b329d9cc3a1783b2cb556a4727
com.goldmansachs.obevo	obevo-db-mysql	7.0.0		88bb09586156c514e321d28621d1bf7b89f523de
com.goldmansachs.obevo	obevo-db-mysql	7.0.1		5cf69cb737a391fb3ce47b419ebf7b496c249115
com.goldmansachs.obevo	obevo-db-mysql	7.0.2		dbe0ae6952d24da09d1a35aed1b8fe5fbc0c8535
com.goldmansachs.obevo	obevo-db-mysql	7.1.0		899a5634ad658763df808663dd625b2ef38171bb
com.goldmansachs.obevo	obevo-db-mysql	7.2.0		237eba622be19e706e31b8dc791a181bf52588a3
com.goldmansachs.obevo	obevo-db-mysql	8.0.0		40cf188b9da7baacc8c97bbb4d40dcf4647ea69b
com.goldmansachs.obevo	obevo-db-mysql	8.1.0		e609b5fd6b7559f5e4fd229dd382dabc092200aa
com.goldmansachs.obevo	obevo-db-mysql	8.1.1		ab7b6f7e491e5f850101a76333bf54e5c871e147
com.goldmansachs.obevo	obevo-db-mysql	8.2.0		c5e2138b00e16b2c61a59eba75ecbd17e047927a
com.goldmansachs.obevo	obevo-db-mysql	8.2.1		427291e5932901bceca1d5b088ef3ad0361b51cc
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.1.28		132a4932b1a2b6bf926d27fb0756d68c5a14683f
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.1.29		7d6efcc5d49a76290a3a4c901ca56813c60266f7
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.1.30		c09505ece3c0275b3d3c0e0aaba5d7b4ec6f97b0
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.10.0		50a0631d75c11691402ee05a5f0666149bb0105e
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.11.0		bb303ff6eef61a72c07f115db159212c18043e3e
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.12.0		8bdeb275838d91e014e344ba9c5f04d952fa8e8d
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.13.0		e71c7ee84e776e68f3bd058c630f7a5d6824f2b3
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.14.0		4f711cfa5b3b055b46c217541caa971850d86838
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.15.0		d517a6dd0acd32681787462b24a7c90b2bc7eada
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.16.0		3c202db8f4b826d34f8e989d5a58c514126b459c
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.17.0		ef846c1f67e2a1b00da22e8670ac93a9417716fe
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.18.0		189a9c0947c5e7114a5abb1a46c2108bbdd37626
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.19.0		a023ac4212354cd339b445a4b2f2eaed111f1047
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.2.0		478dd95dd5347056c096167a4d61cc8c5f44ee1b
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.2.1		d9989800ec08022930436fa39608c12e094f9e0d
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.20.0		d24e462f60f2432866e10fff8216610f2e1a2dbe
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.20.1		9405cb1276d13e317701456980ce6f344ffacaf7
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.21.0		75b1b7d4ae414933dbe275a4744eda115570bfed
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.22.0		5ca7b64abb73665230dec1411123c6abdbc098c2
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.23.0		7a9c39e01fd6d638f4b978e1eb06dcc5f97b464c
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.24.0		8e3dfa8ffa8a1535e5a0dbdde2478e1d73f1b816
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.25.0		7fba446ab252e2f30b1690e355c311f818e0c743
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.26.0		8e4477a51c61ab15d0c1baabdce5db162ef1d231
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.27.0		18b41b992708766cb386534f83faa2588e3d7764
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.28.0		1940acd03a656590d2adc0ef9ce021064dbc699e
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.29.0		0100edbe73d61446cfbe9b525b715cd06248bdac
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.3.0		1d370008cb6c297da8c70a3d75136f4257dde76f
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.30.0		1b46007049385f7a032bcfc5c3f2e29f5d77881f
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.31.0		521b5b9a13569bf8b0528f7536c44aa03efaab28
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.32.0		ba0f3594d80e145e7bb104ce084fafc4f5208a4d
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.33.0		4ef5ecdf0dbe272a65ab7df629c82c219884df28
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.34.0		a3f2b8bf8e0508ba1ba88b821d7c7f464abcbb17
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.35.0		4332b987ca11e141646e5afd3985b08346d22d1d
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.36.0		e8bbf3fba1fb727e3b057e7660a59f4a9bf05dad
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.37.0		b452da873f676d6f8cefb831aa5d0ce0eec8e3e8
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.38.0		29930905743ea91b12f1fa1b23f0bce6f675eb8d
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.39.0		7e3dc19b84773a61ec90031e6b9a4e978032d69b
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.4.0		ba236021a745d549d79e49e7a1707e88d3cda6df
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.40.0		4a8aef55681870335b22ddadb4108278fa5bc6d7
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.41.0		682be7421e4e6d10f9d063f962097d88b3bfed72
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.42.0		32c697fa31edd3d7cdba897d93c7a6a7deff3171
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.43.0		114df2ef63af6d97f5defb5c6380a8791a50a531
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.44.0		ab4096fb369a67aaaacf9f5c2f3d7d3a91ef942b
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.45.0		16eee53f4c4553f32754ec9838b6c7e82438ae58
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.46.0		815efde058c1fef65a7acbbb6bfdadee466b0b77
com.google.api.grpc	proto-google-cloud-dataproc-v1	0.47.0		0062a5875da766a79ac19b2a3e8dd9f30626e123
