at.crea-doo.homer	connector	1.0.11		N/A
at.released.igdbclient	igdbclient-ktor-iosx64	0.7		N/A
at.released.igdbclient	igdbclient-ktor-iosx64	0.7	metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
at.released.igdbclient	igdbclient-ktor-iosx64	0.8		N/A
at.released.igdbclient	igdbclient-ktor-iosx64	0.8	metadata	2ad14aed781c4a73ed4dbb421966d408a0a06686
cn.eppdev.mlib	eppdev-mlib-sdk-hive-udf23	1.0.0		17d25df209ba1f5ed1c8f6471a7a50e328374cb1
cn.javaer.wechat	wechat-pay	1.0.0		c39da023bda411998df46dafc679fb0986bc6ba3
cn.javaer.wechat	wechat-pay	1.0.0-rc1		7efef0ad90ec64e8932813429a00f83cf81a7f72
cn.javaer.wechat	wechat-pay	1.1.0		e0a01f8d4254889269c939055167860393fa04f5
com.adobe.ride	ride-performance-lib	1.0.3		0cdd85bc0f92bd485fe0d026d20ae7b7f6d1d8a3
com.adobe.ride	ride-performance-lib	1.0.4		61a2ba0646fd4ff6c616b50c4a71094277528bf5
com.adobe.ride	ride-performance-lib	1.0.5		f3fd7fad2bd179f623ec7840bc9cca71dc8294fe
com.adobe.ride	ride-performance-lib	1.0.6		bb0b7e260d287b9e1ec6893d250ce350b16fb3cf
com.adobe.ride	ride-performance-lib	1.0.7		3b50b77680457fd26acedda29ec11d36cea9438c
com.adobe.ride	ride-performance-lib	1.0.8		efe711c21a0f9b36d0d9f288d839becb97c350cd
com.adobe.ride	ride-performance-lib	2.0.0		ce250d28c450db1806029deab465d8e2820f30c1
com.arangodb	kafka-connect-arangodb	1.0.0		67295ce0f700ae50b84f9a1b3820490fbaaa26d7
com.arangodb	kafka-connect-arangodb	1.0.0-RC.1		c061fb11d4834e2b88b16c32526e025a740be771
com.arangodb	kafka-connect-arangodb	1.0.0-RC.2		7542415c189d86e5f5f3c6b7ac7b8b212b9a5737
com.arangodb	kafka-connect-arangodb	1.1.0		f5a0ecea20f63afd7367811004d4ab55db6522ec
com.arangodb	kafka-connect-arangodb	1.2.0		7472ceb77def7f16e5e5305f29f0ecd3bca0d6c7
com.arangodb	kafka-connect-arangodb	1.3.0		1149dc14241d6d9d173ff73895b243b656613d98
com.arkivanov.mvikotlin	rx-android	2.0.2		N/A
com.arkivanov.mvikotlin	rx-android	2.0.3		N/A
com.arkivanov.mvikotlin	rx-android	2.0.4		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0-alpha01		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0-alpha02		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0-alpha03		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0-beta01		N/A
com.arkivanov.mvikotlin	rx-android	3.0.0-beta02		N/A
com.arkivanov.mvikotlin	rx-android	3.0.1		N/A
com.arkivanov.mvikotlin	rx-android	3.0.2		N/A
com.arkivanov.mvikotlin	rx-android	3.1.0		N/A
com.arkivanov.mvikotlin	rx-android	3.2.0		N/A
com.arkivanov.mvikotlin	rx-android	3.2.1		N/A
com.arkivanov.mvikotlin	rx-android	3.3.0		N/A
com.badoo.reaktive	reaktive-annotations-metadata	1.1.22		23956d885b0331729bbbfaf266f34dbab85e8fbe
com.cedarsoft.maven	instrumentation-plugin	0.5		e3c897aa9e65e415966f251fcaa679fd5228741d
com.cedarsoft.maven	instrumentation-plugin	0.6		c76e5ed8a7782eaf2742746cf9af6cf830dc0cde
com.cedarsoft.maven	instrumentation-plugin	0.6.1		50fa4236057d2baf864f51977cae9cb293bfdda6
com.cedarsoft.maven	instrumentation-plugin	0.6.2		1c8059e9ecfdb96360961bca7e2a3423a8f2f08f
com.cedarsoft.maven	instrumentation-plugin	0.6.3		1c826e4f99b04253271f74177c76c1200b3d73d8
com.cedarsoft.maven	instrumentation-plugin	0.7.0		3a84880abb3c9edc6350a9e56134680a1541fbc8
com.cedarsoft.maven	instrumentation-plugin	0.7.1		4e8a294ec7eacfe80632ee880ccce06e76cd164d
com.cedarsoft.maven	instrumentation-plugin	0.7.2		de7cf9485e9db04ccdd639cf5e51e683eb9ce1e0
com.cedarsoft.maven	instrumentation-plugin	1.0.0		9f99254dff0bc20c9b621fb877af0055de39f3f6
com.cedarsoft.maven	instrumentation-plugin	1.0.2		7dc51935cd0241ab5796f61ec37c8100456a795c
com.cedarsoft.maven	instrumentation-plugin	1.1		ec554c937e47817f3e9caf65af3f9ea657ad2053
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.0-0.1.0		977a77ff3af34d67257023241a509d1a25f844c5
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.1		55dc27352dce3dba2160d3aad70dd5e1945f7cfa
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.10		d6789620d00de9163ffe1eca8a2015498f84c4af
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.11		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.12		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.13		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.14		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.15		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.16		f416c688a77fae223f9dcf2c7cd23cb82c66ba33
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.17		d19a4ff73f5049674259b401a1c481f00d9e62f9
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.2		55dc27352dce3dba2160d3aad70dd5e1945f7cfa
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.3		58ac027719e8929f423e64f7ae41df3c1885fb73
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.4		71e1b505981e075830a7a0bfad1bb5f1f8857aeb
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.5		d6789620d00de9163ffe1eca8a2015498f84c4af
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.6		d6789620d00de9163ffe1eca8a2015498f84c4af
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.7		d6789620d00de9163ffe1eca8a2015498f84c4af
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.8		d6789620d00de9163ffe1eca8a2015498f84c4af
com.dayanruben.maplibre-compose	maplibre-compose-desktop	0.6.9		94d61df54b564efa94f1e35d4fbff0b9265faffb
com.echobox	ebx-distributedratelimiters-sdk-parent	1.0.1		N/A
com.echobox	ebx-distributedratelimiters-sdk-parent	1.0.2		N/A
com.echobox	ebx-distributedratelimiters-sdk-parent	1.0.3		N/A
