ch.cern.spark	spark-network-shuffle_2.12	3.0.1		1ece74e0e51b1850181f9367cf3938d40932acc2
cn.learnshare.jar	learnshare-utils	1.0.0		fe2cb51516606597f48cc21e833671461cf5a7a7
cn.learnshare.jar	learnshare-utils	1.0.1		d404ae90e925b975918c3e92ae961a3781afa326
cn.learnshare.jar	learnshare-utils	1.0.2		440bea72cdcb33349973bad3e4cc5746f90e0ff6
com.aliyun	alibabacloud-tdsr20200101	1.0.0		a273bb33fc8bbd18acb9bb902b17204dd7019ff5
com.aliyun	alibabacloud-tdsr20200101	3.1.4		59b3f39e26506a68df19f7208d63464f2c927da2
com.aliyun	alibabacloud-tdsr20200101	3.1.5		9daee8bffd456bf3b1fdafe9239bbf7712017999
com.aliyun	alibabacloud-tdsr20200101	3.1.6		f731610fd0dbb8bc95efe7fb651dc5d142696ec1
com.aliyun	alibabacloud-tdsr20200101	3.1.7		e4b14448c0863b24f1ccb1e7061f840d100408c3
com.aliyun	alibabacloud-tdsr20200101	3.1.8		5dad5456842da8a6fe80e950015088ce78aff4ec
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.5.0		31c2f8625f47aaa59986be8f90f3a867af500fff
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.5.1		0ee3123b95fe01b11a27c3234feee71a998a0b87
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.5.2		638435586e627fb7854ffd0651c2c667949c2ef0
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.5.3		b455436b3b5f4ae496162cae449d8297edef8dc6
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.0		82b641c2e5ffca39b4528d375b1195dc84717e7c
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.1		da7927d1cd681b5d89de04abca3784ac9d3bbcb0
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.10		5e54bebb4c3a74f9800298542b5590d086a445d0
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.11		b3c3feecdd7de612f11011f69cfdad28f027237a
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.2		a43738b64ccdd84c63f70e8f33cc9ff1649cdcd7
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.3		303e8a9eac38c3ca6f6ba3cc40b1b7ce467967c8
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.4		401d3dfe2fd5f366b3910505af46e430957597cc
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.5		95654c81735efe3b0ad43890aef070f7977679dd
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.6		468b0e23f8af8b2bb427d33786a08d845d5bc1ea
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.7		c3774ff0f72ec803437667700e1462f33134479b
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.8		4666306bd3c60b4936a72a302cd3f4801203a9d3
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.6.9		67465dd8b49c56a568668eb5f4539424c9cf1750
com.anaptecs.jeaf.services	jeaf-user-management-services-impl	1.8.0		c473b2d54aabdf36a582f79f484c2de18bc07be9
com.baremetalcloud	bashscript-dsl-jvm	0.5		e70d3087a5486c3d288fbe39bc18087e0b03bc12
com.bucket4j	bucket4j_jdk17-mariadb	8.11.0		a9603d390f99792ad849635399146b8709973ece
com.bucket4j	bucket4j_jdk17-mariadb	8.11.1		a477fbce0d25d700374dbe6b52f096c952e1cc4c
com.bucket4j	bucket4j_jdk17-mariadb	8.12.0		75980ec617e0f2da8ebd1a4bec3e5e67e790a59f
com.bucket4j	bucket4j_jdk17-mariadb	8.12.1		4fcccfc4e093411cd11b9c7c99cf85f7db54b604
com.bucket4j	bucket4j_jdk17-mariadb	8.13.0		5269fd95e8f09c838cc2a63c1d5e1a26cf7e42aa
com.bucket4j	bucket4j_jdk17-mariadb	8.13.1		db31b3274ed01226e5639cf2acc80689066cdbec
com.bucket4j	bucket4j_jdk17-mariadb	8.14.0		84f5a950f7c39c7bf776c3bf0f7c33e300983f32
com.fireflysource	firefly-db-jdk7	4.0.1.1		a272c6fa42dfbb93eb43442bcc568d929449b9d2
com.fireflysource	firefly-db-jdk7	4.0.2		423a0ea1757e70204fc2ab42c679cd351dd1ec1e
com.fireflysource	firefly-db-jdk7	4.0.3		7d0cc1615a60cdc91db5a2cb58c213bb4f4c7980
com.fireflysource	firefly-db-jdk7	4.0.3.1		b89c3a9beab8ea9066d7f627db452d7a3f845e89
com.fireflysource	firefly-db-jdk7	4.0.3.2		5461b2aab43cdd0ba889228ef0483e55ee43fb70
com.gitee.xu_qing_lei	utils	1.0		448e4833855ba97e4db6224ab6a572e9942541fa
com.github.adedayo.eclipse.sdk	org.eclipse.test.performance.win32	3.1.200		e4fa27384ed74bc2799845e99e448fd7552691c5
com.github.benhutchison	scala-js-paper_sjs0.5_2.11	1.0		d8aa7baa806d37f09247b8c4dcac226d3601717b
com.github.leandroborgesferreira	loading-button-android	2.3.0		N/A
com.github.leandroborgesferreira	loading-button-android	2.3.0-SNAP2		N/A
com.github.sanshi0518	xcelite	1.0.5		a217c1921e5cccaf68a60adb468ef3ef6c754e1a
com.github.tsingxiao	unionj-generator-apidoc	1.0		7d3686ab3f8c6ad33da0c757f2b16997c1d2f805
com.github.tsingxiao	unionj-generator-apidoc	1.0.1		1702beb2b18916a362ed5bbcdb9c7b86ba7b439c
com.github.vlsi.pru	emulator	1.0.0		4d516c129e036a005b1e84f6ce5079f48678fb4c
com.jashmore	java-dynamic-sqs-listener-api	0.0.4		e81bb0508872c10ff7019937f9a18840feebf5bc
com.jashmore	java-dynamic-sqs-listener-api	0.0.5		49f6798841772c74569127f4e79de4623696615c
com.jashmore	java-dynamic-sqs-listener-api	1.0.0		92ed698a8a077fd94776a1cf959b6efaeae17bdf
com.jashmore	java-dynamic-sqs-listener-api	1.1.0		8b64a0a3954b85bc0d72cbeb520aca00a43d8b86
com.jashmore	java-dynamic-sqs-listener-api	2.0.0		46b73bee772ab610605a691bca9d983cdcfa6af1
com.jashmore	java-dynamic-sqs-listener-api	2.1.0		e12fb02efe4c1743fc58c6d55962e221caf5470d
com.jashmore	java-dynamic-sqs-listener-api	2.2.0		ef69f59816edc5ec9665820d83de4068c26e24e9
com.jashmore	java-dynamic-sqs-listener-api	2.3.0		0e5d5af12e26a8839d615bda55f69ac1cced01c7
com.jashmore	java-dynamic-sqs-listener-api	3.0.0		0468f1ed6ade5aa34175c5f9dab13f3850220118
com.jashmore	java-dynamic-sqs-listener-api	3.0.0-M1		c8957c51178df34891b6ce66405ea178cdc315c8
com.jashmore	java-dynamic-sqs-listener-api	3.0.0-M2		a31932f12c2a413b3efc872d6576ac5295fa7d41
com.jashmore	java-dynamic-sqs-listener-api	3.0.0-M3		cf0874ef0b19fdc670141d75218f2c757ec42b72
com.jashmore	java-dynamic-sqs-listener-api	3.1.0		161acfc692f4e2e8b13e4b755da369160c4cea5c
com.jashmore	java-dynamic-sqs-listener-api	3.1.1		6bd129d49cec2f53256ab0047fa3dc582c08dd8d
com.jashmore	java-dynamic-sqs-listener-api	4.0.0		521fdf4f7c9c36c47b84cdb52b980f0ba35810b2
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M1		994f91eec89fbf1e6045336f2c0591c69ec1955b
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M2		94b974582e4f14c8509e4a07c494030628c857d4
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M4		f9b482e502e9b995ecbd77189ef47f93995f1470
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M5		7b867fa5ffaea092f0570ff3757ea5fd80590ce6
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M6		c68e7235186e1c905f67eb55cefb965c08cdbb0a
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M7		2bf85b41741caad5018c857a85939f39f1a2d516
com.jashmore	java-dynamic-sqs-listener-api	4.0.0-M8		59e06f7c54beb327f25e2ab70e4f8963379f1473
com.jashmore	java-dynamic-sqs-listener-api	4.1.0		aa8e119ee52847b44dbee0104c832461f948113f
com.jashmore	java-dynamic-sqs-listener-api	4.2.0		b0e89bbc226306b6c2ed457037940f9ce744b07c
com.jashmore	java-dynamic-sqs-listener-api	4.3.0		e4aa43928c98337a4935fea236b719f6c0f5de74
com.jashmore	java-dynamic-sqs-listener-api	4.4.0		25ffcbfcafeb302abb7f84617d14cf7930b73812
com.jashmore	java-dynamic-sqs-listener-api	5.0.0		7d04abf3badefe355cf2c9be8db98639677115cf
com.jashmore	java-dynamic-sqs-listener-api	5.1.0		e11a6cc16c8e3cbe8d827f3a7e2ee92e12c83b81
com.jashmore	java-dynamic-sqs-listener-api	6.0.0		ecdc81bb7fc4437a0dffee8a914556036b43e8fc
com.jashmore	java-dynamic-sqs-listener-api	7.0.0		3e2daa7b73e92aa336fc9d9049b0d2ee41c79ac3
com.jdiai	js-wrappers	0.9.1		569234b2226ae6157d6d5d73495ed0aa8092aa54
com.jdiai	js-wrappers	0.9.10		e50e7c08852322813350bbeb6714304d18f6c92c
com.jdiai	js-wrappers	0.9.2		0d819ccc2e0080d8131341d1d4acf62cf3042423
com.jdiai	js-wrappers	0.9.3		4772643fb37db399297acc3977af8f5a738ff603
com.jdiai	js-wrappers	0.9.4		6783b89e8d25754e707500c0c91b0b888f7b0ffb
com.jdiai	js-wrappers	0.9.5		9b6eef0c0b0defa854a018b7889a787a80c16f25
com.jdiai	js-wrappers	0.9.6		58b62f024277cc80ee7dbd0e1a2ac4e1b60e480d
com.jdiai	js-wrappers	0.9.7		afff11fdbb63cf907412b37a99fb0f47d5119e4b
com.jdiai	js-wrappers	0.9.8		b7c755fc27dc422f7d5df9b11dc3685eba32139a
com.jdiai	js-wrappers	0.9.9		73d18bb9d2bad934ed397429123f9b223da21c22
com.jdiai	js-wrappers	1.0.0		fc65647b6af3ce2a0402d0b7785475009b903adc
com.jdiai	js-wrappers	1.0.1		57c003f77b7f5eafd9c5e882c6daaf3d025bb3dc
com.jdiai	js-wrappers	1.0.10		2f1f476aee4bf27a769514ebdc8cebe8f0a615bb
com.jdiai	js-wrappers	1.0.2		e3e74c07bc14f5a05dbaa41a504f9aab1df493ee
com.jdiai	js-wrappers	1.0.3		3078998cd42c1aac2001edb305f3bd1248e65fce
com.jdiai	js-wrappers	1.0.4		7c1d4603c9f8b1ff34d34d97da8b7924f773b99c
com.jdiai	js-wrappers	1.0.5		30fc895c54ebbfe081b2f1c84c47245e62de79bc
com.jdiai	js-wrappers	1.0.6		dd693fa2760914f76a8ff822f37eb8947bbd613a
com.jdiai	js-wrappers	1.0.7		ec6d453665e4c3782be53c065f21f70cfef91bcd
com.jdiai	js-wrappers	1.0.8		204a928b6ba0a17197cd436c334a1839f5cf2bba
com.jdiai	js-wrappers	1.0.9		3bb9cae729ebc02b8d00cedaaab15749ac32b87d
com.jdiai	js-wrappers	1.1.0		581e251ad1f6ba0a1d9f9fdca34ecaefe275b939
com.jdiai	js-wrappers	1.1.1		0627a8b4b27f67f6492eaa130b579517de638071
com.jdiai	js-wrappers	1.1.2		3627bf77666b897d7b2c6134762b350913cda6ca
com.jdiai	js-wrappers	1.1.3		57a33a62a619b2863b00be596003a026f255b5c8
com.jdiai	js-wrappers	1.1.4		635ee20b772b2b863d56eda8b3a6aa4378b6b336
com.jdiai	js-wrappers	1.1.5		cdb382536ce11ebd05d863fd1164c6299b150bd2
com.jdiai	js-wrappers	1.1.6		440098cb5982f69f1590125dc0449822c7d8d3fa
com.jdiai	js-wrappers	1.1.7		2d209568332c8488aef854ec778750421da079b4
com.jdiai	js-wrappers	1.1.8		4fc328282b0d9e439a35138ad9593166aeee0ff4
com.lightbend.lagom	lagom-descriptor-renderer-scaladsl_2.10	0.0.2		e053bf9b1ad5255de6a920f318fe7f2d60d82dae
com.msignoretto.sekurity	sekurity-iosx64	2.0.0		N/A
com.msignoretto.sekurity	sekurity-iosx64	2.0.0	metadata	04f5659ad71d3752044dcddd80f7436214a1159f
com.powsybl	powsybl-cim1-model	1.0.0		8331611b3cd0d830cefe27a4d2dac2c678a1e86d
com.powsybl	powsybl-cim1-model	1.1.0		e70c5324bdc9d5920fcb9cc23fc64b98478f3516
com.powsybl	powsybl-cim1-model	2.0.0		7d6ea77e4921dbb8e823524fc02cc8c93e0b74b5
com.powsybl	powsybl-cim1-model	2.1.0		11c1ec297b50b9ee0e41dd7cb8885c38ced9872c
com.powsybl	powsybl-cim1-model	2.2.0		41d32948676f8de1887957e27d3372f237168804
com.powsybl	powsybl-cim1-model	2.3.0		da94a5c4730fe57c6dff5ea7d45de855a9de5c5d
com.powsybl	powsybl-cim1-model	2.4.0		5d4d4a9d0bf39b2e3050fa5c05dd129212d422ff
com.powsybl	powsybl-cim1-model	2.4.1		1dfadaa4156753f73e59c5cab32fd822a9ec882e
com.servicerocket.confluence.randombits	core	2.2.0		b43110505ac8aabc984179ab22a0fb2386ea17ee
com.servicerocket.confluence.randombits	core	2.2.1		ea546cfbce4a7c4a36074beba00d8743acae7c3c
com.servicerocket.confluence.randombits	core	2.2.2		3ed59c293ecb779a77e361011049caa6fffd4db8
com.servicerocket.confluence.randombits	core	2.2.3		0e7d034046341665aca0e5abba78a5f01268d24e
com.servicerocket.confluence.randombits	core	2.2.4		31972ae026c24830416f5f38774239db15bdd30f
com.servicerocket.confluence.randombits	core	2.2.5		6a5847c52b57aeed917314b94d3a608bb8d7ae85
com.servicerocket.confluence.randombits	core	2.2.6		b69fec3cfcc8ae5d182c1907e69fd38be35ba8c5
com.servicerocket.confluence.randombits	core	2.3.0		6a1d2ffb19f0f3fa492bf6b5d3ae1e2c2e59f293
com.servicerocket.confluence.randombits	core	2.3.1		c27f13b84e7dbc219fb398b90e5cdf82ddd1f153
com.servicerocket.confluence.randombits	core	2.3.2		a7692a1e3a4fe4f4c9a1dc59fc571700e41bf1dd
