be.atbash.runtime	jwt-auth-module	0.4		9f775819b5e0ce7c77c675fda04dd200b5975370
br.com.objectos	way-duplicata-core	1.0		bece04af22197f78cc15c13fe946907ad5bf0aef
ch.epfl.scala	input_2.11	1.4.0		9017579a508af84b6b5cf438c97b6e6f62d723b1
ch.obermuhlner	kotlin-big-math	0.0.1		6c525599b907c55d63d8e0b002df08bbdce8c161
ch.obermuhlner	kotlin-big-math	2.3.0		f5247af71f380d7dc351d97eb84dde816061257d
cn.entertech.android	net-retrofit	0.0.1		N/A
com.amazon.android	exoplayer-core	2.12.1		N/A
com.amazon.android	exoplayer-core	2.13.3		N/A
com.amazon.android	exoplayer-core	2.16.1		N/A
com.amazon.android	exoplayer-core	2.17.1		N/A
com.amazon.android	exoplayer-core	2.18.0		N/A
com.amazon.android	exoplayer-core	2.18.1		N/A
com.amazon.android	exoplayer-core	2.18.2		N/A
com.amazon.android	exoplayer-core	2.18.7		N/A
com.bitwarden	passwordless	1.0.5		1377892d3ccfe378320b64d6c9ce68d400a33952
com.bitwarden	passwordless	1.0.6		1eda22428cb37f75965071aa8a269a9d83c30c16
com.bitwarden	passwordless	1.0.7		1c898faf6b40824bc1c477e4c3d8a28fc0f1be51
com.bitwarden	passwordless	1.1.1		a273ab468da8993cb1d693963bc059718053aaae
com.bitwarden	passwordless	1.2.0		523704802145ce6ead4f93605e8fc4d1bd5ffc64
com.bitwarden	passwordless	1.2.1		6237deb7575edb21297c1643acaf719679aa9686
com.bitwarden	passwordless	1.2.2		cf857248f7cc1fb514c2f9d3f474fef6f8d25f9c
com.bitwarden	passwordless	1.2.3		3aed9ddaf853edec4792a7a8fb419157c1412e81
com.carecon.fabric3	fabric3-spring-security	3.0.0		d7e9020d1f0decd464c697dbe1713868d17245fb
com.carecon.fabric3	fabric3-spring-security	3.1.0		dabee22ec9c696cdec3e9cf41722089c277badc0
com.freemanan	grpc-client-boot-starter	2.0		c69b31abde10d48b474f4fa50d7d787277b8803d
