biz.enef	slogging-glib_native0.4.0-M2_2.11	0.6.2		ede2cfe79e16d05e6922f8f4b9deb1ffa42631d7
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.5.2		ffb5966d093f5fca76484632d82bb13c4cba1e69
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.5.2-BETA1		833c4f987d96219e6196b60293ad3a7af17aba1a
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.5.2-BETA2		e4fc256924a65611f4026639de5fb9829900ed39
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.5.2-BETA3		f6a5b1b8d0b1cd6ed95cf328402b0caf767d43f9
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.5.3		b5d09f9f2b269c2fb97d08cae5575226347b754a
br.gov.frameworkdemoiselle.component.behave	demoiselle-behave-regression-repository	1.6.0-BETA2		de3888d5585ff18345d0213fd4b8e7478da84f4f
ch.epfl.scala	scala-expression-compiler_3.6.2-RC2	4.2.1		9aeb7ac1cbab6baca2d60b8d6459361b1633f359
cn.com.antcloud.api	antcloud-api-provider-ak_039036ceaf344eae826f7a5f2e0c0a1a	1.0.0		a6b3439d54d7c2665ab98d6e28d07283d1ceec5f
cn.com.antcloud.api	antcloud-api-provider-ak_039036ceaf344eae826f7a5f2e0c0a1a	1.0.1		5207868a209b49ca7622d5811f2d305b47a5b27d
cn.dustlight.storage	storage-core	0.0.1		ba2fd40de2f469b5e326cc67680c17197830f3e9
cn.dustlight.storage	storage-core	0.0.2		83fd1e40904236638216d08ce2aae7fd6e1c06c9
cn.dustlight.storage	storage-core	0.0.3		c00b1f5cb8e2822430a801b89612acb279a206ef
cn.dustlight.storage	storage-core	0.0.4		bdf092a4ecc25020c6eeaaf03ccdeca79af79120
cn.dustlight.storage	storage-core	0.0.5		0d9dd2872b2b8aec4f4dbccebeddc4774fcf86cb
cn.dustlight.storage	storage-core	0.0.6		76d473337b22bd5968b211c207db31dd7102c777
com.adobe.granite	com.adobe.granite.installer.factory.packages	0.5.0		8be4b5932b8c4917657c44fa0ae06468996ff1d7
com.adobe.granite	com.adobe.granite.installer.factory.packages	0.5.2		082a7d80818666830ff2b26bd8f19f0298f73d34
com.blazebit	blaze-query-connector-aws-iam	1.0.0-Alpha2		8f85cc87bc0673a015c2fb54a9678c321723f65f
com.blazebit	blaze-query-connector-aws-iam	1.0.0.Alpha2		17e48e2b2bf60e7defd3c6a4cb3849438e062887
com.blazebit	blaze-query-connector-aws-iam	1.0.0.Alpha3		5e2bad49eb07174dfd60305b6d07f35c33ef0606
com.blazebit	blaze-query-connector-aws-iam	1.0.1		20a551102ff75a06c3454cd21987ad34f3e35d63
com.blazebit	blaze-query-connector-aws-iam	1.0.2		81539a592fe7b362c427f20b7bd2a15754d03e55
com.blazebit	blaze-query-connector-aws-iam	1.0.3		4629c9160ead26e71810f63596a12860cfe14f2a
com.blazebit	blaze-query-connector-aws-iam	1.0.4		7f7bbbf148f36153f91551086cc8c2212a3630dd
com.blazebit	blaze-query-connector-aws-iam	1.0.5		9eada743c1447acbe3e652f08cf27dfca5fa37cb
com.blazebit	blaze-query-connector-aws-iam	1.0.6		ef31c88284e65ac4b42c5182b30d19d7df051cca
com.bumble.appyx	modal-js	2.0.0-alpha01		N/A
com.bumble.appyx	modal-js	2.0.0-alpha02		N/A
com.bumble.appyx	modal-js	2.0.0-alpha03		N/A
com.bumble.appyx	modal-js	2.0.0-alpha04		N/A
com.bumble.appyx	modal-js	2.0.0-alpha05		N/A
com.bumble.appyx	modal-js	2.0.0-alpha06		N/A
com.bumble.appyx	modal-js	2.0.0-alpha07		N/A
com.bumble.appyx	modal-js	2.0.0-alpha08		N/A
com.bumble.appyx	modal-js	2.0.0-alpha09		N/A
com.bumble.appyx	modal-js	2.0.0-alpha10		N/A
com.cedarsoft.utils	crypt	1.3.2		f606f0595b3d2a9c832f875ffb256548ca71467b
com.cedarsoft.utils	crypt	1.3.3		848051cd702ed3b64825e501183230f0fdfac6f7
com.cedarsoft.utils	crypt	1.3.4		3b1b8f171d60fd3d86587746d78ac596f0f7eee6
com.cedarsoft.utils	crypt	1.3.5		98688e1ae76ecc5847c65ca117571db19839c88a
com.cedarsoft.utils	crypt	1.3.6		c09751da80b980b020540b949ea3c260f0439e26
com.cedarsoft.utils	crypt	1.3.7		83564fb37631bb816d98120e1d5a0d065ab2ff59
com.gitee.suveng	alarm-spring-boot-starter	2.3.0.RELEASE		ab8441047317be3d1703994d237a37284d1358d9
com.github.alorma.compose-settings	storage-disk	2.1.0		71cbe63b818afb51182ab5e56e1d04a736b28288
com.github.alorma.compose-settings	storage-disk	2.2.0		626e8e67fa81be464c9d9519fe78d70977273969
com.github.alorma.compose-settings	storage-disk	2.3.0		3264088be90bd5db8799906f29ed3fd27efcdd05
com.github.alorma.compose-settings	storage-disk	2.4.0		3264088be90bd5db8799906f29ed3fd27efcdd05
com.github.alorma.compose-settings	storage-disk	2.5.0		c85422eb54800d21b7e6cabc16bf771aab51fb63
com.github.alorma.compose-settings	storage-disk	2.6.0		c85422eb54800d21b7e6cabc16bf771aab51fb63
com.github.alorma.compose-settings	storage-disk	2.8.0		3aa4d5b0db819174f30104ff1ada5e0f9f5cde79
com.github.dalet-oss	vfs-azure	3.1.8.1		762ae5ae2178f28ae3ac32eceb38cf02d122bc0a
com.github.dalet-oss	vfs-azure	4.0.0		bc19435b8ebd9be4fd078b217b25f1d1504c2ae0
com.github.dalet-oss	vfs-azure	4.0.1		46f2e4a591300b936cd4b74491a2ad69d70d9e13
com.github.dalet-oss	vfs-azure	4.0.2		ffe4e327fce949ddc3bc8f76c5774a83ff0acb16
com.github.dalet-oss	vfs-azure	4.0.3		0c87b7498c545b085084bf822d44cdebfe3e9331
com.github.dalet-oss	vfs-azure	4.2.0		a4c19edf64cab7f66b3383d747194d08c0d592f8
com.github.dalet-oss	vfs-azure	4.2.1		77a0ff2571fc6c7c07ef64b4890f917679f4f915
com.github.dalet-oss	vfs-azure	4.2.2		4c4c3edda8e130e5b4a2c3800ac1eb00648ad004
com.github.dalet-oss	vfs-azure	4.3.0		5b8a5936bf565099c7fafaa975fca5723af4e91a
com.github.dalet-oss	vfs-azure	4.3.1		def4e484e6c170289ae1e6327af91308cb246cdf
com.github.dalet-oss	vfs-azure	4.3.2		ad82693fc8e15b8f0db7d9b53c010c5ef924d002
com.github.dalet-oss	vfs-azure	4.4.0		a648668d55557fa2649c3c16bd6c8b01ad915fc6
com.github.dalet-oss	vfs-azure	4.5.0		4dc7fb64ea07a4eb69d2be0907341645e9abf363
com.github.dalet-oss	vfs-azure	4.6.0		b4395e5dc36f8b42dbcda2dcb28536be4d87f39f
com.github.dalet-oss	vfs-azure	4.6.1		9a80ded7c5410d7e8cc1820184a60892489d9dec
com.github.dalet-oss	vfs-azure	4.6.2		0ff253c6956fc3515d8ce368f0fd02b822e4bcb8
com.github.dalet-oss	vfs-azure	4.6.3		4190340f3cd975a0b49a96c2067d02716d87069b
com.github.gv2011	tools-start	0.12		5f390e446af8d305ef30f5fdde8f5501257f0b8c
com.github.gv2011	tools-start	0.6		a15181c62866e9f3744e915c17304f22d79ca2b1
com.github.gv2011	tools-start	0.7		70c79284e36892ffe357d5b3d9097129af3cbd37
com.github.gv2011	tools-start	0.8		a2d82d30267aee69de2e3cba26411eb0a809107a
com.github.nicolasjafelle	refreshmenuitem	1.0		N/A
com.github.tototoshi	scala-base62_2.10	0.1.0		95f93004a79734554873b9f03a6c9b8e59c3cb7a
com.github.wangjiegulu	rapidrouter	1.0.0		N/A
com.github.wangjiegulu	rapidrouter	2.0.0		N/A
com.goyeau	orchestra-core_sjs0.6_2.12	0.8		e3b8cc6a64dd611c0323d5a82d681089d322229b
com.helger	peppol-smp-server-webapp-xml	5.0.1		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.2		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.3		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.4		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.5		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.6		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.7		N/A
com.helger	peppol-smp-server-webapp-xml	5.0.8		N/A
