ai.grakn.kgms	client	1.4.3	-	660fd2d4f454d0df7a6593785a1572210a0506d0
ai.hyacinth.framework	core-service-gateway-server	0.5.0	-	714ddc248bb3b18ff591ff474403de28b6dbb9ad
ai.hyacinth.framework	core-service-gateway-server	0.5.2	-	502d8b37f3d7ec3b4dc01a62145bab84be23809f
ai.hyacinth.framework	core-service-gateway-server	0.5.21	-	2832cebd5bc97f5068288c235b755b9ab70d16f6
ai.hyacinth.framework	core-service-gateway-server	0.5.24	-	fa200c1425397915e2da6f442f3686ade7b9b65d
ai.hyacinth.framework	core-service-gateway-server	0.5.3	-	ceab0a5c7ed72b7d704a31c478d8a90bc4824ad5
ai.hyacinth.framework	core-service-gateway-server	0.5.5	-	11494f31f5b27124aa2906d1f6dac2729d38e975
ai.hyacinth.framework	core-service-gateway-server	0.5.8	-	6c1ebc29cd051882339d74ba8963738c2577a690
app.cash.backfila	client-misk-static	0.1.3-20210805.0116-93702c4	-	e1dad1a73bad47c8e05ce1e92ccfc27be2083688
app.cash.backfila	client-misk-static	0.1.3-20210805.0207-0d08d2b	-	991468e90d5bdef4221178d04cb7949009a9cf1e
app.cash.backfila	client-misk-static	0.1.4-20210806.0204-5341f38	-	1270293d33dac8a328744e64f672f03dacf1a10a
app.cash.backfila	client-misk-static	0.1.4-20211109.2053-a41370d	-	ff529c50b7cc141c984201687ea12a38acafb603
app.cash.backfila	client-misk-static	0.1.4-20220406.2256-c2ad520	-	0bf2bda7d283df53d76bdcd07fb67a6db877c1c2
app.cash.backfila	client-misk-static	0.1.4-20220531.0237-565a015	-	31f2f6f25bbf305148240e863421bef6d7f399f1
app.cash.backfila	client-misk-static	0.1.4-20220602.2218-06f967d	-	1d3f350e3444a8efdac4ff7645effd7979e681b5
app.cash.backfila	client-misk-static	0.1.4-20220614.0152-5ae0eef	-	bc1de546e014f952437c77ef2dd5e0adbadcfd7a
app.cash.backfila	client-misk-static	0.1.4-20220831.1526-6563c7b	-	df2ec9b4c5978ab3ac39572553330dc8bc7a289d
app.cash.backfila	client-misk-static	0.1.4-20221123.1739-38b4eb9	-	6f78266241ee22f541319b47776c32cf66b80c61
app.cash.backfila	client-misk-static	0.1.4-20221128.2102-bdd85b6	-	357d195486e839fbc01b780c53102293f0d187e5
app.cash.backfila	client-misk-static	0.1.4-20221221.1702-8b7db03	-	e6972e1e0e06a99cc44e7943d53d9db40de1ac7a
app.cash.backfila	client-misk-static	0.1.4-20230111.1620-df59b21	-	3bd0ef3eeece245351642f467d0c94fd0cb4a41f
app.cash.backfila	client-misk-static	0.1.4-20230206.1555-5b19c8a	-	318da0fe02bf8d0d16bbb5c2bc18c1c5dfdb2acb
app.cash.backfila	client-misk-static	0.1.4-20230315.1913-cb86ff2	-	fbc549b9476aecb76026c1c4037d658945cba1fd
app.cash.backfila	client-misk-static	0.1.4-20230331.1736-f73858c	-	da374ae09d2a4cc80c1cd66bc64da736228321fc
app.cash.backfila	client-misk-static	0.1.4-20230408.1645-0d67483	-	3ef385c9e9f8fbdf53d6a0f385966ef1ddfad100
app.cash.backfila	client-misk-static	0.1.4-20230428.1859-83eb314	-	64f3a11a0c531f4260cf2ad2b895c42649e465b6
app.cash.backfila	client-misk-static	2023.06.07.114626-93b9d6f	-	0caf00d7ac4810c6b0181ab117c423fe2199fd33
app.cash.backfila	client-misk-static	2023.06.07.140451-1f402c7	-	d75d6848c436b02d9ac651d5d9fdd97aa178f452
app.cash.backfila	client-misk-static	2023.06.07.175826-9233876	-	6e3f7d63ee1527ea7dc991a42abaf5f3ff193f71
app.cash.backfila	client-misk-static	2023.06.19.151815-a577398	-	433df1ca25d795d7f4f2d5cb19c30d3965db80de
app.cash.backfila	client-misk-static	2023.06.26.123827-b11bcae	-	36bc8164d53bcb2011b49a4b34c7b460312472e2
app.cash.backfila	client-misk-static	2023.06.28.110251-c4654de	-	54782af48a5cdf8a1b94dbf95ed27e939bd0b376
app.cash.backfila	client-misk-static	2023.07.13.191804-0066e62	-	13e66cf1708e2838a410bdbada52a592e898fd9b
app.cash.backfila	client-misk-static	2023.07.31.163139-a2817b5	-	eec51fe2dcd2b646b8b23e5b6b40d1997bd50785
app.cash.backfila	client-misk-static	2023.08.01.145714-dfedd42	-	163dc479ab1569594dad4662f40f404c31781833
app.cash.backfila	client-misk-static	2023.08.02.132800-d71d40b	-	f1651b3730812ec330cb6745837075507f1d9346
app.cash.backfila	client-misk-static	2023.08.04.170143-1e1c612	-	196bb22d38aa4253e344e3173b8bec47dba8c461
app.cash.backfila	client-misk-static	2023.08.14.134315-5681d5d	-	79dd0aae08e481e316f72ead49bf6192bdd91aa6
app.cash.backfila	client-misk-static	2023.08.14.172409-6d1d2a2	-	3adc52e3cbe40a33924494034f3b977456f92b9d
app.cash.backfila	client-misk-static	2023.08.17.133453-a8bbd14	-	d1c1733adbd8da101614f1a63ffff30053d8d952
app.cash.backfila	client-misk-static	2023.08.23.155551-c1a3041	-	7517ad41f4c2fa9512cfb829ba90a3ef144b386b
app.cash.backfila	client-misk-static	2023.10.06.161734-e74dc1f	-	b8a1d37cc1d6aec78a1b17181e457509532731c7
app.cash.backfila	client-misk-static	2023.10.27.105956-62bc102	-	098403faf85bfa0b5ad4be1c19d3f1ff12252a87
app.cash.backfila	client-misk-static	2023.11.09.154606-71ee690	-	d131052125338e6b57c9a24e1c67d9e26aae65f1
app.cash.backfila	client-misk-static	2023.11.09.164101-0241a0b	-	1ff8fde42c60c57494039474fc4d5046ded98f25
app.cash.backfila	client-misk-static	2023.11.13.112622-ad0d20f	-	f555f50f2b6c64cbaba034ac0f4d4ea005cd5992
app.cash.backfila	client-misk-static	2023.11.13.173239-74d2a09	-	5cfb3e0ad1eb87371a37116d77d5bccadc47dcf1
app.cash.backfila	client-misk-static	2023.11.15.104652-52bcbe1	-	7c476a410024bc3bf5203dd84f2a4f28bfe8f2ad
app.cash.backfila	client-misk-static	2023.11.15.110435-1b57c10	-	2179b88e87cb69c21df10ebb73fb1bc8d0156c3e
app.cash.backfila	client-misk-static	2023.11.20.120917-f526a2d	-	1332ce29e7071ddd44a901f41fbb4823bf570171
app.cash.backfila	client-misk-static	2023.11.22.144956-0827422	-	0ede812a209a7a98e2f4efa46509e0a38b0b929c
app.cash.backfila	client-misk-static	2023.11.23.131530-d3126ad	-	12b30ed0d352bb601dbe912a12dfd82c916a0afd
app.cash.backfila	client-misk-static	2023.11.23.165646-4fd9d3c	-	29cb4221768b18b1342d6748943e37d81cae06aa
