app.cash.treehouse.schema	app.cash.treehouse.schema.gradle.plugin	0.1.0		N/A
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.0		030a1623607d18871c6d03af4dd1b10fcf4119b5
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.3		da05e3068a7ad6c9d6d71856e2c9ff11421d3b4d
cc.rbbl.game-of-life	game-of-life-lib-js	0.2.7		350f692e31329b79a580136f06ebd087ba9d468d
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.7		N/A
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.7	metadata	b7103b09c37c5fa004fe7048cbe19efa10eb04d5
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.8		N/A
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.8	metadata	80eb0cdce3cff482ebb50368bd615c50bb4bb212
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.9		N/A
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.2.9	metadata	b7268e512444f72422054ce297cc8aa11c8591df
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.3.1		N/A
cc.scrambledbytes.sse	sse-ktor-stream-provider-watchosx64	0.3.1	metadata	c4fd77c286aac5ae86dc27978702efa594cfdab4
city.smartb.im	organization-domain	0.1.0		38291943d05648c659cf13a8263757d8b4039a0f
city.smartb.im	organization-domain	0.12.0		4ab148a14dd876b28958f223de453b3906cfff44
city.smartb.im	organization-domain	0.14.0		ebc888c83becdfaa68d75101e7957b2cf87a0ad1
city.smartb.im	organization-domain	0.14.1		5e3ca1a3c3489f54615d94985da1e3e4e9a4fc7d
city.smartb.im	organization-domain	0.14.2		3fcd3855fa211b1e9cd4671c29f145da1b259046
city.smartb.im	organization-domain	0.2.0		543b9a7482b2ec704a3bd6942083e06aed6700ac
city.smartb.im	organization-domain	0.4.0		4b0221ca736f9b982ac5542115b1bf98cc67e2ef
city.smartb.im	organization-domain	0.4.1		a3e2c9bf9510fbd7edd00322535c78ff8d0e79ef
city.smartb.im	organization-domain	0.4.2		088ecdd71416dc00186c860fca2a473c1c1c6020
city.smartb.im	organization-domain	0.4.3		f7b0a7dec0f33c34ac207eb2fb913526254c438f
city.smartb.im	organization-domain	0.5.0		f76691393e7ff909e5b8f9f16cc3b1d6fca7c8dc
com.aoindustries	ao-javadoc-resources-book	1.0.0		2988e5e4474e3b3bc25463951e2e3f6fc20d419d
com.aoindustries	ao-javadoc-resources-book	1.0.1		b4dacf3658d1dce758819555bed6fefe0e7acd70
com.aoindustries	ao-javadoc-resources-book	1.0.2		N/A
com.appodeal.ads.sdk.networks	vast	3.0.1.0		N/A
com.barrybecker4	bb4-adventure	1.1.2		3c52e0bdedc77331ebe356d388f7294a127d0b06
com.barrybecker4	bb4-adventure	1.3		791b5aad78d11431d66ce1f30758b54e064ce106
com.barrybecker4	bb4-adventure	1.4		59c0c23958bc1707fe102480304458f19c5a3e16
com.barrybecker4	bb4-adventure	1.5		4bad55fae78090d503050794f4e9db07fbeab5e0
com.barrybecker4	bb4-adventure	1.5	scaladoc	c3e48a24ec89b28ccf441313eaa78c7694d5f7ee
com.barrybecker4	bb4-adventure	1.6		d9db411eec9806d52120767446d5437300853514
com.barrybecker4	bb4-adventure	1.6	scaladoc	a7be23bbb51799eb1d053f2db0de1bcc2be814ad
com.bernardomg.maven.archetypes	spring-mvc-angular-archetype	1.0.0		c22440845017c482587a2e0d7705d24cf3126a60
com.bernardomg.maven.archetypes	spring-mvc-angular-archetype	1.0.1		14e48d444a64906c161fdb8a2901b517d46801d3
com.bernardomg.maven.archetypes	spring-mvc-angular-archetype	1.0.2		af74951104d8270bab92b3f424db00dbab5a73f0
com.diluv.nodecdn	NodeCDN-Api	1.0.0		2c7d91175e71b3040845d383c34553f5a7bca53b
com.github.bordertech.webfriends	webfriends-selenium-junit	0.0.6		074b427bfb469574615b72c2a36dcf93cb7437cc
com.github.cafdataprocessing.workers.document	worker-document-utility	7.0.0-1496		937fcbaad97a126b2ade0cf34ee637984298c37f
