asm	asm-pom	1.5.1		N/A
cloud.piranha.upload	piranha-upload-apache	20.10.0		75dddfa9235165a6fca02e4e7b754713c0d48f8b
cloud.piranha.upload	piranha-upload-apache	20.10.0	shaded	23a74d8820b6659a8dde0317fdad25768c174ecf
cloud.piranha.upload	piranha-upload-apache	20.10.0	shaded-sources	faae96df66e868d305c2f4e01706d3afdbc9b291
cloud.piranha.upload	piranha-upload-apache	20.11.0		54f19cd77de0e0f16cca4b2ff25f7dca15057474
cloud.piranha.upload	piranha-upload-apache	20.11.0	shaded	6bded72a68d8f129d31c739a9220ac3559928707
cloud.piranha.upload	piranha-upload-apache	20.11.0	shaded-sources	81c9e5ecc8a76407b0ee11bdd9c9966ecfedb9ca
cloud.piranha.upload	piranha-upload-apache	20.12.0		19f5389c537f125022ee50685ecc7c01c210477d
cloud.piranha.upload	piranha-upload-apache	20.12.0	shaded	400c835d67f37cdc52acef6ed141fc4a5cdad650
cloud.piranha.upload	piranha-upload-apache	20.12.0	shaded-sources	bb9dbddc009226c45b4f8c8cc4f2c01e428dbf96
cloud.piranha.upload	piranha-upload-apache	20.5.0		dc1ab0ac98c4e8a18b35151619d5f0065531a7c9
cloud.piranha.upload	piranha-upload-apache	20.6.0		d6d10c6a474b079e4446bade30027581a08e2bda
cloud.piranha.upload	piranha-upload-apache	20.6.0	shaded	ba87d762fa81289f9128c9dea9d2a8d4cb1b4243
cloud.piranha.upload	piranha-upload-apache	20.7.0		c2ed442051345a0be9dc3423a02e4572a04545c8
cloud.piranha.upload	piranha-upload-apache	20.7.0	shaded	2044351db1aee7b563d8f517501a2e9d8a534c6a
cloud.piranha.upload	piranha-upload-apache	20.8.0		8a15f106192a4291039fa500a7985d0987a11fef
cloud.piranha.upload	piranha-upload-apache	20.8.0	shaded	33f65c2f3aa0d566e71860ce129558df06c10015
cloud.piranha.upload	piranha-upload-apache	20.9.0		ff5b40f606e77a830bb73b1e24f28ceb8295e2b7
cloud.piranha.upload	piranha-upload-apache	20.9.0	shaded	ce765fcd4282f2ad0ec85f662749e3ecac9d097d
cloud.piranha.upload	piranha-upload-apache	20.9.0	shaded-sources	f047fc3eeca81220e15d0d6edaf758a41a34451b
cloud.piranha.upload	piranha-upload-apache	21.1.0		f8ef3adf8568c3ac93ce8368b8f33235b9dfe3ba
cloud.piranha.upload	piranha-upload-apache	21.1.0	shaded	d95eed50ed69c28036a67295da2463b432f9a79b
cloud.piranha.upload	piranha-upload-apache	21.1.0	shaded-sources	b04f3ee8f5e43fa3b162981b50bb72fe1acabb33
cloud.piranha.upload	piranha-upload-apache	21.2.0		N/A
cn.spatiotemporal	spatiotemporal-commons-file	1.0.0-RELEASE		3ebe20fa74c1d9fa663b04442fa5f540671129d4
co.zsmb	requirektx-navigation-iosarm64	2.0.0-alpha02		N/A
co.zsmb	requirektx-navigation-iosarm64	2.0.0-alpha02	metadata	218e6a5089b35276cf9cfdcf61729d5a4305a278
co.zsmb	requirektx-navigation-iosarm64	2.0.0-alpha03		N/A
co.zsmb	requirektx-navigation-iosarm64	2.0.0-alpha03	metadata	325256b4fbfa5506459d356e8ac2457e06b7806d
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1000		8cf72fd75cac8569b541bb416db72351f26a29be
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1001		fb8e9b9d0a7f28586d11e9fc4b52003a40f840bd
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1002		087187d301530e8d09b8e32ca899e99271bcdeb8
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1003		8a87b5acf985d5c3b74d9ac9d49ca7f160195771
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1004		296b99007e09d2cb5f7ff5003dbb7e43a29aa2bd
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1005		5a850cfd88262cd980c9a0081ca0dfcbd3270f57
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1006		9eee054eff7b6a993c009769d0414cdf89ed9561
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1007		1607267509ab0f7dadfee5f00a9e90eb358119d3
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1008		662f54918000c1af8b199d3a9949e582ea67e7ca
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1009		5223848facf667b1f4d5c75728a1f7b3a854b4e3
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1010		0bdcdbffa47db9c5cb80f9dc63515bc5e03f64bb
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1011		86cffd177ef1da5b78fb4a2c96676c66aa761cc3
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1012		d0de030bb926b445f3d87d3eaf47920ac3af47b4
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1013		58aa1f2e522e3b6434d2af79ff27925ad1564b72
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1014		c21385f142fcc17ed3caf27ae219d11127089050
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1015		de8cfad38f6cb8b68881129bf09117c342f7f6f3
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1016		dc53cef286593200363f126f7adbbb2265c54eb2
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1017		e239f7d9b6bdd2f467b6c79e984f733110d8a52e
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1018		28cc38740dbce09143e477a8f2fc23607a55246a
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1019		04028893ebe12b764bcfa57fe26bb5768ecdf641
com.amazonaws	aws-java-sdk-workmailmessageflow	1.11.1020		be1d2cc0df1ad01caecc867f8883cf20d6daa47a
