app.keyconnect	keyconnect-chainbase	1.0.0	-	ccecee336e2a569afd3bdcace86dd9e03bb713e3
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.10	0.0.10-metadata	262bba709fc6c7ff1f8e2940df84a9de46c4a4b6
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.11	0.0.11-metadata	4feaadd08a6494a153f2d92cfaf564be5f3bb1a2
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.12	0.0.12-metadata	7bfb8e2a8526568fe25edd65c37d88ff908fb847
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.7	0.0.7-metadata	1dafc4a0370b20589ea085542ccf531f1e88118c
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.8	0.0.8-metadata	329aebd070277d895754271d99c85d636fd060cc
app.softwork.serviceloader	ksp-annotation-iosarm64	0.0.9	0.0.9-metadata	8c0a94e71b91e2edd01f93611617758624b467e8
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.0.0	5.0.0-metadata	68d479219d87715244e6b4d6e4b93d02984ef376
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.0.1	5.0.1-metadata	a319e41557e302cd252223ddc1aaede15bfeda85
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.1.0	5.1.0-metadata	8d619bca94b7e9f69329cd8b4964693e245b60ad
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.2.0	5.2.0-metadata	868a8ec0544fdb05e22cc8c260a28844a37fbab9
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.2.1	5.2.1-metadata	7b7ebea4ffb1f9be5d78d1900cdd602985a4047d
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.2.2	5.2.2-metadata	99ed53a30b4ef005d2f9a3dcbe274128061ae13f
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.2.3	5.2.3-metadata	5e4ecf842c92bf830b60df75b24f2449157b1060
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.3.0	5.3.0-metadata	6736f2ef2140bd2df931a4b038b31de7045684a1
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.3.1	5.3.1-metadata	426d39e2775889d767e6229df2afcc08ae8fe425
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.3.2	5.3.2-metadata	d5e51162391702b157b904901e7a176b947e3bf3
at.asitplus.wallet	openid-data-classes-iossimulatorarm64	5.3.3	5.3.3-metadata	b0154cb089c322a900584716b1470b36e04f439c
