cn.kxlove	spring-boot-beetl-start	1.0.0		45405318ebe74594fca842462439838311e6536b
com.1gravity	redux-kotlin-wasm32	0.5.10		N/A
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.10.0		39e979a4b473c67174368fc73e64c79764b46269
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.11.0		1b38d82c9afc76a67d4ec51765a73291ea42aaa5
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.6.5		f426545fc5be651acd932ecb0eb9be3aefcd9ce1
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.6.6		da6e8bffe5aa3d466874322f0bd22883f2c8e3d4
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.8.0		478be6dca253ed70a1a15852e7b776881537955f
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.9.0		762558aca000f2b4ec4568a4151b622a277dfa9a
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	1.9.1		d7ed6998cbe76e1fd394fd88c4e5963d6ab1482d
com.anaptecs.jeaf.rest	jeaf-rest-resource-service-provider	2.0.0-RC1		0d0280c8bbdd95339d63663944b82509ebf78b14
com.antgroup.antchain.openapi	openapi-ak_96b7ac46ad0f4adea5e182931e6c7abe	1.0.0		e90e7e99bbe0ae304162834fbe34c605c3088a9e
com.busymachines	busymachines-commons-effects-sync-cats_2.13	0.3.0		dfe70ac48399e5502c1576fe7c31a2f3a247daa8
com.busymachines	busymachines-commons-effects-sync-cats_2.13	0.4.0		8bc6b8ddcbd843a0e4983a6dbf1d9fa6a03c431a
com.cedricwalter	git-branch-renamer-maven-plugin	1.5.0		cfd982ca69fb368dc698d2fe06220d59a9f52e0f
com.espertech	esperio-db	3.4.0		8eaa2e7b5c2dd831a51c054b27762d4b7070ef6e
com.espertech	esperio-db	3.5.0		fd8d21e38715ddcadd943f7227a03ad9de5a9d30
com.espertech	esperio-db	4.0.0		9ccc6e8c14804c3edc6dcee9f2ee10d936e27cdf
com.espertech	esperio-db	4.1.0		48522df66f958cd36aaf328f504f979785f324e3
com.espertech	esperio-db	4.10.0		0389e1e37b5517ecde42b59a23d7cdeb39e69217
com.espertech	esperio-db	4.11.0		3b8a0828dd139bd94a612fa89e251538c4f56d38
com.espertech	esperio-db	4.2.0		7e19c73f6f2f27ea789695ec8610ed38fdca0039
com.espertech	esperio-db	4.3.0		8e87fc7f0920ac8d2786d925e562734049f2672f
com.espertech	esperio-db	4.4.0		f5cd3cfb425c15601dd60d168c8e69a674b62953
com.espertech	esperio-db	4.5.0		be6bea8b1c42a5916f193db3b6ecf07cb61daf36
com.espertech	esperio-db	4.6.0		8ad379e2ffefe26ccfa9a9478a836568cbefb109
com.espertech	esperio-db	4.7.0		34f70f1c2a167e784af6a085f25d256b8b924f68
com.espertech	esperio-db	4.8.0		00db710174d159cc59778aeb713b8731511e65c0
com.espertech	esperio-db	4.9.0		9d7fdd38434273b48ba796f9a52aecdf33efcc4d
com.espertech	esperio-db	5.0.0		75b501498d0ea04a6244c590e1268c3e00e60b89
com.espertech	esperio-db	5.1.0		6d03dabe6c11fa01c4309d5c47c246d2b9d51bba
com.espertech	esperio-db	5.2.0		41584e260d7d1ed576ff65c53cafd12193d38222
com.espertech	esperio-db	5.3.0		d9a849fd769bf2b607c28b1fe22a14c670da3694
com.espertech	esperio-db	5.4.0		0bb6d46a727e7faca085ca6428ac00d526e8f0eb
com.espertech	esperio-db	5.5.0		04cae290356e990d553902e1b82a0e0976145937
com.espertech	esperio-db	6.0.0		4905bab1f059e5cbafc7b2a716cab6b533eff5de
com.espertech	esperio-db	6.0.1		4aceb00d41df598c08eb4d5514dd8d05dc0bf1b5
com.espertech	esperio-db	6.1.0		5f88ab3c081bddbc09b91cbff10961c56159c297
com.espertech	esperio-db	7.0.0		29045c83daa3868c3fb6cd243acf376816552893
com.espertech	esperio-db	7.0.0-beta1		eb5e38d30ef2f9478e63c8e3e187ea1004d0db86
com.espertech	esperio-db	7.0.0-beta2		ee64f31c2775b20f0f514b633c71593bec4a74ac
com.espertech	esperio-db	7.0.0-beta3		b515854cec26c59fa5ac5623b9343131e4cb9b30
com.espertech	esperio-db	7.1.0		d2e0f716db00b1f860eebad47c6e9fe07b8a7035
com.espertech	esperio-db	8.0.0		635de8248124e7005868f64f39f85f98373f092b
com.espertech	esperio-db	8.0.0-beta1		702cdf3de27e7db4a05324327d2cfe87b05bb61b
com.espertech	esperio-db	8.0.0-beta2		eebe1c92706251c943eaf472efc3dcfecfb81eed
com.espertech	esperio-db	8.1.0		0f75dd04fbb0b6e3a336059f485cc58f99a9700b
com.espertech	esperio-db	8.2.0		6e1a18253a5393b928116ffa02ea6fa64db3c879
com.espertech	esperio-db	8.3.0		fbe4daa5bbecd41f436122b4779301823498d9d7
com.espertech	esperio-db	8.4.0		f7cb3da37b6fa0fed291f080d05fa09606c1ba3e
com.espertech	esperio-db	8.5.0		602bcb57935c9f9da2ee4bc0a487b2ef9bce3dcd
com.espertech	esperio-db	8.6.0		e4fdccf9792180ce30a5ee7ce74ffb4f68f85115
com.espertech	esperio-db	8.7.0		bb4f7b9c266ae351253a897a982a8f3fd4dc90f3
com.espertech	esperio-db	8.8.0		c7683c4343339e97e329bda4e090dce28f86cf6b
com.espertech	esperio-db	8.9.0		0b35c800e33a6ab18e20e8fef4971e1c996e291c
com.espertech	esperio-db	9.0.0		4088c0d81d0a71c9bc142c634036839070383151
com.exadel.etoolbox	etoolbox-anydiff-core	1.0.0		7a5b4ebf1740978fefb698902e47f152189c37a8
com.exadel.etoolbox	etoolbox-anydiff-core	1.1.0		238a6788275d9afa1ec3284ef1ab394d8ff68514
com.exadel.etoolbox	etoolbox-anydiff-core	1.1.1		5dcb9df39528bbbc0448fe2bc636d5d83577dfa3
com.exadel.etoolbox	etoolbox-anydiff-core	1.1.2		bc76be0b977c8abdcc50a46d4f068f6194af3eba
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0		2290842790929873ab78e629e986e541996bc323
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0-M3		51c498de9e19fa991c3a7f091643c7e27bfb68b3
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0-M4		7faedcd0104691dda7988909388dbeab4169e640
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0-M5		e3404443c8b740d03ef14a06d0be2a042fc73a95
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0-M6		be7451d0330460e50adab830723cbf50362c6e75
com.github.alexarchambault.ammonium	spark_1.5.1_2.11.7	0.4.0-M6-1		8b7227e5736de3bc7fcbe4b552fae8be241a299e
com.github.lyjaeho	jizcode-base	1.0.10-BETA		82e8c495c78db16f209818ee5d1a2360fd282cdf
com.github.lyjaeho	jizcode-base	1.0.11-BETA		12a4c92539eadbb12c5f256106c05a7fffe28ca9
com.github.lyjaeho	jizcode-base	1.0.12-BETA		4df3ad9a5387dbf4643ab78ecc99256ae83308f6
com.github.lyjaeho	jizcode-base	1.0.14-BETA		39f26e93ae1e813ea6fce1dd2fe9c12aafdcd3f1
com.github.lyjaeho	jizcode-base	1.0.5		f55a2d5e09440b394ec97cb7921c2ab05c83d40b
com.github.lyjaeho	jizcode-base	1.0.7		19132f310f0729d44816747c5eda942ede79fb23
com.github.lyjaeho	jizcode-base	1.0.8		06c3c92af22b1c3d07efcea856f99c6e2576e1fd
com.github.lyjaeho	jizcode-base	1.0.9-BETA		7fcd161c74821f6de14bc122902a25ba30b8cdaf
com.github.mjdbc	mjdbc	1.0.0		305a6f3a9891499f2455e87b1bf8564839cf7c99
com.github.mjdbc	mjdbc	1.1.0		9d714a5c507a891e44a359577f7aefc841552ced
com.github.mjdbc	mjdbc	1.1.1		82dce471890a25e39fde86bbf7c2f253c54d1fc2
com.github.mjdbc	mjdbc	1.1.3		2de3da14eb9ae50f6c01d88597707f6c99694a03
