app.mustats.apolostudio	color-picker-compose-wasm-js	0.0.0		N/A
com.agile4j	agile4j-utils	1.0.0		de45ea55cbf0d5e112e37bf7fd660c22a7d068b8
com.agile4j	agile4j-utils	1.0.1		a82631aede7d890e9d0dbbb2626058f8e9abc4f2
com.agile4j	agile4j-utils	1.0.2		540bd79e84ce57786c5b6ae4f46b21e3d15f71c7
com.agile4j	agile4j-utils	1.0.3		e0097b64bf0e0c39bdf3d6920bb01a60cc264f3d
com.agile4j	agile4j-utils	1.0.4		a485c6ed8c3b1e25127ad956409f141630079992
com.agile4j	agile4j-utils	1.0.5		aa3fd802e514aeda5d5ab9296622aa3a1a2aaf31
com.appcompats.androidx	default	2.9.5		a749cf540df9da6fdf75b8a919f4d372ad65aa55
com.appcompats.androidx	default	core		a749cf540df9da6fdf75b8a919f4d372ad65aa55
com.appcompats.androidx	default	core-common		a749cf540df9da6fdf75b8a919f4d372ad65aa55
com.appcompats.androidx	default	core-kts		5990e068ce1dac5ee878ab9ef7bc6fbddbd4610f
com.appcompats.androidx	default	core-ktx		a749cf540df9da6fdf75b8a919f4d372ad65aa55
com.appcompats.androidx	default	tools		a749cf540df9da6fdf75b8a919f4d372ad65aa55
com.devonfw.java.modules	devon4j-security-csrf	2020.12.001		bce8f607681e4ede52c0c3a8e0d61e56bf649358
com.devonfw.java.modules	devon4j-security-csrf	2020.12.002		6e5ffab78c9f26bf865d9802c912e8f7a6f1ac87
com.devonfw.java.modules	devon4j-security-csrf	2021.04.001		b9e493cd4696695de83e62e3d3d2e2819ebbf299
com.devonfw.java.modules	devon4j-security-csrf	2021.04.002		ce36ab606471d47b45d98ac7c998b4bd3f881969
com.devonfw.java.modules	devon4j-security-csrf	2021.04.003		3742bd3aca943fc62c7c714296975df06e1c7080
com.devonfw.java.modules	devon4j-security-csrf	2022.04.001		2e48b0d14db5d5f5b26f539ee1a6bfdee4d475d5
com.devonfw.java.modules	devon4j-security-csrf	2022.12.001		40f5cd8070c2f0c9765e2e9654170c65c6c8eeca
com.devonfw.java.modules	devon4j-security-csrf	2023.01.001		f5e0d3f1b8d1062610c0b17c52ad9e6b1166a51f
com.fanxuankai.zeus	canal	2.0.0		N/A
com.fanxuankai.zeus	canal	2.0.1		N/A
com.fanxuankai.zeus	canal	2.0.2		N/A
com.fanxuankai.zeus	canal	2.0.3		N/A
com.fanxuankai.zeus	canal	2.0.4		N/A
com.fanxuankai.zeus	canal	2.0.5		N/A
com.fcibook.quick	quick-parent	1.2		N/A
com.fcibook.quick	quick-parent	1.3		N/A
com.fcibook.quick	quick-parent	1.4		N/A
com.geirsson	sbt-big	1.1.1		91ead2ec6ac2188992bc46f3d03bba1ac798b1f1
com.github.cryptocurrency-testing	embedded-bitcoind-binaries-litecoin-bom	0.18.1-fromsrc		N/A
com.github.yhl452493373	webmodule	1.1		d8656816b02bcf0ec40925f7c600a3405766e9c7
com.github.yhl452493373	webmodule	1.1.1		4e57351baf40ed0d54b47ba34ed21de057b02dc3
com.github.yhl452493373	webmodule	1.1.10		a8f4e851191919ab87d2938fc70fe0ecbfd03dd4
com.github.yhl452493373	webmodule	1.1.11		7088303846103b4afa3b2a39c401cc9a163dbfcb
com.github.yhl452493373	webmodule	1.1.2		5c70bf7206f3f005713a7d73ef470d82518b3e16
com.github.yhl452493373	webmodule	1.1.3		067d48d53ce41c13df9959b3545081c9f8ad5fcc
com.github.yhl452493373	webmodule	1.1.4		f732d161d9415410f5b05c77ccefe3d4d4e79ffc
com.github.yhl452493373	webmodule	1.1.5		14a9cfd603c87f8a4707c279b7d0db8f1c48c152
com.github.yhl452493373	webmodule	1.1.6		ebcd686c31b7019a52e8cc81996c7f181695bd98
com.github.yhl452493373	webmodule	1.1.8		47197341c1fcacf330510e7f11b6dca3912041a9
com.github.yhl452493373	webmodule	1.1.9		11b21fbd014b4b88445d10500ece2b08b106a566
com.github.yhl452493373	webmodule	1.2.0		8e98b9282a31a335e3b468f32462957b10e1a2ce
com.ibm.cloud	watsonx-data	0.1.3		N/A
com.ibm.cloud	watsonx-data	0.1.4		N/A
com.ibm.cloud	watsonx-data	0.1.5		N/A
com.ibm.cloud	watsonx-data	0.2.0		N/A
com.ibm.cloud	watsonx-data	0.3.0		N/A
com.kazurayam	unittest-helper	0.1.0		a5a87ec1486a0d78003ffae95cc09991ebb3336b
com.kazurayam	unittest-helper	0.1.1		1299f171834e7b144c762ed151f3008a3b81f60e
com.kazurayam	unittest-helper	0.2.0		55573ec5f23bfb8e0cf91533afad79902007fb93
com.kazurayam	unittest-helper	0.2.1		95ab96e33566257602174a9accea43ac9cc5e0a8
