bouncycastle	bcpg-jdk15	140		6fdf17321df065223be5e73a0916a8c6dc383140
cn.easyproject	easycommons-image	1.4.2-RELEASE		ac0594c88766a97d0fe501e713ebab956efaa565
com.aliyun.lindorm	lindorm-sql-datasource-springboot-3-starter	2.2.1.4		3ef6df8165dc7f1506e18bfd5c3cec63e900407f
com.amlinv.xml	xml-tools	1.0.0		c3a99fc83848f0d4c445b3ba143ba74e1fe4a009
com.amlinv.xml	xml-tools	1.0.0	jar-with-dependencies	b5bf3d90810ccaaf0e4e60ac41ab6361ea7c0244
com.antgroup.antchain.openapi	openapi-saastest17	1.0.1		607217c2ab15a445942bc6b4355e9e517345089d
com.arsframework	ars-module-people	1.0.0		91cad65a3abdbadee79dcdf0368243ca03dcb4a1
com.arsframework	ars-module-people	1.1.0		4c0335cf449f678154e14ea70a1f115ae1a64b48
com.arsframework	ars-module-people	1.1.1		edd73d7fb07e671506d29a421a3695ff9bfa0835
com.arsframework	ars-module-people	1.1.2		538933ec7659510d15d3c052b17ea6a38c56d0bc
com.arsframework	ars-module-people	1.1.3		cba2d5843d519dc18bcdba153623b585b7f8afec
com.arsframework	ars-module-people	1.1.4		dd6429db6e46571c2237f46bddbffb4cdca9be31
com.arsframework	ars-module-people	1.1.5		598c5adc448c654d050c3cc43c008f2139750a58
com.arsframework	ars-module-people	1.1.6		5387faf1d33d98fbddbc537ea3536155a4b144a8
com.arsframework	ars-module-people	1.1.7		da1ba1e9c46ef3a3da8122bf1f876ec64bfb5db2
com.arsframework	ars-module-people	1.1.8		77957a21558436787337f24b8b4bfd07f885872b
com.arsframework	ars-module-people	1.1.9		973b4504f4ef65ca5fb68ebfac841e39d8f4438f
com.arsframework	ars-module-people	1.2.0		fff2fbb1b77602446202a2ed1887790c732c4c64
com.arsframework	ars-module-people	1.2.1		feb0a1a6af7220c3a33213d51def35c6d420e6b8
com.arsframework	ars-module-people	2.0.0		08982b4431b8839e7fbbb0d1c819db12d2babb70
com.att.ajsc	sdk-java-common	6.1-oss		cbb819c595a374978ad7911c45f6d0223dd12086
com.badoo.reaktive	reaktive-annotations-iosarm32	1.2.1		N/A
com.badoo.reaktive	reaktive-annotations-iosarm32	1.2.2		N/A
com.badoo.reaktive	reaktive-annotations-iosarm32	1.2.2	metadata	38785c7e7468647f45eb1886a3fae1d984b131cb
