au.net.causal.shoelaces	shoelaces-liquibase-integration-tests-common	2.0		N/A
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-45		N/A
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha38		5cc6019df5610552463e9c3e08b0a06096f0a4c0
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha39		2440b9293df504374e116c371d91292f17550b02
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha40		ca50a3070e5ad2d5aea08e2a0d1f6e0249279c0d
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha41		eb8a26fceea3fc3201fda25f2922579617fdc73e
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha42		d95a48600b353649e8086b021e1892b90ba1abce
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha43		e2522d3251555039da7d5640448ffbfa3ee76d53
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha44		67c1cdeed2c8385324eef333a5f5f351fa9b5c58
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha45		7c5cb6d2a53ca12ad35abe76f811cb44377bc127
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha46		384f501b12fff6f8310618ece59267360b4a551c
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha47		f330fca3d9c0519d49dd6b437711ae39e9abcad5
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha48		dd196570bffb7eb52377e2511defdcfe43375cd8
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha49		25983058e574dfb30f52f55ce1fcbc18c1993e75
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha50		e4599f134a5477d2b2c522d04a23ed52103282a1
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-alpha51		5397715022ed58b1f53b68fe854075e8095498b6
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-beta.1		ab066db78b316e66ca95c52009f605bd4bc7a932
br.com.zup.nimbus	nimbus-compose-annotation	1.0.0-beta1		2a3a013caee275f29228cb41c26ea92028903149
ch.cern.hbase	hbase-examples	2.1.3		7fc2bb0d0965a542a09750c1e647d7920f32d0ee
ch.cern.hbase	hbase-examples	2.1.3_1		64d3f8ca9b5144ca88ccb12b1b215e3a2ca61c85
ch.cern.hbase	hbase-examples	2.2.4		ff2e103a6c5ed1473b44ef24ae6639dbae60c3b7
ch.cern.hbase	hbase-examples	2.2.4_1		10bbbb3222b08badececf51abbd65095bfd5feb1
ch.epfl.scala	bloopgun-core_2.13	1.4.12-46-0dc735af		f2107d799f9e7a69443afd364108b081b47ad90f
ch.epfl.scala	bloopgun-core_2.13	1.4.12-48-81973d63		27d8382c63dd8241bafcfe2ab3e0458b7befd326
ch.epfl.scala	bloopgun-core_2.13	1.4.12-63-858a5944		118800643bc28efd45dacf104083093f7a956240
ch.epfl.scala	bloopgun-core_2.13	1.4.12-69-12bdc7f9		eb27b83bd18c94048d5bbeda19cb3cc1047bd6b6
ch.epfl.scala	bloopgun-core_2.13	1.4.13		789285587b2c79aceed6334f34fa07c1919e9572
ch.epfl.scala	bloopgun-core_2.13	1.4.13-12-6d14a532		23488a7590a6ed5505c6623216275aaf62cff3d2
ch.epfl.scala	bloopgun-core_2.13	1.4.13-14-4b53ae05		2a5162a283b821ad06fb67354414ba49829e4ed6
ch.epfl.scala	bloopgun-core_2.13	1.4.13-16-15c71fe5		e03a048f3cb8fcdb3cec21f30f60a1cf0db41b8a
ch.epfl.scala	bloopgun-core_2.13	1.4.13-18-3cc4983b		a72a3a7215e0669600115c4f2eab1bdfe7f5acc5
ch.epfl.scala	bloopgun-core_2.13	1.4.13-2-c3139cab		547c088f761c73d20800d0f108d8ef10b45a2424
ch.epfl.scala	bloopgun-core_2.13	1.4.13-20-5ae9868b		9346d1bb1b8d4ebc34df162f022c353ecaa60f1e
ch.epfl.scala	bloopgun-core_2.13	1.4.13-22-3cdfa19f		e86ce66632a88be5a29d88f52c3e10dc1aafac82
ch.epfl.scala	bloopgun-core_2.13	1.4.13-39-b0716798		5fc4bf7b090373569b38efc8e2ee830507744ad5
ch.epfl.scala	bloopgun-core_2.13	1.4.13-41-af59e70a		f0688b669d08e7aeff2d1372cb6ce02e0bf30caf
ch.epfl.scala	bloopgun-core_2.13	1.4.13-42-1b6633ae		8b43479eda01f48fb535d53a2a0796775520d3a3
ch.epfl.scala	bloopgun-core_2.13	1.4.13-43-2580f21c		a91a5491cee2a5c57e6eaaed354cb84ce0d03bbe
ch.epfl.scala	bloopgun-core_2.13	1.4.13-45-7848b602		67052fd0b1329b7f7437215d7169828ac0ce254e
ch.epfl.scala	bloopgun-core_2.13	1.4.13-47-46c03349		c1d506dfbfd844e741b1eab113016c81e4d60c17
ch.epfl.scala	bloopgun-core_2.13	1.4.13-48-a9b3ea59		898463d54ffcfdc038a01bb6b3689bab666e3a42
ch.epfl.scala	bloopgun-core_2.13	1.4.13-50-8332ee9c		027970ba4fba0584f8f7a5d851b3e2864d63da1a
ch.epfl.scala	bloopgun-core_2.13	1.4.13-53-823cde49		fa27dda721e990938997861ea6d70078c6ece22b
ch.epfl.scala	bloopgun-core_2.13	1.4.13-55-1fc97fae		3337f921c19838a84548a3274c6982169b4673de
ch.epfl.scala	bloopgun-core_2.13	1.4.13-57-5c286956		37844b9bbf342489cda66b02d1475735383a7d1a
ch.epfl.scala	bloopgun-core_2.13	1.4.13-58-ebf0cf42		9f8c635d3e0ffbe82842cd1d913630bc85440e7b
ch.epfl.scala	bloopgun-core_2.13	1.4.13-6-7f377e9b		3c1447f68c141d293db72fe149a0db8fce3fc155
ch.epfl.scala	bloopgun-core_2.13	1.4.13-62-29904e14		ee7a6283ca3156673f5568a0a0aa4cae590a9a5f
ch.epfl.scala	bloopgun-core_2.13	1.4.13-64-4e5281cb		039843be9c8d3cb9e4a04f8b6b48b5185e287102
ch.epfl.scala	bloopgun-core_2.13	1.4.13-66-fa868362		8f0340e7245d07ccdb7447a664db2f65d074340e
ch.epfl.scala	bloopgun-core_2.13	1.4.13-67-aab21b15		0eedc096436535ced4df018eb2c46cb269839997
ch.epfl.scala	bloopgun-core_2.13	1.4.13-69-805134a0		d2c1154b6954d91ea2615235e9ca5aaffd094a8d
ch.epfl.scala	bloopgun-core_2.13	1.4.13-70-d6f16202		41db92ed0e2bc6d3da7ce09e4a9edaade7e32522
ch.epfl.scala	bloopgun-core_2.13	1.4.13-72-bfcb7098		74e5aa06c5e5dad17e8142fbb6958d009ea46d72
ch.epfl.scala	bloopgun-core_2.13	1.4.13-73-3cdeef0c		e0495afe5a3a749e92d01b031292a85267293224
ch.epfl.scala	bloopgun-core_2.13	1.4.13-75-f9d1bef5		fb49455a4500e3e98b8b77b02f426d0c3ab17b9e
ch.epfl.scala	bloopgun-core_2.13	1.4.13-76-34e8105f		437a8128b3ca8cf960637145a263bb6f50c46c7a
ch.epfl.scala	bloopgun-core_2.13	1.4.13-78-8397160d		bddca9b924259735597daf296b6c23d596613288
ch.epfl.scala	bloopgun-core_2.13	1.4.13-8-db0eac20		9362dbc79df2b2678390c249c5c5c11835655c02
ch.epfl.scala	bloopgun-core_2.13	1.5.0		8a89aca03630cf524d410215caa11b062f807c9e
ch.epfl.scala	bloopgun-core_2.13	1.5.0-10-2d576c18		ba8abefc552427b465cfbfce178c62d1dd7b4dd8
ch.epfl.scala	bloopgun-core_2.13	1.5.0-12-f9d29d4f		5149795863b7b1f6003056a9ad3d3afbdb10588b
ch.epfl.scala	bloopgun-core_2.13	1.5.0-14-f4caf586		685d50c6d472018edaa98948705413a061482bce
ch.epfl.scala	bloopgun-core_2.13	1.5.0-16-515f9954		23e76944a391c4b8b7f9224b8c8ad6c174606c35
ch.epfl.scala	bloopgun-core_2.13	1.5.0-18-003e6c7b		f3ad827d73c6c971829ef4f077bf9e8b61240ded
ch.epfl.scala	bloopgun-core_2.13	1.5.0-20-bd0f2179		273252694a15e53338db086a78a78eca6eab2427
ch.epfl.scala	bloopgun-core_2.13	1.5.0-22-91111c15		ef1d014c97ee6541db91fed6bef88c13755756d3
ch.epfl.scala	bloopgun-core_2.13	1.5.0-24-d65d9761		ee44580dbf9795691e381026597335f044091b56
ch.epfl.scala	bloopgun-core_2.13	1.5.0-26-a132042c		15fec4bb22bd0ab62c46b600a8e65f98f742fb86
ch.epfl.scala	bloopgun-core_2.13	1.5.0-28-2c4ea387		5ae3ff4599df3211bb265579af0dc5018df4a1a2
ch.epfl.scala	bloopgun-core_2.13	1.5.0-30-571d4c74		c4c814a4eb2b85ffdad59fcfe8585bc206791a38
ch.epfl.scala	bloopgun-core_2.13	1.5.0-4-324c6c4c		492d7dc2a7dd6cf3726ae4ec5affb0d51e190238
ch.epfl.scala	bloopgun-core_2.13	1.5.0-5-2a743608		08e1fd8f381cf0423131a03c40de89db236f5b33
ch.epfl.scala	bloopgun-core_2.13	1.5.0-9-0dbff6a3		f93b428c62e901058728e775f5cead2d94e6a764
ch.epfl.scala	bloopgun-core_2.13	1.5.1		04408f2b6812814a53306e85ad1a8ec7f5270426
ch.epfl.scala	bloopgun-core_2.13	1.5.1-2-2cb26b01		c6ec58beefd38b1c74759979649fa5b9017554aa
ch.epfl.scala	bloopgun-core_2.13	1.5.1-4-de121a34		60440988bfd5e4d70fbc72f5c48abd8affce644a
ch.epfl.scala	bloopgun-core_2.13	1.5.10		d3ddd2e1f93dd26ace98aad1a774c7e9a24e7ade
ch.epfl.scala	bloopgun-core_2.13	1.5.11		15068cc946309a05c671a92618e5cc9db8ba5435
ch.epfl.scala	bloopgun-core_2.13	1.5.12		4addff6156f7ff3b9f1f652a7ed408896ef99c5a
ch.epfl.scala	bloopgun-core_2.13	1.5.13		efabc0ca221af6e15e0f27795c6f04724cb7014e
ch.epfl.scala	bloopgun-core_2.13	1.5.14		186f0238d69785d23b8a02530774b00a7b1b7077
ch.epfl.scala	bloopgun-core_2.13	1.5.15		44656e71e743256147b8223295149360345de2f4
ch.epfl.scala	bloopgun-core_2.13	1.5.16		62284deaa739dea352f6b87ae497c4a50309e81e
ch.epfl.scala	bloopgun-core_2.13	1.5.17		f245c01d3abfea4b47a833dba99b69fc5ec37583
ch.epfl.scala	bloopgun-core_2.13	1.5.18		ea692c965420b15fa5eb832e47ad8fd81d05160b
ch.epfl.scala	bloopgun-core_2.13	1.5.2		cfdc39d0c2a841890661f711f0002bab6d8ff16b
ch.epfl.scala	bloopgun-core_2.13	1.5.2-10-02877e3b		eb067a903b744906c59c7c97f9f1e7c355fd1696
ch.epfl.scala	bloopgun-core_2.13	1.5.2-11-c1fd321b		2b340953ecb0fd5293f5857221856ea0d7154dea
ch.epfl.scala	bloopgun-core_2.13	1.5.2-12-a4a940eb		a14814b4bd76575d30d80adb56f5dd0dd461abe5
ch.epfl.scala	bloopgun-core_2.13	1.5.2-13-15ded987		10f0432ec3e0deb6aef530ab64f880eef10e7cac
ch.epfl.scala	bloopgun-core_2.13	1.5.2-14-4fb685f2		8906c1231af6525a47f4dab6dcfedc153cf4803d
ch.epfl.scala	bloopgun-core_2.13	1.5.2-15-554bc607		5fc9daf26f99369319a53b3b050544db6fa976f0
