app.cash.paparazzi	native-macosx	4.1.0-ae77d65		c508c286e12f14e7f44f058d7181dbc11d525c5f
au.com.govlawtech	dvasopapi-dtos	1.3.0		627f009c80acda067362fec06d1f0643f12f905b
au.com.govlawtech	dvasopapi-dtos	1.3.1		dfb9f9381a469f26d2759e8b04f8fdf7fb364b50
cn.qqhxj.common	sprong-boot-starter-rxtx	1.3-RELEASE		32d4d96c3e2e2c7fb422d9f67a41c94e8f953ada
co.touchlab	android-arch-driver	1.2.0-noandroidx		N/A
co.touchlab	android-arch-driver	1.2.1-noandroidx		N/A
com.alejandrohdezma	dummy_2.13	0.1.0		b96024aaf05d627f282f989c8e59f87bc3abdcf3
com.alejandrohdezma	dummy_2.13	0.2.0		3d877cd9591a7796ef6b6cce4d4a9eef79da4066
com.alejandrohdezma	dummy_2.13	0.3.0		e7ba4085f7f2397b3af3c503f83f9c3461a6c3e1
com.alejandrohdezma	dummy_2.13	0.4.0		cf95ee12deb769d11bbf00adbb1364547a3e074e
com.alejandrohdezma	dummy_2.13	0.5.0		2226bc9efefc1936c7288532d95a49377d48881e
com.alejandrohdezma	dummy_2.13	0.5.1		730cff820f39c952a5cea26d43bde8b6e92d5689
com.alejandrohdezma	dummy_2.13	0.6.0		710e35544e86f7899ad6845bfb4dd628aa7b169a
com.alejandrohdezma	dummy_2.13	0.6.1		c0f3456731bfc1c4d0b4245f76e1a768c3b8e7d5
com.bbossgroups.plugins	bboss-plugin-apollo	5.7.6		4bd109385f707e7d5f65eef5b413a7a6bb428f69
com.bbossgroups.plugins	bboss-plugin-apollo	5.7.7		a3f44981403a23505fc3e77fd12941ba6c0f0fcf
com.bbossgroups.plugins	bboss-plugin-apollo	5.7.8		35d71dadf146e295d7a92ee5e77fbff676612a1b
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.0		b8595efd2757c15dfeb290b5a16d6d5394594600
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.1		c97649389e345c33b6af5f320dd57e0f260ccc61
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.2		69b4972ff9f6b838075f7e9ea9badd60a9bd3066
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.3		6d4355b5d1c76ff8026e2145e3e3d76dc78d1857
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.5		8b0ae1be645ef61df3306e0904f319a560de3c77
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.6		2a1934a26ee951917ace171ab5e292b88fc81cfb
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.7		ecc8ddd91cf17f8357afe71f2110ecccfccee867
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.8		baf6b72a9fb8e2099ea794b6f5837edf874f5923
com.bbossgroups.plugins	bboss-plugin-apollo	5.8.9		235e4498a0095642e0a4d018c46922cc35b5f391
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.0		28eed39dcf05bb0905793a2fbd9e1026f013d144
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.1		4dca0b7f18d0ec6e42304eea022777432517a00a
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.2		77e0e42cf4b5eb203c94a57df3c9a1065cb2ef01
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.3		3a8cae9d985066e6a05a1c95c20a93bfe1f6c27f
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.5		d4158e7c5e2d6fc056a7c06a78893cec383a44e8
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.6		c8a3594a46a7d7d5e73f978b380b40c2d34a0987
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.7		a14cdd56b5c5a3e2a67fce2161861517268cba65
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.8		36d15147a08647d27e5d0014226bda563372c36a
com.bbossgroups.plugins	bboss-plugin-apollo	5.9.9		f7ec05439dc68c8c1fd10a5ee728fb16f7113286
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.0		da737a855559d49f705b8bfd9a495366af289354
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.1		b2ce68b4c32324deb209a260b4b60914322b09f2
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.2		52f8a542ba5a8249295eb799475f78b7aa8a3273
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.3		22805c7e2fadddb992de316e5bbdb20f040e1ea3
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.5		452c57bc592017e5cee8c8b427a6561c76d23ea5
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.6		76b28a7aefa0fa845460b426926aff03da809bf8
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.7		6530d9c9d8924d689be5eec9ffde028f98da6a84
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.8		45d8f39239cb76dd9786788c2dff20b2c20609b0
com.bbossgroups.plugins	bboss-plugin-apollo	6.0.9		3eabdede420bd542b9c5df51fc0a242825801b9c
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.0		4a4277535c765b8a511957f1d94fe9da9d698fd6
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.1		294134c4bd4a19100b2d27f7f566b3ee10fa0e08
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.2		12fc62f834e066e8b35461839996cfef6eb6fee7
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.3		2e46de1ab6b7df48415e7e68679c149ed980b592
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.5		a91e462a3b07164a7250625e85490e76618182b1
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.6		e984cde26ca8a033061470fd9d8ecbad507d8aec
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.7		0c6359dbb138eebb65b6230a73eb6163030281bb
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.8		ebce242039ea79364a41134a1615f59b8550ed58
com.bbossgroups.plugins	bboss-plugin-apollo	6.1.9		3e47df5d40d6cadcbf4a269e5f54c8b9559e7de9
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.0		6b3a9d6e40eff6efb09c92f5d64cfa789ba1753e
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.1		176de261a0bcd3867327548e7e28790966397c17
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.2		8b4fbcd533d9bb4ae18d17752f69603cfd4e483c
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.3		a7912d177ae515a58c10780a9ce549479e575bad
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.5		e6f2cbc6efff3a84332d1ccbeaf1f503378682e6
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.6		b9008e51f4e88f63f8bd7d7cae3633ee389c4fd2
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.7		e93d817de9f2ae3f500213e8278add351d278385
com.bbossgroups.plugins	bboss-plugin-apollo	6.2.8		32f03e3774b0c7538bd4d7bf4b6a5bf923c25746
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.0		4685f7618eb1a5895cf3a072a31e860ed5a94470
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.1		06acb013616dea40dd80438ad3db1a5691f2a5f6
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.2		366b1eb89eb45691ce9cede465bbb2b64a15111c
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.3		019e4e126d90658cf2adb4d140af79b0d045dd75
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.5		4936b5fa5588fe48a818557811d72f155d5e7e54
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.6		4b46aa8cbad6b35f477ab66779c1a7532c4db014
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.7		57bc6c817596728282b4ae89583c2cc1af9e1d22
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.8		7b507a04af5d0e166c42b75fe7e2a2b3b8f02307
com.bbossgroups.plugins	bboss-plugin-apollo	6.3.9		371ac1642ec0a62f02692a0f1f1542f568163652
