cc.drx	boot_2.13.0-M4	dp		55c9b9174c3b97787c3f85fca4d668a310851e3b
cn.jiguang.sdk.plugin	fcm	3.7.0		N/A
cn.jiguang.sdk.plugin	fcm	3.8.0		N/A
cn.jiguang.sdk.plugin	fcm	3.8.5		N/A
cn.jiguang.sdk.plugin	fcm	3.9.0		N/A
cn.jiguang.sdk.plugin	fcm	3.9.1		N/A
cn.jiguang.sdk.plugin	fcm	4.0.0		N/A
cn.jiguang.sdk.plugin	fcm	4.0.6		N/A
cn.jiguang.sdk.plugin	fcm	4.0.8		N/A
cn.jiguang.sdk.plugin	fcm	4.0.9		N/A
cn.jiguang.sdk.plugin	fcm	4.1.0		N/A
cn.jiguang.sdk.plugin	fcm	4.1.5		N/A
cn.jiguang.sdk.plugin	fcm	4.2.0		N/A
cn.jiguang.sdk.plugin	fcm	4.2.2		N/A
cn.jiguang.sdk.plugin	fcm	4.2.4		N/A
cn.jiguang.sdk.plugin	fcm	4.2.8		N/A
cn.jiguang.sdk.plugin	fcm	4.3.0		N/A
cn.jiguang.sdk.plugin	fcm	4.4.0		N/A
cn.jiguang.sdk.plugin	fcm	4.4.5		N/A
cn.jiguang.sdk.plugin	fcm	4.5.0		N/A
cn.jiguang.sdk.plugin	fcm	4.6.0		N/A
cn.jiguang.sdk.plugin	fcm	4.6.2		N/A
cn.jiguang.sdk.plugin	fcm	4.6.3		N/A
cn.jiguang.sdk.plugin	fcm	4.6.4		N/A
cn.jiguang.sdk.plugin	fcm	4.6.6		N/A
cn.jiguang.sdk.plugin	fcm	4.7.0		N/A
cn.jiguang.sdk.plugin	fcm	4.7.2		N/A
cn.jiguang.sdk.plugin	fcm	4.8.0		N/A
cn.jiguang.sdk.plugin	fcm	4.8.1		N/A
cn.jiguang.sdk.plugin	fcm	4.8.3		N/A
cn.jiguang.sdk.plugin	fcm	4.8.4		N/A
cn.jiguang.sdk.plugin	fcm	4.8.5		N/A
cn.jiguang.sdk.plugin	fcm	4.9.0		N/A
cn.jiguang.sdk.plugin	fcm	5.0.0		N/A
cn.jiguang.sdk.plugin	fcm	5.0.3		N/A
cn.jiguang.sdk.plugin	fcm	5.0.4		N/A
cn.jiguang.sdk.plugin	fcm	5.0.7		N/A
cn.jiguang.sdk.plugin	fcm	5.0.8		N/A
cn.jiguang.sdk.plugin	fcm	5.2.0		N/A
cn.jiguang.sdk.plugin	fcm	5.2.2		N/A
cn.jiguang.sdk.plugin	fcm	5.2.3		N/A
cn.jiguang.sdk.plugin	fcm	5.2.4		N/A
cn.jiguang.sdk.plugin	fcm	5.3.0		N/A
cn.jiguang.sdk.plugin	fcm	5.3.1		N/A
cn.jiguang.sdk.plugin	fcm	5.4.0		N/A
