app.cash.redwood	redwood-modifiers	0.4.0		e1bfa0fb6de0e69fa9c7b14304f5d405f1028bc9
ca.gosyer	accompanist-swiperefresh-android	0.20.1		N/A
ca.gosyer	accompanist-swiperefresh-android	0.24.4		N/A
ca.gosyer	accompanist-swiperefresh-android	0.25.0		N/A
ca.gosyer	accompanist-swiperefresh-android	0.25.1		N/A
ca.gosyer	accompanist-swiperefresh-android	0.25.2		N/A
ca.gosyer	accompanist-swiperefresh-android	0.30.1		N/A
com.ToxicBakery.logging	arbor-wasm-wasi	2.0.102		N/A
com.ToxicBakery.logging	arbor-wasm-wasi	2.0.103		N/A
com.ToxicBakery.logging	arbor-wasm-wasi	2.0.105		N/A
com.admc	gradle-javaPropFile-plugin	0.1		541b0ac3d8e3417645ae7e1f31be28698b0d8930
com.admc	gradle-javaPropFile-plugin	0.2.0		4d8ee7720481678e63c2c72d3cc1e0686910ea43
com.admc	gradle-javaPropFile-plugin	0.2.1		91f0c522d710250db2086d830cfce82228f51e73
com.admc	gradle-javaPropFile-plugin	0.2.2		2e9f203af370fee90b9b8bb7b2709e7d451ac5e7
com.admc	gradle-javaPropFile-plugin	0.3.0		52fb36487845ee3e189b8f67870e6ed20aae2b39
com.admc	gradle-javaPropFile-plugin	0.4.0		a815f4aa44c24e04a924c40577c590b23150459f
com.admc	gradle-javaPropFile-plugin	0.5.0		dd3cad78348b59c344c2b35c7f3dc92324ae8995
com.admc	gradle-javaPropFile-plugin	0.5.1		8405f622edc0e6d2909211826dc200b40fdfaf3a
com.admc	gradle-javaPropFile-plugin	0.6.0		dd32d50a5f137d7da02ab34d170a80489e2672f8
com.arm.mbed.cloud.sdk	backends	2.3.0		58cbf8a8e66f5c789cc9acbda7c93df76d649136
com.arm.mbed.cloud.sdk	backends	2.3.1		628d1fe2bdc28239c2ff8595b52bf70cef0748b1
com.arm.mbed.cloud.sdk	backends	2.3.2		15592fa94a3c1a0440f198b7c22d381e391ea83e
com.arm.mbed.cloud.sdk	backends	2.4.0		156788824229d370c89c273c31384ccf19a7d385
com.arm.mbed.cloud.sdk	backends	2.5.0		4a576a870b76c47dc06a59b5144a789ef9fd2f27
