apache-jaxme	jaxme-incubation	0.2		673e597271e0a5c22680efbaefdfe9c8c35ce1ff
berlin.softwaretechnik	jsonmatch	0.0.1		c7da50dd64cabc230c8d8001914e533b57d38ba2
berlin.softwaretechnik	jsonmatch	0.0.2		6d1754f0ad43e3ed878bc2e55f8d677139cea7b7
berlin.softwaretechnik	jsonmatch	0.0.3		debdc63abc5a759ead9502378461e51ca6c5defa
berlin.softwaretechnik	jsonmatch	0.0.4		9d5c82c272b0b93b59a9e6cd11cf3e5900169452
berlin.softwaretechnik	jsonmatch	0.0.5		8bc2311efebb6d2a57908dc975c15c92abe36167
berlin.softwaretechnik	jsonmatch	0.0.6		02642c5898d81c6ed0cebd87f7ab551274accaba
city.hiperium	cities-commons	1.0.0		a2841a4bdcbe94c53bc6fe1a529557e1fb9edca9
city.hiperium	cities-commons	1.0.1		70a6d167ef0a5e46d31a83014676a4f1d0434f9c
city.hiperium	cities-commons	1.0.2		c40c7aef74eafc181a86c6c6a5250d60ada36376
city.hiperium	cities-commons	1.0.3		c43d60ff1e47a17dfd695ed3da1a538348550411
city.hiperium	cities-commons	1.0.4		c4ab0dce55a54842a73165dbdd13414425ce53b1
city.hiperium	cities-commons	1.0.5		bae7e7f1a4e9521e01e613fd9b1c7024709d78e5
com.alibaba.blink	flink-shaded-curator	1.5.1		23dc2af9c8ad50edf453c267b50f6aaea0c02dc7
com.alibaba.blink	flink-shaded-curator	blink-3.2.0		e328cf351f7ca1c01b99c72dc437c14989496a1c
com.alibaba.blink	flink-shaded-curator	blink-3.2.1		b75072e4d1e5baa38dd83807542f4b82c5dca06a
com.alibaba.blink	flink-shaded-curator	blink-3.2.2		ca035ed4d69fa396de1248ed96ff371b444e68d2
com.alibaba.blink	flink-shaded-curator	blink-3.2.3		e695a46ddbf41cee10dec82a181aeb344b949bff
com.alibaba.blink	flink-shaded-curator	blink-3.2.4		4fcb34c69a956fdbc0ec51b179aa795070f64c6c
com.alibaba.blink	flink-shaded-curator	blink-3.3.0		a2c9d9dda5502bfb77f3d82aaf89e2f2157253cc
com.alibaba.blink	flink-shaded-curator	blink-3.4.0		b8c15607df0be2e30b6c8d14bb7d4ebdeda80d4f
com.alibaba.blink	flink-shaded-curator	blink-3.5.0-RELEASE		N/A
com.alibaba.blink	flink-shaded-curator	blink-3.6.8		e850d06f7398c57d0099d8ac8dcbe573dcdf153a
com.alibaba.blink	flink-shaded-curator	blink-3.7.0		cb8e12c141b4e03e7797b6ee07c9cbd53ef7b033
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0	metadata	79208db5630c86d201d77bbf1f7cdcbffa8abe2e
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0-alpha01		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0-alpha01	metadata	2d81d98cfc7e81775423b8a69f964b6454ed1c0d
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0-beta01		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.0.0-beta01	metadata	e6204243198fd6596c38f51eb38c9fcb64c42cc6
com.badoo.reaktive	utils-internal-watchosarm64	2.0.1		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.0.1	metadata	e6ae72b8198c1829963ecce88992acc3f3411a90
com.badoo.reaktive	utils-internal-watchosarm64	2.1.0		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.1.0	metadata	0a58aebbae8e5914f10eb4fdcc2614c9f1db037c
com.badoo.reaktive	utils-internal-watchosarm64	2.1.0-beta01		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.1.0-beta01	metadata	9e9327483ade066421babc02f1338e5d12482b2e
com.badoo.reaktive	utils-internal-watchosarm64	2.2.0		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.2.0	metadata	ade6bdc22212d2e292b2d22d949ae3370615db48
com.badoo.reaktive	utils-internal-watchosarm64	2.3.0		N/A
com.badoo.reaktive	utils-internal-watchosarm64	2.3.0	metadata	47058ed56a5177172b45f2eccc3e822939dd6cbd
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta1		5270df4e867010873b09c3b39ddc84367e22bf50
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta11		114f6d90afca8e459f749c57064f3cc908e60461
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta12		d374888234df97f9e00f48babee3ab8d12ab1b5f
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta2		b88f67c0621100de4b10893af790ee3f872dadb5
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta3		c8e1b890951422cb4925eda3c445de6d91142a67
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta4		bbb5bfd77dbda73f46b5ffda2612d8ebfd7dc3b3
com.bizmda.bizsip	log-spring-boot-starter	1.0.0.Beta5		1485d1429823877cf4e9bfeeb7bd3abbc2da9642
