au.id.jazzy	play-geojson_2.12	1.7.0		d367c91ae1ff22979a8aca57d5e7fc11f14151af
au.id.tmm.bfect	bfect-testing_2.13	0.1.0		3ffe3843e7fe114fb975cf44e2af31915cd98d9b
au.id.tmm.bfect	bfect-testing_2.13	0.2.0		856f9f0d7615ce16c6386043a463452e65fcf5cb
au.id.tmm.bfect	bfect-testing_2.13	0.3.0		f4d57b5e3f2e027d20f03970182a52011d49cb35
au.id.tmm.bfect	bfect-testing_2.13	0.4.0		c73fefcc218dcb97e37d71a51142dc736ba77ea5
au.id.tmm.bfect	bfect-testing_2.13	0.4.1		4f429356899c272d6c71104ceb9ce7aa9c4e6e44
au.id.tmm.bfect	bfect-testing_2.13	0.5.0		965ddf09ed449c5819596bb7e65e6ab82d1d9c2e
cn.allbs	allbs-sms	1.0.0		9968fb35e86c0e9cefccf2ed64da7d131b52523d
cn.allbs	allbs-sms	1.0.1		ec1502682f206e01203741bbddbd238d30809f51
cn.allbs	allbs-sms	1.0.2		264be2ea9e532f977eb6ab8244dd4884fa5bd9aa
cn.allbs	allbs-sms	1.0.3		40ad2780c7f1f0be7815e7954e1911527ac70630
cn.allbs	allbs-sms	1.0.4		2f20ead782266b191a673963285897935732bc8f
cn.allbs	allbs-sms	1.0.5		52bb6f1f8e72688658a631efd5a9c217508b1481
cn.allbs	allbs-sms	1.0.6		54d41b6ced00313cb06bbe521627611926e69722
cn.allbs	allbs-sms	1.0.7		e9c8ea45933cb594356db2427f5d9b005329025f
cn.allbs	allbs-sms	1.0.8		8c99cdeae8ed03339920c0f6a7311ea9620ace2c
cn.allbs	allbs-sms	1.0.9		6f929ee3ef541f074b5f97bb60539a2d8f9541e9
cn.allbs	allbs-sms	1.1.0		d3acf01353efbde91a882f69830de064728bccde
cn.allbs	allbs-sms	1.1.1		fae83ea0618c72cd1a40c3827661cf580668a65d
cn.allbs	allbs-sms	1.1.2		ddaebbcf612c13edd86aa8923e20318d7bd50ae4
cn.allbs	allbs-sms	1.1.3		e547f742061cbb6d665a565c26a58ee6bb939094
cn.allbs	allbs-sms	1.1.4		131ae1bfda1b9b4b00840ec75820b49bc7d041f7
cn.allbs	allbs-sms	1.1.5		129c3679a18448ee5044478c6526a0ad5ecf704d
cn.allbs	allbs-sms	1.1.6		e94b6b31a1f51275d7f9c62090f41e154175cb38
cn.allbs	allbs-sms	1.1.7		c30718bcba03177df829763545fea0718cbeeb97
cn.allbs	allbs-sms	1.1.8		25e4f758b9acd59fee2bad5e6ba4255be33fc43c
cn.allbs	allbs-sms	1.1.9		d96dcd8e5a9c4a9818c3d2d30f3870471b9d3d47
cn.allbs	allbs-sms	2.0.0		7f33f640ca49da8028832008b37a69caa3eb7673
cn.allbs	allbs-sms	2.0.1		5704c0ba397278066718c426d853c2bdf16727d7
com.47deg	default-fe520a_3	0.8.0		8d6e0c48220b76a719d463a330120e5fef614406
com.adidas	dependencysorter-core	0.0.1		46e6ded3fced60aeb8879f7da478fa3632fd3c86
com.aliyun	aliyun-java-sdk-clouddesktop	1.0.0		a5f85212b0071b8a4b76a5d7caef2bd49c25054a
