at.iem	sysson_2.10	1.12.0		0cf0b2b40acd4a8b5742b0ab08f9838f475ea92b
com.airhacks	igniter	1.1		2c8316b5509e1d375c4be8401c64c462024c3701
com.airhacks	igniter	1.2		aac644daaf0d20e8ce74a0d8a79154b020d85ce2
com.airhacks	igniter	1.6		bf9bad5da420420a6a23d4684a9b3cbcee54949d
com.airhacks	igniter	1.7		a25a26601507e1b998e0cfd546955254fe5ae961
com.airhacks	igniter	1.8		54ce2d1fe9b6a915d762cb16128160daf33c316c
com.airhacks	igniter	1.9		66e21a8b612f7408f5cb6d812023cbc8816b1374
com.airhacks	igniter	1.9.1		1a4c18bbd0376991397b0aa0010f7338c5ac4c6a
com.airhacks	igniter	1.9.2		8355b32fb715580032e2352bf43096ce02063790
com.airhacks	igniter	1.9.4		210342e6268e70ac3c94553c71adf1acdab1577c
com.alibaba.ververica	ververica-connector-sqlserver	1.12-vvr-3.0.2		196514fb62c6cefcfbd4a51b53e30d02f69626e9
com.alibaba.ververica	ververica-connector-sqlserver	1.13-vvr-4.0.15		5c04a23a86274765d80284967da37df1eac8892e
com.alibaba.ververica	ververica-connector-sqlserver	1.13-vvr-4.0.7		d63a22b9c1bc350969f54732ba3f98bcffc2cf8b
com.alibaba.ververica	ververica-connector-sqlserver	1.15-vvr-6.0.2-3		fe1b4207d8448ac9f8e32ba8a24b27cd9e7d65a9
com.armanbilge	circe-scodec_native0.4_3	0.14.2-158-f15be0d		f3405f827d0dafcdf5bd4d2f4678392e8624f040
com.developmentontheedge.be5	be5-metadata	0.3.1		7f86d63ba29210d85ec0c535dc3eb091fd05dced
com.developmentontheedge.be5	be5-metadata	0.4.0		449edf189655e668bb30fa3683bcfe9d7ea6ed75
com.developmentontheedge.be5	be5-metadata	0.4.1		c8779ff79c5bea17c42721f8c469def98828ddf8
com.dipien	firebase-database	1.0.0		bcbea0c369381f82e12e1c676862ae9624612e13
com.eworkcloud.starter	ework-cloud-starter-image	2.0.0		fe21291cbdd76cbde495a6ec51791d751376d57e
com.eworkcloud.starter	ework-cloud-starter-image	2.0.1		7bc71ff6facc1968c05c1c79160502d2361fd251
com.eworkcloud.starter	ework-cloud-starter-image	2.0.2		bd77b17177b5ece1ca248350e25ef8bd98cb4acd
com.eworkcloud.starter	ework-cloud-starter-image	2.0.3		513e2efb59ddad7376cceb377bfd32f56c1bfd56
com.eworkcloud.starter	ework-cloud-starter-image	2.0.4		4e2339ac78cfa62bb1314bbac3b995c8ade51240
com.eworkcloud.starter	ework-cloud-starter-image	2.0.5		a40a045a39032cbb53ef39c535b5acdf14f0d264
com.eworkcloud.starter	ework-cloud-starter-image	2.0.6		1fbf56707a8e2e9dbcd3eb6cde6ec2430682bfad
com.eworkcloud.starter	ework-cloud-starter-image	2.0.7		47626f56c68ad0f2ab635376f9b4f1677911d2cd
com.eworkcloud.starter	ework-cloud-starter-image	2.0.8		d6ea103c175ea55d48408b57989e6eed0899f554
com.eworkcloud.starter	ework-cloud-starter-image	2.0.9		a2109914b9477a918901bb9905701f2e82536d4e
com.eworkcloud.starter	ework-cloud-starter-image	2.1.0		efed2cb96b55e29ed3d94c2f5c054b1da86babaa
com.eworkcloud.starter	ework-cloud-starter-image	2.1.1		635b07dab3be6bf9a72d8f6d2c84f156d832ccfa
com.eworkcloud.starter	ework-cloud-starter-image	2.1.2		87da2043198449134deb377651a5c840556e25f2
com.eworkcloud.starter	ework-cloud-starter-image	2.1.3		ccf74a40d43d371a3f6c84e3e8f61dc97fe2dc3d
com.eworkcloud.starter	ework-cloud-starter-image	2.1.4		a606e5419351ff7715c14480f46dae042a3ec01a
com.eworkcloud.starter	ework-cloud-starter-image	2.1.5		de683013ff6ada35a3ea4cf7a71f0b4e4e32b77a
com.eworkcloud.starter	ework-cloud-starter-image	2.1.6		376fa3764633f9850828f115e04628430a612b5d
com.eworkcloud.starter	ework-cloud-starter-image	2.1.7		20f128b0569c23e5337ca79fca7e57ca5f5d9d00
com.eworkcloud.starter	ework-cloud-starter-image	2.1.8		60a18d5194bb6d48765536b30b116d00a50a0c75
com.eworkcloud.starter	ework-cloud-starter-image	2.1.9		7eaa3c1ff1953c57bae32b6e6e4c4ed4d6ba7206
com.eworkcloud.starter	ework-cloud-starter-image	2.2.0		e3eccdc8fc2cd8897ec1e1fc8d8150195502914a
com.eworkcloud.starter	ework-cloud-starter-image	2.2.1		5d2034e726c68792927bb4abcddee1605579f5f3
com.eworkcloud.starter	ework-cloud-starter-image	2.2.2		62442c882efcb6ca8aa26634bf09b432a5ffeac2
com.eworkcloud.starter	ework-cloud-starter-image	2.2.3		015debcbe01b3ceaee5752b7bdca38d8e0f6e4d2
com.eworkcloud.starter	ework-cloud-starter-image	2.2.4		b5c35deb79502aec53ebdeaf8cf06bdfbdbfa6a2
com.eworkcloud.starter	ework-cloud-starter-image	2.2.5		4e95b440d67b19486f3a1a20243438f84c75173e
com.eworkcloud.starter	ework-cloud-starter-image	2.2.6		66005c921b668bdf03e78fcd5746c4721269ab3e
com.eworkcloud.starter	ework-cloud-starter-image	2.2.7		2145febaf05d47cbdc69d833cc7a1e33aacda20a
com.eworkcloud.starter	ework-cloud-starter-image	2.2.8		76fedee810233885dffb8d16bac9aa715a32557d
com.eworkcloud.starter	ework-cloud-starter-image	2.2.9		d122abc0e42096b7299640d2a0bdd4cf35bd8f8e
com.eworkcloud.starter	ework-cloud-starter-image	2.3.0		a24ebcfa29f55cad3615d1f333a0248c8a31e650
com.eworkcloud.starter	ework-cloud-starter-image	2.3.1		2d4465456f0623574f2d9cf0074961b85cf3da04
com.eworkcloud.starter	ework-cloud-starter-image	2.3.10		3e0b4a74df1e57b2b7a4e1f06666beb1a91f58e6
com.eworkcloud.starter	ework-cloud-starter-image	2.3.11		ddc8d9079b8bba1a34fef030e40b9db2800c83c9
com.eworkcloud.starter	ework-cloud-starter-image	2.3.12		bdf65da2fe000a2f008baf2c3606b48c6f9f302e
com.eworkcloud.starter	ework-cloud-starter-image	2.3.13		7f68dfd0406c95e83ade8952ec1e9cfb7a4f548c
com.eworkcloud.starter	ework-cloud-starter-image	2.3.14		9e822a3d3c2534fa479aa72305bb34239546d135
com.eworkcloud.starter	ework-cloud-starter-image	2.3.15		0f6f28e4012a13a57b5221941611024f0dfd6ae0
com.eworkcloud.starter	ework-cloud-starter-image	2.3.16		8682455e09a71a5a6eb71982bdac97fd5547d460
com.eworkcloud.starter	ework-cloud-starter-image	2.3.17		d7a528d60852833936e9b6d40cd4b530e7b71415
com.eworkcloud.starter	ework-cloud-starter-image	2.3.2		b7b552d2c2b433c612393ae25fee3dad82e0f59e
com.eworkcloud.starter	ework-cloud-starter-image	2.3.3		d9015bf4b3e6c1a196c6c8ec068984421a07d2df
com.eworkcloud.starter	ework-cloud-starter-image	2.3.4		652b9f57c27bfa82d663fbce5b326316caa3ad99
com.eworkcloud.starter	ework-cloud-starter-image	2.3.5		6421abafa0950bb24737054b5fc7879783b34ec8
com.eworkcloud.starter	ework-cloud-starter-image	2.3.6		6a64bcd8e9e80c247e2216ed98e2e4d80cd0cb8a
com.eworkcloud.starter	ework-cloud-starter-image	2.3.7		07192e14c63aa7fb62b9dfaa38a3bea700971ab4
com.eworkcloud.starter	ework-cloud-starter-image	2.3.8		81c353d1c12824f7340add3da7b30ac356fd7984
com.eworkcloud.starter	ework-cloud-starter-image	2.3.9		3cc26cb83d2a9dd92bf5af3d64aa9285a2cb86de
com.eworkcloud.starter	ework-cloud-starter-image	2.4.0		254adbecc8cc687050bb5f09bf4188ee82e219d4
com.eworkcloud.starter	ework-cloud-starter-image	2.4.1		a2c21d48a58a6960a4de8d9a46bf9b9339020c1a
com.eworkcloud.starter	ework-cloud-starter-image	2.4.10		865445b0067021302976a611c8f62f588ca641c3
com.eworkcloud.starter	ework-cloud-starter-image	2.4.11		0e44c1b69b665243f9ba65e24005337abe1379ee
com.eworkcloud.starter	ework-cloud-starter-image	2.4.12		6675430204e404a5aa0cdbbd9755f2098c561ef7
com.eworkcloud.starter	ework-cloud-starter-image	2.4.13		3b3aa33fce4950e2d1528fb3f1abe162dd6cee24
com.eworkcloud.starter	ework-cloud-starter-image	2.4.2		493a93c3464a620d2056d16db4b865eba7abd22a
com.eworkcloud.starter	ework-cloud-starter-image	2.4.3		051156c899c5962ba985e3a5f572b098d950151a
com.eworkcloud.starter	ework-cloud-starter-image	2.4.4		c3f5cce1ea312ac2530c3e4bb8b6792896f9ef63
com.eworkcloud.starter	ework-cloud-starter-image	2.4.5		818538890f41d44bef830a7db21e066a59472427
com.eworkcloud.starter	ework-cloud-starter-image	2.4.6		49d1543a21acec2a5d8cbc52fbf8a8135379bfee
com.eworkcloud.starter	ework-cloud-starter-image	2.4.7		a514d319a6b5e85209113332d3995af2a16552c4
com.eworkcloud.starter	ework-cloud-starter-image	2.4.8		5043b8be69c42ff28ccfe6f571169a6110cc59d6
com.eworkcloud.starter	ework-cloud-starter-image	2.4.9		53b5f2d73cb273a44e717faa60764b4378706a40
com.eworkcloud.starter	ework-cloud-starter-image	2.5.0		1a9c98a3741588439b010ccb4c3f31e88c9631f5
com.eworkcloud.starter	ework-cloud-starter-image	2.5.1		57f9ad94b0bbd8e617b653e556242c342fa128de
com.eworkcloud.starter	ework-cloud-starter-image	2.5.2		6ba5f68816237529dca11bf7098c93282c1e8d48
com.eworkcloud.starter	ework-cloud-starter-image	2.5.3		72f93b85f661a7c6cd0ed6683eca0964dd13eca4
com.eworkcloud.starter	ework-cloud-starter-image	2.5.4		631cee01345ef12a4bbb16bb4e0fcb45eaa2e66f
com.eworkcloud.starter	ework-cloud-starter-image	2.5.5		31f46464f0da69697b8dd3e431a921d45b9a5083
com.eworkcloud.starter	ework-cloud-starter-image	2.5.6		35c81958ab11e74b40ac7a5925dd4a33d0ca6deb
com.eworkcloud.starter	ework-cloud-starter-image	2.5.7		aec4c78b6525fc4f9e8a0877588658c01b78d5cf
com.eworkcloud.starter	ework-cloud-starter-image	2.5.8		758f9837f1c21bfbce82c15e9382e4e1f1f7f0b3
com.expedia.www	haystack-client-metrics-api	0.2.6		afedcf4094c734066ce227681bba78e665a4089f
com.expedia.www	haystack-client-metrics-api	0.2.7		a6f3c77213e97254993ce79cba7c7179b0449eba
com.expedia.www	haystack-client-metrics-api	0.2.8		9e238d3c1a78eb5a3e3d6f5b20b76bfeeca6ff5f
com.expedia.www	haystack-client-metrics-api	0.2.9		dbe5f63413c114ae03ea06a89c9ac9491b643db8
com.expedia.www	haystack-client-metrics-api	0.3.0		c602f4b909fc2e43ec650370afea39a8adace1e2
com.expedia.www	haystack-client-metrics-api	0.4.0		bae0ded11105e4d654908005feb07a92dcce76b3
com.fujieid	jap-ids	1.0.1		f972b6ac51b57ecbba400056d092607c2d9b95f3
com.fujieid	jap-ids	1.0.1-alpha		ab7a2131a72c6cc1ce2e5bdd964215a7f971ccea
com.fujieid	jap-ids	1.0.1-alpha.1		1bca1ac222a053e89741203217b20bb4a5060f33
com.fujieid	jap-ids	1.0.2		7b835def2e03c238cd09c6fa9e690a91cae1f6d3
com.fujieid	jap-ids	1.0.3		5a365baf4cbc688bb003232ff3efc47ef48c0262
com.fujieid	jap-ids	1.0.4		023a63d504831a677bbe37fee92cee38c55b6368
com.fujieid	jap-ids	1.0.5		9c79209536be903eb314a992342a192a7788818c
