com.antgroup.antchain.openapi	openapi-ak_9bce1d97c1ee4049b866c882340a6a26	1.0.0		bae6b88050a4a94615297496836e8e554ef6ab9e
com.beachape	enumeratum-argonaut_sjs0.6_2.12	1.5.12		9a007b3aa1de407e225a78eac670901a2dc079f9
com.beachape	enumeratum-argonaut_sjs0.6_2.12	1.5.13		3ed72bcea35dedee1c6571de5a0548ebe68b73b2
com.beachape	enumeratum-argonaut_sjs0.6_2.12	1.6.0		6646b9219f75996d787d08747b3b5784a0db3e5f
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0		5b7147ea9d5aec826bd2d73bdcee2fbb886235bd
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210316.6523.0.b382fc45		5c650cda968f767d232340693caa821bf9f73f35
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210317.6528.0.493e2154		5c650cda968f767d232340693caa821bf9f73f35
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210323.6567.0.90c5ce70		6b6ac7194f168357242aa74fc99674bff69381a2
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210330.6619.0.007b8674		ba600fdb05cec833f79896e5edb5dda60ca30f52
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210330.6622.0.eef158d6		ba600fdb05cec833f79896e5edb5dda60ca30f52
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210331.6626.0.29a68134		ba600fdb05cec833f79896e5edb5dda60ca30f52
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210331.6634.0.b98a3881		ba600fdb05cec833f79896e5edb5dda60ca30f52
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210331.6640.0.4b807899		ba600fdb05cec833f79896e5edb5dda60ca30f52
com.daml	daml-lf-kv-transaction-support_2.13	1.12.0-snapshot.20210406.6646.0.631db446		5b7147ea9d5aec826bd2d73bdcee2fbb886235bd
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0-snapshot.20210413.6706.0.2dc09ba2		33e247895d917dcee7e1723becfcb8032509ab12
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0-snapshot.20210419.6730.0.8c3a8c04		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0-snapshot.20210426.6770.0.ca66061b		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0-snapshot.20210503.6809.0.ca012c3b		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.0-snapshot.20210504.6833.0.9ae787d0		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.1		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.1-snapshot.20210512.6834.0.5f532380		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.13.1-snapshot.20210512.6834.1.5f532380		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210511.6892.0.ca9e89b3		e8c3a87d92bf00da3668e919e74fb379aa65bab1
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210518.6953.0.a6c7b86a		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210526.7024.0.aedb9a82		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210601.7081.0.7d716e6d		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210602.7086.0.f36f556b		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210608.7123.0.3cb8d5c2		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210615.7124.0.d1b54ff0		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.0-snapshot.20210615.7169.0.adeba206		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.1		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.1-snapshot.20210706.7133.0.8ec16e94		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.2		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.14.2-snapshot.20210708.7135.0.aa297840		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.15.0		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.15.0-snapshot.20210615.7169.0.adeba206		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.15.0-snapshot.20210623.7217.0.5b73813d		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.15.0-snapshot.20210630.7261.0.84e1f3a7		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.15.0-snapshot.20210705.7286.0.62aabcc4		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0-snapshot.20210713.7343.0.1f35db17		0ee41ae0a65f5e61089f9d456c1c2585e4bb4259
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0-snapshot.20210720.7404.0.b7cf42d1		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0-snapshot.20210727.7476.0.b5e9d861		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0-snapshot.20210802.7499.0.5157ad6d		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.16.0-snapshot.20210805.7501.0.48050ad7		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210811.7565.0.f1a55aa4		6fad60284eda3c6e8d2f8eea9784c7c4e54770fb
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210817.7604.0.0c187853		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210824.7647.0.640fb683		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210831.7702.0.f058c2f1		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210907.7759.0.35a853fd		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210910.7786.0.976ca400		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210915.7841.0.b4328b3d		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.0-snapshot.20210922.7849.0.49a75801		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.1		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.1-snapshot.20211006.7852.0.fbc4bc00		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.1-snapshot.20211006.7853.0.e05be365		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.17.2-snapshot.20211124.7857.0.b33b94b8		7e1b04a96c45d3c0f10ffe1148a77c53e4a9a1b3
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20210921.7889.0.1b473c2b		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20210921.7889.1.1b473c2b		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20210922.7908.0.ced4a272		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20210928.7948.0.b4d00317		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211006.8003.0.cfcdc13c		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211013.8071.0.514e8b50		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211019.8113.0.8ff347d8		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211026.8179.0.e474b2d1		c3dcc4e8963be4edcaa55b51464fe01824f36cde
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211102.8257.0.7391a3cd		f40d3d963eb9ff05d084a7532af4099d16b20d0c
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211109.8328.0.92181161		bac0768937e501574421e86bdbd70a734c9d6211
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211110.8337.0.c5a1f0bb		bac0768937e501574421e86bdbd70a734c9d6211
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211111.8349.0.d938a44c		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211117.8399.0.a05a40ae		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211124.8419.0.39d9afcd		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.0-snapshot.20211206.8423.0.2c945fcb		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.1		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.1-snapshot.20220106.8429.0.ea344666		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.1-snapshot.20220110.8433.0.e8e25a11		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.1-snapshot.20220113.8434.0.1724373f		039082545a1d7a079a96e1d30d35976b28572766
com.daml	daml-lf-kv-transaction-support_2.13	1.18.1-snapshot.20220113.8434.1.1724373f		039082545a1d7a079a96e1d30d35976b28572766
