at.bestsolution.efxclipse.ide	org.eclipse.fx.ide.l10n	2.4.0		f42e96b1062f865296a0ef45d53f2f59638d4d45
br.com.diogoko	freemarker-doclet	1.0.0		04fa368387fbb088518569c5ceba6d051eeeecaf
br.com.diogoko	freemarker-doclet	1.1.0		57b96ffd7e78042f6c398b2b5e6251b854b99d58
ch.unibas.cs.gravis	vtkjar	0.1.0		f74b055ece66c7fc9e394eac9a180565b858e25e
co.luminositylabs.oss.ica.migration	legacy2json-util	0.2.0		7e3890442f62d08ab6f6858f17e34ba7f4b60926
com.anaptecs.jeaf.owalibs	org.eclipse.emf.common	4.3.1		83d0be253935bd4c16c949a6c7802133d02e2f48
com.avast	sst-flyway_3	0.16.0		e6e72175bb1a03470f42315fce63536da516e9ca
com.avast	sst-flyway_3	0.16.1		baa6851ab7b47e1340ab6b3810879f384ba3caaf
com.avast	sst-flyway_3	0.16.2		fc402ecd932685656411fee189ef4f6e45e69843
com.avast	sst-flyway_3	0.16.3		f7b81c14ccc8ea8fbd7aaac5e91cc0e5a35299c2
com.avast	sst-flyway_3	0.17.0		4d70ea05c3d34e3fe5d088434cceae9354021138
com.avast	sst-flyway_3	0.17.1		e8da43d244c9b155b6770ccc981fb730cc5e7fe5
com.avast	sst-flyway_3	0.17.2		e1e8478dd681476db95aa219600e77344a5c915b
com.avast	sst-flyway_3	0.18.0		acff3eda34f4d12cc2f5b5cd13a29cf5f01885ee
com.avast	sst-flyway_3	0.18.1		c005deda5c649e6e4944f4625cc2670346d4b21b
com.avast	sst-flyway_3	0.18.2		06a6b5fcb5bd6036a5a7f7ec91d3a3115ed427d2
com.avast	sst-flyway_3	0.18.3		3f10ce5d3b97d818a5525e34375a622d6e2f7246
com.avast	sst-flyway_3	0.18.4		e00fbfec3ac3bb5a37fb7e366a0df9c1bd0f51b6
com.avast	sst-flyway_3	0.18.5		01a111757badce86128306c92b6937fdfd3eede1
com.avast	sst-flyway_3	0.18.6		a85c6e4c264442f6087e3009e7a2d4caa54d7fe4
com.avast	sst-flyway_3	0.19.0		06b49d7c36de835467950cac8b89bcc1faee759c
com.beachape	enumeratum-scalacheck_2.13.0-RC2	1.5.16		2df2be39ad6af5cc1ee77475f7f8278673b11269
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.0.0		e1bd6c0b40766d6aa9835cf60b6c1fcc3e534ebb
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.0.0-snapshot.20220210.9244.0.6a91fdfe		64cf3a6572447e361cc2a21f958f6b7a0d0f054a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.0.0-snapshot.20220211.9260.0.3dccabf6		64cf3a6572447e361cc2a21f958f6b7a0d0f054a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.0.0-snapshot.20220212.9261.0.3ebd9d7b		64cf3a6572447e361cc2a21f958f6b7a0d0f054a
com.daml	ledger-api-tests-infrastructure-1.14_2.13	2.0.0-snapshot.20220214.9284.0.dc5f2033		0d19376e6e277cf0b6e1b567d35f033f6468236c
