br.com.joaovarandas	jcipher	0.1		b073aa12731e1ce8b71042392fad742842ecb8a8
cn.zzq0324.radish	radish-storage-component	1.0.3		e87f65bb475d22614e282dee7a0318f82e46db6f
com.beachape	enumeratum-macros_2.13.0-M5	1.5.9		681d9b5393334ca170820ea7e93dbae375951f0e
com.cedarsoft.db	genericdaotest	1.0.0		b0f7039066de4b73f87146ea2ee9a00b5fe4b451
com.cedarsoft.db	genericdaotest	1.0.1		f4c109c0fe74fc8592fd9aa956cb7581e5e80d53
com.cj.qunit.mojo	qunit-maven-plugin	2.0.0		3a1c76b65c2411e5130458cc9db34017c09ae630
com.cj.qunit.mojo	qunit-maven-plugin	2.0.3		b47ee456bbf70bdd402f9f4122838b7cb267e9ec
com.cj.qunit.mojo	qunit-maven-plugin	2.0.4		3f07ddd1cb9869b4438a1842eeaac08ce5ffb0ae
com.cj.qunit.mojo	qunit-maven-plugin	2.0.5		c3e41b8fa646fda5c1d9ec8f5124c7b434fa48c2
com.cj.qunit.mojo	qunit-maven-plugin	2.0.7		025ab26601a968260109bbfa6276b01697fec6b7
com.cj.qunit.mojo	qunit-maven-plugin	2.0.8		ae668719da814eef6e7f843684607e2f44bb6dd0
com.cj.qunit.mojo	qunit-maven-plugin	2.2.0		965630571f2359255b5752f78f596f2baa395009
com.cj.qunit.mojo	qunit-maven-plugin	2.3.0		340dfeb5cf3a8dc8de5f783c9ceadd901b33ae08
com.cj.qunit.mojo	qunit-maven-plugin	2.3.2		0eeb03ab4af445067f90160e51acee2b62e8a5fa
com.cj.qunit.mojo	qunit-maven-plugin	3.0.0		d34712152cc98011e5b24021498c8b0bdfeb49e0
com.dlsc.unitfx	unitfx-demo	1.0.10		e8882a869cca6f7fc84f5a6b43b97c8bbb29b82f
com.dlsc.unitfx	unitfx-demo	1.0.9		cd4610ee70da2568cdec98ccc4ce0d26329614fb
com.github.gentity	gentity-test	0.1		9b328802f03cafd9ae6690d20fba926eb0ea8703
com.github.gentity	gentity-test	0.10		eabe3cb2eef6995b6ef517ebbf06e5e178e389de
com.github.gentity	gentity-test	0.11		07a698ac390065c2ea54dc85fca40bcf97e0413e
com.github.gentity	gentity-test	0.12		963ff6df98fe2e2fe1dd972f3d541bddf2985c1d
com.github.gentity	gentity-test	0.13		ca6c9ae525705fd84b30805c3e4a2300732d65a8
com.github.gentity	gentity-test	0.14		d3262d6ebd344d38c7424dceba97361556a4cf5b
com.github.gentity	gentity-test	0.15		c4bd14e434a7a87b477f151e3284b6ab41cfdbeb
com.github.gentity	gentity-test	0.16		e1dfc91946d537b355c97036a4553c294cb3c6ce
com.github.gentity	gentity-test	0.17		1aa01cd29baaa9008b273d7a6e6b5cf841aab3b8
com.github.gentity	gentity-test	0.18		ed09d63e2179a33071bb04b8f0e41eedfc25cab4
com.github.gentity	gentity-test	0.19		27265cc6bdbf90fae524556284c05e5636ddbe6a
com.github.gentity	gentity-test	0.2		743157c252d7d99bc55243d8f1f8f7a310db8492
com.github.gentity	gentity-test	0.20		cf111c2b8987bceb8ca9df642a5aba912b918b36
com.github.gentity	gentity-test	0.21		18b65d576f23195b82a96e6911541082b2fa6717
com.github.gentity	gentity-test	0.22		30c9a398349bd2c6e6311fc5a1ce1c0262133567
com.github.gentity	gentity-test	0.23		ae0d208a26e4bbc94f266cd1d4cbf0d7f87bb856
com.github.gentity	gentity-test	0.24		008715638bf348a73cc147acf47b3913a390ebc0
com.github.gentity	gentity-test	0.25		4ecd98909d78fa3d896beb00874f56bf00574ada
com.github.gentity	gentity-test	0.26		2ac0b5368c276daca500ef68abdfa5a6a8445d28
com.github.gentity	gentity-test	0.27		64370aaebfdbddf388c88efb412db8e5d2b11586
com.github.gentity	gentity-test	0.3		44a7a1aea77c9a57fb653d831c53c63cadbc536b
com.github.gentity	gentity-test	0.4		9ed86d66728ebc13b8de802463e145980e44960e
com.github.gentity	gentity-test	0.5		e7bd795e50cdadaaa00762d55a8c19508bb530f7
com.github.gentity	gentity-test	0.6		8eec6a43ad88e83bcb6479ff3877b1af85779ead
com.github.gentity	gentity-test	0.7		3c2f7f70206df574fbed0e2d028136dd85bc91a7
com.github.gentity	gentity-test	0.8		d245490f84381386a31260fc04ccf8c0dc239127
com.github.gentity	gentity-test	0.9		e4ba22f1e13aed728c3b7d65ddd2f7f1c4b61290
com.github.gentity	gentity-test	1.0.0		d5c458f340855884ef2d3918e26fd4411f2f2b29
com.github.minigdx	kgl-android-wasm-js	0.8.1		N/A
com.github.minigdx	kgl-android-wasm-js	0.8.2		N/A
com.github.mkolisnyk	aerial	0.0.1		N/A
