br.com.objectos	auto-pojo	0.6.0		efe175d07579e5272e4a18aac10603fb6f0d211e
cc.carm.lib	easyconfiguration-demo	3.3.1		9e652e0f0f27323ad4433dab091db15ad4394f3c
cc.carm.lib	easyconfiguration-demo	3.3.3		b5d40e3e4d48af89051ba30463e52bbf57b2cfe7
cc.carm.lib	easyconfiguration-demo	3.4.0		cd531b486e6f693994dfcd7109cda80c06c20132
cc.carm.lib	easyconfiguration-demo	3.5.0		e55b8a373fe7df4456f1ecad681c36cdeef6b601
cc.carm.lib	easyconfiguration-demo	3.5.1		015e063e6dfa7f47877c79c30efa6b9a89b43c72
cc.carm.lib	easyconfiguration-demo	3.6.0		5a45fead437712d47ee1411fda22b1469edaf649
cc.carm.lib	easyconfiguration-demo	3.7.0		c12ea3bf30327d36565ba73d94b6085f728a233d
cc.carm.lib	easyconfiguration-demo	3.7.1		cf7f717ba727d64d343fbfe4188d123606bc7830
cc.carm.lib	easyconfiguration-demo	3.8.0		c1d2e2c6eadf9571869452fe709f606e84166923
cc.carm.lib	easyconfiguration-demo	3.8.1		7daa436782b00c5000a93b96d8705b53c22f86a3
cc.carm.lib	easyconfiguration-demo	3.9.1		cc63a5887b4a38a03cff044b03839a52c79679da
cc.carm.lib	easyconfiguration-demo	4.0.0		c38c1ed6760101ccb9b178415cd135f94a08adb3
cc.carm.lib	easyconfiguration-demo	4.0.1		36e42c5879f5db13a0d118e05923e5ae1758f49a
cc.carm.lib	easyconfiguration-demo	4.0.10		a07f363bdb1162bdee34d9cede00008a9caa05e9
cc.carm.lib	easyconfiguration-demo	4.0.11		a5253c9e5b6596753ceb2c696900dd21e7b22e9f
cc.carm.lib	easyconfiguration-demo	4.0.2		aceb4a9b14cbc84d703a45d8fdd1c8e54d97f77f
cc.carm.lib	easyconfiguration-demo	4.0.4		ea7625f231bc9283a7dee3c1c27cd743aa0edcf7
cc.carm.lib	easyconfiguration-demo	4.0.5		a2aabfbd5b13f361c5639ea1baf6104ff2da0645
cc.carm.lib	easyconfiguration-demo	4.0.6		9af161c173b11db8aacf420b76964d689396c1d9
cc.carm.lib	easyconfiguration-demo	4.0.7		067c45d5a94f9a9a522a6e1aae0f810a0d35f544
cc.carm.lib	easyconfiguration-demo	4.0.8		378c466b8658c0fa4666b7b92a5f44ae099bdb48
cc.carm.lib	easyconfiguration-demo	4.0.9		2ce24243ed8b3427f29fefdf3aa09c8da3d3f550
