br.com.objectos.sql	legacy-legacy	0.12.0		90260aafbf5210278af47ca406c867dfdba58e58
com.avito.android	test-instrumentation-runner	2021.10		N/A
com.avito.android	test-instrumentation-runner	2021.11		N/A
com.avito.android	test-instrumentation-runner	2021.12		N/A
com.avito.android	test-instrumentation-runner	2021.13		N/A
com.avito.android	test-instrumentation-runner	2021.14		N/A
com.avito.android	test-instrumentation-runner	2021.14.1		N/A
com.avito.android	test-instrumentation-runner	2021.15		N/A
com.avito.android	test-instrumentation-runner	2021.15.1		N/A
com.avito.android	test-instrumentation-runner	2021.16		N/A
com.avito.android	test-instrumentation-runner	2021.17		N/A
com.avito.android	test-instrumentation-runner	2021.18		N/A
com.avito.android	test-instrumentation-runner	2021.19		N/A
com.avito.android	test-instrumentation-runner	2021.20		N/A
com.avito.android	test-instrumentation-runner	2021.21		N/A
com.avito.android	test-instrumentation-runner	2021.22		N/A
com.avito.android	test-instrumentation-runner	2021.23		N/A
com.avito.android	test-instrumentation-runner	2021.24		N/A
com.avito.android	test-instrumentation-runner	2021.25		N/A
com.avito.android	test-instrumentation-runner	2021.26		N/A
com.avito.android	test-instrumentation-runner	2021.27		N/A
com.avito.android	test-instrumentation-runner	2021.28		N/A
com.avito.android	test-instrumentation-runner	2021.29		N/A
com.avito.android	test-instrumentation-runner	2021.30		N/A
com.avito.android	test-instrumentation-runner	2021.31		N/A
com.avito.android	test-instrumentation-runner	2021.31-agp7		N/A
com.avito.android	test-instrumentation-runner	2021.32		N/A
com.avito.android	test-instrumentation-runner	2021.32-agp7		N/A
com.avito.android	test-instrumentation-runner	2021.32-rc-1		N/A
com.avito.android	test-instrumentation-runner	2021.33		N/A
com.avito.android	test-instrumentation-runner	2021.34		N/A
com.avito.android	test-instrumentation-runner	2021.35		N/A
com.avito.android	test-instrumentation-runner	2021.36		N/A
com.avito.android	test-instrumentation-runner	2021.37		N/A
com.avito.android	test-instrumentation-runner	2021.37.1		N/A
com.avito.android	test-instrumentation-runner	2021.38		N/A
com.avito.android	test-instrumentation-runner	2021.39		N/A
com.avito.android	test-instrumentation-runner	2021.40		N/A
com.avito.android	test-instrumentation-runner	2021.41		N/A
com.avito.android	test-instrumentation-runner	2021.42		N/A
com.avito.android	test-instrumentation-runner	2021.7		N/A
com.avito.android	test-instrumentation-runner	2021.8		N/A
com.avito.android	test-instrumentation-runner	2021.9		N/A
com.avito.android	test-instrumentation-runner	2021.9.1		N/A
com.avito.android	test-instrumentation-runner	2022.1		N/A
com.avito.android	test-instrumentation-runner	2022.12		N/A
com.avito.android	test-instrumentation-runner	2022.14		N/A
com.avito.android	test-instrumentation-runner	2023.15		N/A
com.avito.android	test-instrumentation-runner	2023.19		N/A
com.avito.android	test-instrumentation-runner	2023.2		N/A
com.avito.android	test-instrumentation-runner	2023.20		N/A
com.avito.android	test-instrumentation-runner	2023.22		N/A
com.avito.android	test-instrumentation-runner	2024.32		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.0		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.1		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.2		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.3		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.4		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.5		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.2.6		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.3.0		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.3.1		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.4.0		N/A
com.blr19c.falowp	falowp-bot-plugin-bili	1.4.1		531972d85c528992a4592f8e3b7c0a0f16cb8a61
com.blr19c.falowp	falowp-bot-plugin-bili	1.4.2		e76afa96524f05ac93fc863c735a8efe9ee8a232
com.blr19c.falowp	falowp-bot-plugin-bili	1.4.3		744ce244b7c2ff5ee5dc850fe0e92f458480415e
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0		bed13ba21dd051a61c79e1758f70e351f32ce371
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC1		57be90775d68537512380038c942c13c2c0cef48
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC2		b4facddacab1fcb6f9b709782b9f8fb880ab4dd0
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC4		9fe6a09345750df175365e9c965fc93600ca965f
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC5		27ecf0e30572dba4f0759f2e3a552a131d6a756b
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC7		c4217edebb266d283daa7a8964c8af7a1514f7a9
com.blr19c.falowp	falowp-bot-plugin-bili	2.0.0-RC8		ea2ef90465b46893a1deebd7e3783e81aafa7b5b
com.blr19c.falowp	falowp-bot-plugin-bili	2.1.0		de44bcc7c34665886e195d0d9f60b97f668bb3a3
com.blr19c.falowp	falowp-bot-plugin-bili	2.1.1		6b54da3d0acd342051e406bd6ed5235f75adf211
com.blr19c.falowp	falowp-bot-plugin-bili	2.1.2		8609246f14aa291f60393d80bac2b9ae9d0add43
com.blr19c.falowp	falowp-bot-plugin-bili	2.1.3		a210336c4877a30f41dcfd4546f8494a408dca81
com.blr19c.falowp	falowp-bot-plugin-bili	2.2.0		24ec161715829d74e2d06cefdced1976957c7118
com.blr19c.falowp	falowp-bot-plugin-bili	2.2.1		3604184bf23dc612138eee4e5dfffe19fc028949
com.blr19c.falowp	falowp-bot-plugin-bili	2.2.3		4e9d896e8a971727cab15c196ea179cc1bae7d4d
com.centit.product	centit-oa-component	1.2.2101		N/A
com.decodified	scala-ssh_2.11	0.7.0		eae05bbf5aa2cf39f95a914ce2e13201ade3de10
com.decodified	scala-ssh_2.11	0.8.0		450c6d6561b56bba5a79539f172b88f649565e54
com.decodified	scala-ssh_2.11	0.9.0		dc21154d983cffc10f793664001afd19cd07dfab
com.devonfw.microservices	microservices-infra-archetype	2.4.0		2ee64d9c63711f4df3af8113fd28ea10acd0fb8b
com.devonfw.microservices	microservices-infra-archetype	3.0.0		79b9c7ec06ceeab8c5c52761557512d392324deb
com.devonfw.microservices	microservices-infra-archetype	3.1.0		c789d3c1ef1fbb9cc1b9a6de1dc45c33686d9189
com.erigir	tvguide	0.0.1+3		2b370045de3ed3db1e71383fc923dd269570bf8e
com.erigir	tvguide	0.0.2+5		5db6ad56b1d911886727461aa071ab08bca17f48
com.exasol	spark-connector-jdbc_2.13	2.0.0-spark-3.3.2		cff0fb3e4f4e9d312d97c4372586b67f093ccb03
com.exasol	spark-connector-jdbc_2.13	2.0.0-spark-3.4.1		1b3523bb9d068a757000782c3259d9ff0aa43673
com.exasol	spark-connector-jdbc_2.13	2.1.0-spark-3.3.2		30a3a1170626f60b4097939d22186d6c46a92570
com.exasol	spark-connector-jdbc_2.13	2.1.0-spark-3.4.1		e0b3d36f0bca0084c499db8a9af3bbf4e9843532
com.exasol	spark-connector-jdbc_2.13	2.1.1-spark-3.3.2		a90ed1bbbf1706897830a9e6320c0c337831976f
com.exasol	spark-connector-jdbc_2.13	2.1.1-spark-3.4.1		f7d09cf17281e6d8291af9dbfb6eed187c1ef3af
com.exasol	spark-connector-jdbc_2.13	2.1.2-spark-3.3.2		cff09f3b4420901c29daf53d58593121372e2b91
