app.bondar.gradle.gitversion	git-version	1.0.0	-	94c8568cc983ad56acbe644dfd721094d394bdc1
app.cash.quiver	lib	0.0.1	-	3a93704b9436da68358ec680fe6fbf9fdc403b7a
app.cash.quiver	lib	0.1.0	-	183202b2c5fdfca4027d3f8282522ea1798acf40
app.cash.quiver	lib	0.1.1-20230406.0639-c4f2a5c	-	47791e83d0c5ae50bb61218074902c81c8ee66d6
app.cash.quiver	lib	0.2.0	-	a3908e68c42734a39d252e5c526c6dad070e736d
app.cash.quiver	lib	0.3.0	-	8f90fc9388adb7c5d6e3651fc0e419a69d387830
app.cash.quiver	lib	0.4.0	-	c219ea3b5d76337e7447f68901bcdab9af9ee291
app.cash.quiver	lib	0.5.0	-	a1b08a0eabd581ea44d765bb484ab3288cc29b6c
app.cash.quiver	lib	0.5.1	-	f1884805307091da882197aa1ae03b22a76df30c
app.cash.quiver	lib	0.5.10	-	95587bb34b7bfff0773e0151373a8304cc723aa2
app.cash.quiver	lib	0.5.11	-	cca4fd33813a3980f2b7eab3a946f301e59cc759
app.cash.quiver	lib	0.5.12	-	998e1805cfe5f3bf10545a38175765fda177d13d
app.cash.quiver	lib	0.5.13	-	8bf86ddeb8d8e47a369fcde6d97514b3c10701d0
app.cash.quiver	lib	0.5.2	-	6e49d4fdb687091c150d4ceab9fa574772120160
app.cash.quiver	lib	0.5.3	-	d6207c7498eac0508e777f09d35e52f58469bc60
app.cash.quiver	lib	0.5.4	-	8393492472a071847d0a59a82526b8b00bdff8ca
app.cash.quiver	lib	0.5.5	-	86fa625f467c0ea8c1313a996882eab333f8ac89
app.cash.quiver	lib	0.5.6	-	852891325fe087da2a09258f9c9ff4323372e425
app.cash.quiver	lib	0.5.7	-	937445d24d76dfb6101b9a6f4233fac698092208
app.cash.quiver	lib	0.5.8	-	4a5427a48740048160e2312809b9622ffd3f420e
app.cash.quiver	lib	0.5.9	-	e821f65bcf97cee20db75ecd8e81f077a5da48df
app.cash.quiver	lib	1.0.0	-	b78df7bc6026f9e8f598bdec00dd4b82cebecdb8
app.fmgp	did-imp_3	0.1.0-M10	-	070a0e1e78d5f55b1779687f057929c88b3bbb9c
app.fmgp	did-imp_3	0.1.0-M11	-	804c8d306485565f8b1407476a123daff38df467
app.fmgp	did-imp_3	0.1.0-M12	-	36b704a2cb819c96c605e414ed1b04e451beb3ad
app.fmgp	did-imp_3	0.1.0-M13	-	80324f12080ccb453e66a58e14319c1bcec55c16
app.fmgp	did-imp_3	0.1.0-M14	-	e82ba997e50822a105582668435c8ad5c366e8b6
app.fmgp	did-imp_3	0.1.0-M15	-	b999c0396850376bbec99215267c82dac9e1ecfb
app.fmgp	did-imp_3	0.1.0-M16	-	3ec9bbd59a4e6fbecd93b4fba3ab86176e2e5378
app.fmgp	did-imp_3	0.1.0-M17	-	ac4157d46c469332a931ea5f3604aab70b28abeb
app.fmgp	did-imp_3	0.1.0-M18	-	cfb9345a06b0d6e325541830643c2833ee57d167
app.fmgp	did-imp_3	0.1.0-M19	-	26d02c748f7a0a936722a261b8129e0e7f587cb9
app.fmgp	did-imp_3	0.1.0-M2	-	4b284d1550d27aeb2580a107d92382d1cd5b8088
app.fmgp	did-imp_3	0.1.0-M20	-	5ad7b103ae8e8b7a3da777b692d67715401b37e4
app.fmgp	did-imp_3	0.1.0-M21	-	c9efea85c24dd9b297543f1cd5e1fbd293302b6d
app.fmgp	did-imp_3	0.1.0-M22	-	a7f95ca03609a76cc8ca035aad4cd85806a42e5d
app.fmgp	did-imp_3	0.1.0-M23	-	7a1dbf5d6a27b23dd24b798c24405931094a94be
app.fmgp	did-imp_3	0.1.0-M24	-	e28677a1f2039bc7c5c7015794bcb44667465a06
app.fmgp	did-imp_3	0.1.0-M25	-	efdeb6d40324931af445b5cc7a0f614d063a77ef
app.fmgp	did-imp_3	0.1.0-M3	-	b77392fe38a0c6dc2e5a9f45b62f6721ddf01568
app.fmgp	did-imp_3	0.1.0-M4	-	0fe897cfc41d53d3021de263378991ab99ef4a5e
app.fmgp	did-imp_3	0.1.0-M5	-	7a88d05a1a55fe21b33070cfe1e14e7c8ffe0e05
app.fmgp	did-imp_3	0.1.0-M6	-	f4ea5b05009a3d8227f2ba0afdc38d2178e3ff87
app.fmgp	did-imp_3	0.1.0-M7	-	b1377a2edf8258310e47259a981d235df3430e1d
app.fmgp	did-imp_3	0.1.0-M8	-	eb6518229b3d5738dafb4132e358b5332dbe3e4e
app.fmgp	did-imp_3	0.1.0-M9	-	1d6fedd1ba6854b449ce35b77c7079b04d534a8c
app.lexilabs.basic	basic-sound-watchosx64	0.1.10	0.1.10-metadata	a122003dcec0980128199afef5d9a75b33e3c1ce
app.lexilabs.basic	basic-sound-watchosx64	0.1.4	0.1.4-metadata	b750c488154cac4dcb5cd32dcc3daaebeabc98aa
app.lexilabs.basic	basic-sound-watchosx64	0.1.5	0.1.5-metadata	de067230105b5b224dbbb77507a9af35392e4fbc
app.lexilabs.basic	basic-sound-watchosx64	0.1.6	0.1.6-metadata	ed72a74d97be8bfbca784374590293487d611c47
app.lexilabs.basic	basic-sound-watchosx64	0.1.7	0.1.7-metadata	c73124ca1f29d8b150c3967650d6f6604401cf34
app.lexilabs.basic	basic-sound-watchosx64	0.1.8	0.1.8-metadata	abd7b4b35e9cdc4cc1b53fe4db868b9da3dcd60d
app.lexilabs.basic	basic-sound-watchosx64	0.1.9	0.1.9-metadata	a911a62d7fefbcc84907b88f1e848413bd6eb229
app.lexilabs.basic	basic-sound-watchosx64	0.2.0	0.2.0-metadata	4a86fbe29c2083ae79e388343893b0f915b39892
app.lexilabs.basic	basic-sound-watchosx64	0.2.1	0.2.1-metadata	ca7b90316dd1fefe686281af498eefb0890ad660
app.lexilabs.basic	basic-sound-watchosx64	0.2.2	0.2.2-metadata	014926d557b666796c01d1aa40e428004fa0e594
app.lexilabs.basic	basic-sound-watchosx64	0.2.3	0.2.3-metadata	f0ad8588ee7a3161e477d444eb2373ee7633aa1a
app.lexilabs.basic	basic-sound-watchosx64	0.2.4	0.2.4-metadata	cf915d06a7fff8b78268de5981120ea23c14ab8e
app.lexilabs.basic	basic-sound-watchosx64	0.2.5	0.2.5-metadata	58ae0f53d1c59ab15ef5b0054072ab45d4546a84
app.lexilabs.basic	basic-sound-watchosx64	0.2.5-beta01	0.2.5-beta01-metadata	7642c21e06d54297a4b86973e8b90adf68beb491
app.lexilabs.basic	basic-sound-watchosx64	0.2.5-beta02	0.2.5-beta02-metadata	87b0e03affce3914b3e03b1b3eae6dc4a9ff8161
aws.sdk.kotlin	braket	0.10.0-beta	-	61ebccc76be5d16ee18f814c2c6bd93e7ee12a93
aws.sdk.kotlin	braket	0.10.1-beta	-	72abcf18d743a626e1eee3d551556fc473c06a66
aws.sdk.kotlin	braket	0.11.0-beta	-	a20319636429fb5920842f10442ede33d53e03f2
aws.sdk.kotlin	braket	0.12.0-beta	-	221d0dee4bd701bded7ffdc444347e4d1dfa862e
aws.sdk.kotlin	braket	0.13.0-beta	-	9b510874fc951a4df2b01bc804844b9941f86490
aws.sdk.kotlin	braket	0.13.1-beta	-	ca2e73c34a6d8b418570e4f611cdf9d0f3fdf904
aws.sdk.kotlin	braket	0.14.0-beta	-	bcd0adec38edf71e2fb7fd6e9ed2ce3890809ead
aws.sdk.kotlin	braket	0.14.1-beta	-	16c7f06039d604b6973a1e62bea4a56480caaf6d
aws.sdk.kotlin	braket	0.14.2-beta	-	b33410d409f606efc8ab7e4def792525f21dafe6
aws.sdk.kotlin	braket	0.14.3-beta	-	fb219958b1e0d40a8a230e1061b68ec48e20b3f8
aws.sdk.kotlin	braket	0.14.4-beta	-	72426d5003b671b7ef7f789c4723a5161dbd4865
aws.sdk.kotlin	braket	0.15.0	-	882a6933ae6ffaf31cca67ef26130d504ed1d41b
aws.sdk.kotlin	braket	0.15.1-beta	-	b503d2a85ac9799bb7b04c4896024cf91fdcfc1a
aws.sdk.kotlin	braket	0.15.2-beta	-	f7d7033e80bf68a6ec6688cbec7c4cddc2fddd67
aws.sdk.kotlin	braket	0.16.0	-	0751c7239c4fc9dd75427b969562c0544889dc36
aws.sdk.kotlin	braket	0.16.1-beta	-	1acf87c6f02b408a2af19320b0da301500289150
aws.sdk.kotlin	braket	0.16.2-beta	-	a7bfcb7b9dbbedb4378fb7e97b838de8cdd1ee6c
aws.sdk.kotlin	braket	0.16.3-beta	-	02b00cc14b8d4c1396a59b2eb8ebe7e353a1d891
aws.sdk.kotlin	braket	0.16.4-beta	-	5245ef15feffc2df5db7f11aaf2d415c1ebf0729
aws.sdk.kotlin	braket	0.16.5-beta	-	701fd0c25a8679aaf40808ddd0f303913b015395
aws.sdk.kotlin	braket	0.16.6-beta	-	394a068d7161b7eb292d62bee8de419f57907c16
aws.sdk.kotlin	braket	0.16.7-beta	-	0156b65ae5e256f385e35f0526372e2bd004a904
aws.sdk.kotlin	braket	0.17.0-beta	-	2e031f51e0bd6b53d286f96503b2e566ec7abfa7
aws.sdk.kotlin	braket	0.17.1-beta	-	c35a1078c5ad854def95455320bf529653e3c24d
aws.sdk.kotlin	braket	0.17.10-beta	-	5e922e12910d9ac8a627f444dae4e6e92726ed3a
aws.sdk.kotlin	braket	0.17.10-beta	0.17.10-beta-all	16e05ede6eb2e35f6f961c5b17279a27dcd615dc
aws.sdk.kotlin	braket	0.17.11-beta	-	a7ca7e29d9b10bf5bbe00cb3d3de8d25665781fa
aws.sdk.kotlin	braket	0.17.11-beta	0.17.11-beta-all	812fde9471a409df96c252913d7a6efb28b32b5c
aws.sdk.kotlin	braket	0.17.12-beta	-	d17be6d7e474c078442bd533c92ad66609e9b2b9
aws.sdk.kotlin	braket	0.17.12-beta	0.17.12-beta-all	ed3cfb58bba65eab8990292551328214a49582fb
aws.sdk.kotlin	braket	0.17.2-beta	-	14d1e59536fdf37302629d4684647f5894fa67fb
aws.sdk.kotlin	braket	0.17.3-beta	-	3f424f49be6feac539bdf8706f44b48ee3a4ac87
aws.sdk.kotlin	braket	0.17.4-beta	-	f68fbbabacb4b93f71ab71a0c564c02a17ee51ed
aws.sdk.kotlin	braket	0.17.5-beta	-	73e93e212f66847df037b44f613d97aa3817589b
aws.sdk.kotlin	braket	0.17.6-beta	-	97be8ef7423fbdfaa0af43ae0b72d20b7b4e8c54
