br.com.caelum.tubaina	tubaina	1.1.0		34d77fb058adcbd54e9c5534e2cc96100d6ed3e7
br.com.objectos.way	flat-core	0.5.0		a5d37c5998a52032bcb80f69fdd8d5e9bf1f2d26
br.com.objectos.way	flat-core	0.6.0		c2d6a78044a0993524895f5cd257286496b5c9d9
ch.epfl.lamp	dotty-compiler_0.21	0.21.0		eb30a83d87cf371c4855049c5df4811cad67d07a
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-RC1		161b224c11817704fcfbc080fbb97daef49557bc
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191031-9e7ec22-NIGHTLY		5fb3a0d374481592ce121cd2a8e52d115bb97b7a
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191101-3939747-NIGHTLY		ecb8c66f8a4adbf95233c7d20ddbf566a2044b1f
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191102-7577342-NIGHTLY		819ba9a19ce3499d7d3c8b40cd95df4b066b0e30
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191103-332c831-NIGHTLY		ea52325f7c4b1d69dcdcebccf87f1ca24323b0bf
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191104-0e88077-NIGHTLY		168027bda28f4addf6725056fea89aceba878062
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191105-22e64e2-NIGHTLY		a930228565a8a1aa699237a20d45088bbd00c3c0
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191106-f44f09f-NIGHTLY		560b3d234ba67b7a4f500b87a4834c2938e18cad
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191107-3cb93f3-NIGHTLY		7363ade3c91123bcefe737a67884be00acf1e152
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191111-bc87529-NIGHTLY		c4621fa82e6a6c968b2b9bf7c0a3cbfbd23d4f7c
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191112-1725a67-NIGHTLY		984e5c517ddf984a043e51adca6418c4febc4eed
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191113-87ea7a6-NIGHTLY		16248720d060dd41ce27034afa9dba13d1378a86
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191115-ca6b1c6-NIGHTLY		06472258abee850dd1677ef1a328ac21a86f8547
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191117-c395b23-NIGHTLY		0a4eefc6f8816178a09d69f4d25bf0f1d286b377
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191119-5e47774-NIGHTLY		0dca259525a9806685c9c93f898510639a7ec039
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191119-7c7fffa-NIGHTLY		b0f1d9c4a59d5b7e4797ce773520a72d47742f98
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191120-c1e0e04-NIGHTLY		71cfa33a258ed53d77e42dbb8039e9d9348ba0b1
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191121-a356535-NIGHTLY		aadc7303f5a0f4162a774939de23add6213c1869
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191122-120f423-NIGHTLY		66deb9e6e99972846f9ef9eac66a88dda1a68075
ch.epfl.lamp	dotty-compiler_0.21	0.21.0-bin-20191124-c5cc489-NIGHTLY		045c33f0b43b19731ae1c787ceb289c9efcf5f7a
