ai.eye2you	libuvccamera	2018.10.2		N/A
ch.qos.logback.contrib	logback-mongodb-core	0.1.1		5ac56f351429e6723db938515b81ddcc64bb4143
ch.qos.logback.contrib	logback-mongodb-core	0.1.2		4d3d90fd53a94eb0893a2e865d5315901e5884d2
ch.qos.logback.contrib	logback-mongodb-core	0.1.3		cc7d7df8b668acfba5c3f96cd9da6b94215e3972
ch.qos.logback.contrib	logback-mongodb-core	0.1.4		04afe4013aa78902556706ee6e153dd7d5f7417e
ch.qos.logback.contrib	logback-mongodb-core	0.1.5		8b387fb0d8cf13c9b590a7403a8efab986b0689b
cocoon	cocoon-slide	2.1.11		b9de1a9a842294d0ba641f855103c26dca891c76
cocoon	cocoon-slide	2.1.3		8cadafaccbaf6272beca5d98bb46626bcf3f1bcf
cocoon	cocoon-slide	2.1.4		2bf87514f8228db6ee947fc126ec9692dc267a8c
cocoon	cocoon-slide	2.1.5.1		e51e390d8eba58a279765f40b9074ce492e1fee5
cocoon	cocoon-slide	2.1.6		4dbf1de44fe3f4de4f3051029cc0d9af730f8d21
cocoon	cocoon-slide	2.1.7		fc881559e03924d7a01c9253f3db74f36464b864
cocoon	cocoon-slide	2.1.8		95fb5f7dfc2c8a8abe76687272bf4ca4a492ab94
cocoon	cocoon-slide	2.1.9		a53db90f524dabac1fad65ab9c09f25c8571341b
com.cloudbees.sdk.plugins	local-plugin	1.0		18e717597fefc7b73b92106b979e50905c2de7b1
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.5		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.5	metadata	5f16d623f90980c65ce31a1a2861dbfedd13dc7f
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.6		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.6	metadata	5d14ec107fac5ec5e3b7ac7b5f9585f8657e09dd
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.7		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.0.7	metadata	fd9bfa06687e326cb528e89b554b435979089083
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.12.0		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.12.0	metadata	eb21cdb14d3954034d6b07199e4d4f1276e89975
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.13.0		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.13.0	metadata	2528f0b14d2ca09922441ed1db755814a5d829eb
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.0		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.0	metadata	2b34787f3254d4323aaa7b58fe3a437fd7ebe517
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.1		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.1	metadata	b545795dfdada5bd0435668ecbfb46e881bd2d38
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.10		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.10	metadata	d5593d64da924d4565a7de50db43275232ea9fa1
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.11		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.11	metadata	094620174c2b9c5e8ce1c44921001b44b3f50a8f
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.12		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.12	metadata	91ec68480b11a353848c8e5601e7f58fbf5e5d87
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.13		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.13	metadata	48307d1e8c275c3341351f741f616615b528bc4f
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.17		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.17	metadata	6ee14238e2759cda93b03df47c35d018ca047b66
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.18		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.18	metadata	d384e704d36ec4a10f432776a30cd9988ef3982b
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.2		N/A
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.2	metadata	d41b68b0fa95afc74e5703f6ebeca99896eea0da
com.getansa	kmp-merchant-impl-iossimulatorarm64	0.24.3		N/A
