cn.entertech.android	cushionbleui	1.0.0-alpha01		N/A
cn.moongoddess	jtools-core	1.0.0		8b8455b05dcd18c4433b96a052ff9d80a0fe76b3
cn.moongoddess	jtools-core	1.0.1		d93b2605b8bffbb124e80fdd0acdca634d5e43f8
cn.moongoddess	jtools-core	1.0.2		748855c49150b430e6b675c38bf73baaca928b17
cn.moongoddess	jtools-core	1.0.3		69c3fea411206eb2e0762e739bbfafc44d821ef0
cn.moongoddess	jtools-core	1.0.4		deee90d25a1bdd5cc38c21898fba42eaa2c8a84a
cn.moongoddess	jtools-core	1.0.5		510124f3dada0149590e40a807bd5c222ac277c6
cn.moongoddess	jtools-core	1.0.6		5fd9bed85dc3a4ccf0e033e73a645b6656e09949
cn.moongoddess	jtools-core	1.0.7		262ce02a246bd231a2cf9a6fb05616231ba3da31
cn.moongoddess	jtools-core	1.0.8		af21682c769744ee671fc78f61cb024d9fc040ca
com.arakelian	guava-retrying	unspecified		e098e7e50f80e8732dc83ce69c35a3cf29b26b05
com.athaydes.osgiaas	osgiaas-common	0.7		77633ddd51a655a6d5fcf46b9dc91ba2cb34a4f4
com.bayo-code	kappwrite-linuxx64	0.0.2		N/A
com.bloxbean.cardano	cardano-client-cip30	0.4.0		6b80750acf6600a64cf9c80a3c7b3e253ac5d673
com.bloxbean.cardano	cardano-client-cip30	0.4.1		3392bd05ebfb3ee30e92da84320fecec5e2fedcd
com.bloxbean.cardano	cardano-client-cip30	0.4.2		a7b407f6c404869cf4d5fcf7930efa942e3c4e47
com.bloxbean.cardano	cardano-client-cip30	0.4.3		cd41532ff2aa7201119b6e234686b3646392e74c
com.bloxbean.cardano	cardano-client-cip30	0.5.0		94c18469de5c17e78a34b4ff3fe77c234e5eaa82
com.bloxbean.cardano	cardano-client-cip30	0.5.0-alpha.1		122a9edb8f4b8ad0f93534b852775b341a66d46f
com.bloxbean.cardano	cardano-client-cip30	0.5.0-alpha.2		eea946649cedbaec69fe2f63141dd8ee30bc2229
com.bloxbean.cardano	cardano-client-cip30	0.5.0-alpha.3		e7fd2fe7e9aa47ea342625de0e0c2bac66b1d59d
com.bloxbean.cardano	cardano-client-cip30	0.5.0-alpha.4		9614bd22aea9471fc7b1dd9db1137f11e9d5e23e
com.bloxbean.cardano	cardano-client-cip30	0.5.0-beta1		6793356e866173214bf5e5ef9648a6bbcfa8224b
com.bloxbean.cardano	cardano-client-cip30	0.5.0-beta2		fadd0adca704ce7cd06bcaf6fd46cc8d5451943a
com.bloxbean.cardano	cardano-client-cip30	0.5.0-beta3		ee2a3c478f2421ca5f9f7b5972573815f2721a6b
com.bloxbean.cardano	cardano-client-cip30	0.5.1		87999978ff88bc69c4b104172169d9a001a57e51
com.bloxbean.cardano	cardano-client-cip30	0.5.1-preview1		8f99d26a9642c1ec97b1d8e5632396a98159ffe6
com.bloxbean.cardano	cardano-client-cip30	0.5.2-preview		68ec1980c92677b36ba9bbbc29aaf663881a16a1
com.bloxbean.cardano	cardano-client-cip30	0.6.0		7e991d7295d95653fddee61a646db42f6db0dcdd
com.bloxbean.cardano	cardano-client-cip30	0.6.0-beta1		37456b374c17491143b43cd9b749d6a130b1d5af
com.bloxbean.cardano	cardano-client-cip30	0.6.0-preview1		2db52c6d6c4fc7ae37e1359fb256ce80d43904cb
com.bloxbean.cardano	cardano-client-cip30	0.6.0-preview2		539446632c4454bb011dbd54e82725e0344c58cc
com.bloxbean.cardano	cardano-client-cip30	0.6.1		50c0859e5a152c5765ddf58fade355336944c423
com.bloxbean.cardano	cardano-client-cip30	0.6.2		c2f97c2cd9f641883c7e0225b7e78ba83c1a7fe7
com.bloxbean.cardano	cardano-client-cip30	0.6.3		b0f148feccc1df3b9c07e8f78a75c9a42718ce90
com.bloxbean.cardano	cardano-client-cip30	0.6.4		d0eb399a3a23c65810cb2dda067064f3d654c840
com.bloxbean.cardano	cardano-client-cip30	0.7.0-beta1		cabd290809445560ec83cdb699ecdb4e93b8d687
com.bloxbean.cardano	cardano-client-cip30	0.7.0-beta2		36daf65690b770223e9d43a27332259210e55398
com.buession.springboot	buession-springboot-shiro	1.0.0		67ac6fb90dc4c8d0a5336f7eb41ef3cbda845c32
com.buession.springboot	buession-springboot-shiro	1.0.1		8bce17caf5516174cbe1189a138cb532ada21aca
