app.fmgp	fmgp-threejs_2.13	0.1-M1		7e9726392fae3b7822f7a101afe560e74ae25a5f
br.com.objectos.css	compiler	0.2.0		d46671fda5dc19039316b29d720ec770e6cf10fa
br.com.objectos.css	compiler	0.3.0		d80306d7f5c4f7c4a0a41352b09107b11d6cbc61
ch.epfl.scala	scalafix_2.13	0.1.0		6627dd46b9924a13865fc7bc5be4dd4ee84bb662
ch.epfl.scala	scalafix_2.13	0.2.0		306078a9c75d80750d6a7c0ecd9fdbb3c9ef5ca1
ch.epfl.scala	scalafix_2.13	0.3.0		a43af98e55ac02cd729125ef9e2a27f9ccf96c28
ch.epfl.scala	scalafix_2.13	1.4.0		c8c6bc9a62df974392f61d8bad25066391e059aa
ch.sbb.releasetrain	state	0.0.26		27864482fe580b2950f4bf12804a5e534d0d4b1d
ch.sbb.releasetrain	state	0.0.27		f9fb660b64e20c9ec004d0111ea3cda8d35ad2cf
ch.sbb.releasetrain	state	0.0.28		b697089de52c799fed6e7c536181e3d1ccf90235
ch.sbb.releasetrain	state	0.0.29		a9acf57a321a3078ff22ab6366ef7cded31ce73e
ch.sbb.releasetrain	state	0.0.30		bc4af2c67967b771c7c1ba85e8e8fd58d1118555
ch.sbb.releasetrain	state	0.9.0		61c0b3ab25b5443af84349f57b4c1bd138666dd0
ch.sbb.releasetrain	state	0.9.1		d586af220d10f57f1e010fde093326f9f363c9d2
ch.sbb.releasetrain	state	0.9.3		c8bebf8835c345e6310280603065ed8a3198b774
ch.sbb.releasetrain	state	0.9.4		4ba8993f83584e6d8c65ff7e6ff501b5b386f89f
ch.sbb.releasetrain	state	0.9.5		673b5dd00d408f19794fad5d6299007132de90ee
ch.sbb.releasetrain	state	0.9.6		46b5ecb472d9a978566c391fbd5d0e047fcbdfd6
com.attafitamim.navigation	router-core-desktop	3.0.2-alpha14		c2d843b5df58c7d99468bdc1df82e13e3259975e
com.attafitamim.navigation	router-core-desktop	3.0.2-alpha15		c2d843b5df58c7d99468bdc1df82e13e3259975e
com.attafitamim.navigation	router-core-desktop	3.0.2-alpha16		c2d843b5df58c7d99468bdc1df82e13e3259975e
com.attafitamim.navigation	router-core-desktop	3.0.2-alpha17		c2d843b5df58c7d99468bdc1df82e13e3259975e
com.attafitamim.navigation	router-core-desktop	3.0.2-alpha18		c2d843b5df58c7d99468bdc1df82e13e3259975e
com.carecon.fabric3	fabric3-tomcat7-extension	3.0.0		1418c3e75ad26e31adda867f6f432bb668d91ef1
com.carecon.fabric3	fabric3-tomcat7-extension	3.1.0		810265980a3cf0c0309d02f3071f729331ef659e
com.cedarsoft.commons.old	struct	1.1.1		33aa47c8af439968304c3b585aed166765d55b8a
com.cedarsoft.commons.old	struct	1.4.0		214e562fa017e065f9ed0e3effd76641a6d1ee4a
com.cedarsoft.commons.old	struct	1.4.1		7b7e65fdfce997446e958d840f94cc91f0981604
com.cedarsoft.commons.old	struct	1.4.2		0e7731e712750963a1dacc82bb723450a31f556b
com.cedarsoft.commons.old	struct	1.4.3		099bb62635c4beb913183e63e9fb9c3638f086ba
com.cedarsoft.commons.old	struct	1.5.0		c055cd25c25ab52f9e2d9522718133ab4068eeed
com.cedarsoft.commons.old	struct	1.5.1		09c78f1f5940aa94bc375af66de20f23f73ec528
com.cedarsoft.commons.old	struct	1.6.1		ffe952132fd8f2cf9d4750fab2bf0498c3b5750a
com.cedarsoft.commons.old	struct	1.6.2		09050c32d7e9ff70aef4e116c1242e5f9171d79c
com.cedarsoft.commons.old	struct	1.6.3		5e0430597e36eb82e633522a1113a3919ec3a63b
com.cedarsoft.commons.old	struct	2.0.0		32695fca258a4d4bd9f4b80f64e627aa8abb3b85
com.cedarsoft.commons.old	struct	2.0.1		aa50e957d3b37e8860ee060e94c0db87c3e6a8d7
com.cedarsoft.commons.old	struct	2.0.2		c3f56af2d3e617c5a9ab7229da5b7800224851d5
com.cedarsoft.commons.old	struct	2.0.3		d58a0a1a699f90344c5dca6f0e3142881bb2df6f
com.cedarsoft.commons.old	struct	2.0.4		85f451438587a49a513bec4153968e6204638b8e
com.cedarsoft.commons.old	struct	2.0.5		83f5f5b4421ea43d64192a29bf384f78687b99c2
com.cedarsoft.commons.old	struct	2.0.6		e1b63dcc0b6eeedcb32d776ac528c33fe479fb3b
com.cedarsoft.commons.old	struct	3.0.0		d4223756d65a156dbca5432bbb22a543cf3b1eb7
com.cedarsoft.commons.old	struct	3.0.1		18c2525b202a782661694aa6b122ef5b0fb68960
com.cedarsoft.commons.old	struct	3.0.2		c05a939a21f9b37533dfd8e1aa43911fee5708e0
com.cedarsoft.commons.old	struct	4.0.0		feea1097b311feb9a66d63f2bd022d66a849ac13
com.cedarsoft.commons.old	struct	4.0.1		a5593cbfcb1b2b847ad9fde003354dbfc429686b
com.cedarsoft.utils	image	1.3.2		1de351466932f1ee7b1d6b996ff6980ba71de93e
com.cedarsoft.utils	image	1.3.3		f8c3d844c29f825f44b4e5188874e03c30e27a9e
com.cedarsoft.utils	image	1.3.4		2ecf76082755884482c1f4862d14d301885f750c
com.cedarsoft.utils	image	1.3.5		0fd3b7be25ba9ed1ecefe4cbd71280399d0dfc5e
com.cedarsoft.utils	image	1.3.6		8883da0da60d3d731f863ceea54b363dec0d7fe2
com.cedarsoft.utils	image	1.3.7		953315c85202821cb6501fc9c82ed9efdffff76b
com.gitee.archermind-ti	SimpleTagImageView	1.0.0		N/A
com.github.ddth	ddth-id-jdbc	0.5.0		N/A
com.github.enalmada	play-api-rest-seed_2.11	1.0.0		6ad184f0aa4200490a08a963d0f874261d12eceb
com.github.enalmada	play-api-rest-seed_2.11	1.0.1		660da5985ab88ee1fe7139b2d3e61e3f2a5dd9ea
com.github.sunchao0312	tools	0.0.1-RELEASE		b9546d7ea5d6499a7f57e35b7b1ffcd173f6eb73
com.google.cloud.trace.instrumentation	core-http	0.1.0		327c5516ae59a0c6669546b9c2b2d753302aa254
com.google.cloud.trace.instrumentation	core-http	0.1.1		e7296100b29b0d8fb89cce0f03da3413aa89ec37
com.hipoom.cli	core	0.0.1		d34ded0e064eab1eeb8e823c8b99e4c60b27ef1c
com.hipoom.cli	core	0.0.2		a2ee9f86fd7fb82c3bc74b876d5d66e3b0f55d1d
com.hipoom.cli	core	0.0.3		f60560ffd5f91e41d8c2e6a4f4bf434905a5138d
com.hipoom.cli	core	0.0.5		d6034e323efb4105a64f4d4d6a5bfbfda1571e2a
com.hipoom.cli	core	0.0.6		7c00c2699b97e6b8ea3e0f66a7680369badf87a6
com.hipoom.cli	core	0.0.7		4d7c0cf4f95fdf6ce4e98850e63dd86656275046
com.hipoom.cli	core	0.0.8		547911dfcf08a8b6a0fc0104414d9462b1de7063
com.ibm.cloud	code-engine-examples	0.3.3		1ba9f39f34ad2302be73172037dd9fa03a8a674a
com.ibm.cloud	code-engine-examples	2.0.3		ceeedaad402025948b53ec1f1f6b57f5c0351534
com.ibm.cloud	code-engine-examples	2.0.5		1aaf960fddc924c76b57d213387a4ce14623f8e9
com.ibm.cloud	code-engine-examples	3.1.0		771ec7523df36ec7f6baae4de7b0fcf31b581a27
com.ibm.cloud	code-engine-examples	4.0.0		12b4b217fdb1a8c3c79633f203ff355ae4881174
com.ibm.cloud	code-engine-examples	4.10.0		06a56d75fad10659aeb39397b0c32e25d3255f8c
com.ibm.cloud	code-engine-examples	4.12.1		e5b3ac20b275bd3cf9a7a621f0409da735146a15
com.ibm.cloud	code-engine-examples	4.17.0		0468294e5640daa45928609a16f9949aa695fe5d
com.ibm.cloud	code-engine-examples	4.2.0		0c7ee01a7a64189c7b446b2978182c804f432069
com.ibm.cloud	code-engine-examples	4.22.1		fc1fbb91c8044a472109c5f74246c0e328c368af
com.ibm.cloud	code-engine-examples	4.28.0		1dd9a0b8377f5d70f46a2247ee63bd09d42c179e
com.ibm.cloud	code-engine-examples	4.8.0		83c5b242788e820e2ea234a7d1b2af165d1f9307
