cn.jdevelops	jdevelops-aop-exception	2.0.7		7194a219beb0d8658fcad1216ee555b130acc34e
com.agileasoft	zebra	1.0.0		fc777f1f6e3c8322af8d30394971ad7385bb0841
com.agileasoft	zebra	1.1.0		a614ae2f437908858d5c3f569b3845295a025322
com.distrimind.bouncycastle	util	1.69		3d837aed9be14868c5c1915c4961bccf2ff33e40
com.distrimind.bouncycastle	util	1.69-DMRECOMPILE		0532dcd1d2b9e8f8c1730ead4e4881b38b37ae63
com.distrimind.bouncycastle	util	1.71		e25ddd74d06a282f79cd58b937d4a34885f672fe
com.distrimind.bouncycastle	util	1.72		86c55e5744e79f1e503aae2ac7e3eade0ec40019
com.distrimind.bouncycastle	util	1.72c		e337db81f9945ae9410e18edd126bcbfaee23d18
com.distrimind.bouncycastle	util	1.72d		6718e5c78c0c5938457511f32bee0836a63aa535
com.distrimind.bouncycastle	util	1.73		1f4647c67556ef199e542f416fb28c314dab8647
com.distrimind.bouncycastle	util	1.76		febb591d03791c34e755121532c18cd6fa041235
com.distrimind.bouncycastle	util	1.77		d7c3665546d42013aa5407508cfd2be06c6d3af8
com.distrimind.bouncycastle	util	1.78.1		1d06050d91c07ace8f04916d160bb729aeab7457
com.dragselectcompose	core-js	2.2.5		N/A
com.dragselectcompose	core-js	2.2.6		N/A
com.dragselectcompose	core-js	2.2.7		N/A
com.dragselectcompose	core-js	2.3.0		N/A
com.dragselectcompose	core-js	2.3.2		N/A
com.dragselectcompose	core-js	2.4.0		N/A
com.dragselectcompose	core-js	2.4.1		N/A
com.dragselectcompose	core-js	2.4.3		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.0		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.0	metadata	f1b9f76e95a70d017023439a19eccad27d1826ec
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.1		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.1	metadata	1aa5917f8bcb656ca923565826e455c0263dd406
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.2		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.2	metadata	f6b4807d5f998bfdaf6083dac1fc48c73734aaa3
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.3		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.3.3	metadata	372ce4ac9b379dfab2a4fc869814a85d99a5cd7c
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.4.0		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.4.0	metadata	13b6fe9b55190f3ddeba51fb7489e49cd2897646
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.5.0		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.5.0	metadata	b0cb6cc9dc3a1ce867f3863772bc4b09312a3ada
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.6.0		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.6.0	metadata	ae34765e56524977d30f7f6274a0afe98b34d5b7
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.6.1		N/A
com.github.ajalt.colormath	colormath-watchossimulatorarm64	3.6.1	metadata	753e2f17971309ef9373b27163906470788d9652
com.github.harti2006	neo4j-server-maven-plugin	0.1		6af9d7f1687e985cca0c70801e1843fda09664bd
com.github.harti2006	neo4j-server-maven-plugin	1.0		7aa4823c0719cab1da248b943c593d7e283fa9b7
com.github.harti2006	neo4j-server-maven-plugin	1.0.1		6d268aab9bf0d3968da60ae378549b23ac0a0c6d
com.github.harti2006	neo4j-server-maven-plugin	1.1		43b40165c30ac72db976331b1db20ad4c90d7cf1
com.github.harti2006	neo4j-server-maven-plugin	1.2		a28037e95c59e925f69c841b2c332aa4b9d816b6
com.github.houbb	auto-trace-test	0.10.0		81d0f15b42b55f9939a05a63762dd497699e40e3
com.github.houbb	auto-trace-test	0.11.0		b1437407ca289eb769a63fbfb83da47fe59970a7
com.github.houbb	auto-trace-test	0.6.0		615c43b1c9039a7584af8608c292e1f265b2f0ad
com.github.houbb	auto-trace-test	0.7.0		65835e400c6c55c6d9ed163887a8d01603614567
com.github.houbb	auto-trace-test	0.8.0		19e1463822d3d8f02161810917be83b3ee08711e
com.github.houbb	auto-trace-test	0.9.0		9899e2f0ff11ab7346894495a0c79f56b03bdb36
com.github.karasiq	scalajs-bootstrap_sjs0.6_2.13	2.4.0		7517b86b72ac8ea066ed0053841df96ff2b8c4a6
com.github.karasiq	scalajs-bootstrap_sjs0.6_2.13	2.4.1		37aeff234421b9f929ab79dd2d7dfdb159473124
com.github.karasiq	scalajs-bootstrap_sjs0.6_2.13	2.4.2		7e1d34ce05d7ffde8663ba508f837ad0f2fc3103
com.github.livesense	org.liveSense.framework.dom4j	1.0.4		670bd016049488549a580ea90d4fe32911997cba
com.github.livesense	org.liveSense.framework.dom4j	1.0.5		f3c893cff49f2b9f37ea74337c2a20c56643d487
