br.com.objectos	way-ide	0.0.1		N/A
ch.sahits.game	OpenPatricianGraphic	0.0.1		N/A
ch.sahits.game	OpenPatricianGraphic	0.0.2		N/A
city.smartb.f2	f2-dsl-lambda	0.10.0		7170c036002917c37ee8111e03b75d1a2f19aa90
city.smartb.f2	f2-dsl-lambda	0.11.0		3e2675de43bb7ff1f4a4769401e34ed0ac141f24
city.smartb.f2	f2-dsl-lambda	0.12.0		799cd4e28e667eacb6de9cfa16524365955022ee
city.smartb.f2	f2-dsl-lambda	0.4.1		e59db83df7bc076b277c431cb3b7497dc1dd7854
city.smartb.f2	f2-dsl-lambda	0.5.0		f5a8a1372bdd1ea328d4a25c0d85c4f13d8d29d2
city.smartb.f2	f2-dsl-lambda	0.6.0		fe8d3e90290689a4590301245709078097d48791
city.smartb.f2	f2-dsl-lambda	0.7.0		f95cf41b24ead44d0a252b5e53c1e4d10aed2639
city.smartb.f2	f2-dsl-lambda	0.8.0		15d45ac649bd1de774189a3d9b69448bc1659ec0
city.smartb.f2	f2-dsl-lambda	0.9.0		b1e93edf931d5b286ba83b837ff812e827237ba4
cn.vividcode.multiplatform	route-api-iosx64	0.1.0		N/A
cn.vividcode.multiplatform	route-api-iosx64	0.1.0	metadata	1739239ec7fcb55d247a8c1b1c8ecb3920ad0a7a
cn.vividcode.multiplatform	route-api-iosx64	0.1.1		N/A
cn.vividcode.multiplatform	route-api-iosx64	0.1.1	metadata	7cd79c4b83d3cf4910616e43d8ec82b78dff94d3
cn.vividcode.multiplatform	route-api-iosx64	0.1.2		N/A
cn.vividcode.multiplatform	route-api-iosx64	0.1.2	metadata	fdb4728234755fab968b0ed7fa03057099fd78f8
com.armanbilge	schrodinger-kernel-testkit_3	0.3-0058c56		41af95be091acb4cad2935b85749c2add3e1c252
com.armanbilge	schrodinger-kernel-testkit_3	0.3-02d8e71		7d0c8cc6da082a292cfa043740e25b81593370a2
com.armanbilge	schrodinger-kernel-testkit_3	0.3-0fc03e3		c7de439dc81f6fe91b725ad594349610dbdddfcf
com.armanbilge	schrodinger-kernel-testkit_3	0.3-11-bb6ba3d		72c162db7393473d7da2e7508be7cae889f824ce
com.armanbilge	schrodinger-kernel-testkit_3	0.3-14-954cc71		4ea085ed2d40953488b7d07b8739c884582afe10
com.armanbilge	schrodinger-kernel-testkit_3	0.3-16-422c075		1d494dbed6090ae752b45db767aa28091f0b536a
