biz.paluch.visualizr	visualizr-parent	1.0		N/A
city.smartb.s2	s2-automate-core-jvm	0.10.0		aa4ddc7dd0e09a53470b333720aab417e6d49834
city.smartb.s2	s2-automate-core-jvm	0.11.0		4e741e4283baff361e5bf16e3c26e8d234e4c20e
city.smartb.s2	s2-automate-core-jvm	0.12.0		1570562af42245ffc81cea421eed3a9bccddfa21
city.smartb.s2	s2-automate-core-jvm	0.13.0		65991bb4ac68409f22066ed3fc9676339246fa8a
city.smartb.s2	s2-automate-core-jvm	0.14.0		9c90ca978032fe3c4a60b4767225591c5a12dd03
city.smartb.s2	s2-automate-core-jvm	0.15.0		f6aea40bf4f11e89917838eb3aa8c843835a81f8
city.smartb.s2	s2-automate-core-jvm	0.15.1		8c4b982bae804fbc7aff90a111f26736c2bec4a6
city.smartb.s2	s2-automate-core-jvm	0.16.0		139f56cb0c619fb4f9b3209ffa43b51432b9c80b
city.smartb.s2	s2-automate-core-jvm	0.2.1		4f7269e6245975b8cdb232995700a2dad82ee7de
city.smartb.s2	s2-automate-core-jvm	0.3.1		7a052854f8657c678dc6a727c9f77969e96d4dbd
city.smartb.s2	s2-automate-core-jvm	0.4.1		724b14dfcd824d55a3955abeab021a10580905d8
city.smartb.s2	s2-automate-core-jvm	0.5.0		e81c06afa67ba3bb4b195ff5c5e3545cc0397be0
city.smartb.s2	s2-automate-core-jvm	0.5.1		07f72c12b740be7a42609b5167513fd3df61b9bd
city.smartb.s2	s2-automate-core-jvm	0.6.0		d655144df9c6e58864f7df23bd8229c14cff397c
city.smartb.s2	s2-automate-core-jvm	0.7.0		4aa7c71560ec1c373f397326c55f43ce97a7ed0e
city.smartb.s2	s2-automate-core-jvm	0.8.0		364cb0f8cbf6eb484d9bb9e12457a9099b779c6e
city.smartb.s2	s2-automate-core-jvm	0.9.0		bd40b55f0b3d53f749c6e08b197826abf0588269
cn.hippo4j	hippo4j-message	1.4.0		70c6c7f277ba86cf977fa218bd8400d916aca1f8
cn.hippo4j	hippo4j-message	1.4.0-RC		c08c125c599a1cca3ec52c9a65a93e9d1ade1144
cn.hippo4j	hippo4j-message	1.4.0-alpha		cf516d948b39561d48f52a62b541502c45c73647
cn.hippo4j	hippo4j-message	1.4.1		42dd9d9fdf6b8278226d43d3d0bd39c0479fb287
cn.hippo4j	hippo4j-message	1.4.2		5545d2dae6014b1ec2a691db41803e923b737548
cn.hippo4j	hippo4j-message	1.4.2-alpha		4c4fe61bb9a6e77721021cd1c9dde06028844dbd
cn.hippo4j	hippo4j-message	1.4.2-alpha.2		4a91dde14bd9a587e6a4222233bda924018d757f
cn.hippo4j	hippo4j-message	1.4.3		2058e17016144d9433243fa3ef53b903dc7a4255
cn.hippo4j	hippo4j-message	1.4.3-upgrade		6a24baad1e49ebecbc7b774ba74e84af3738e303
cn.hippo4j	hippo4j-message	1.4.3-upgrade.2		9ac8b77cec7b9691a0fce12e43dd33a275c13ad4
cn.hippo4j	hippo4j-message	1.5.0		e4b634e4879f65178d80a30d156e7912c3bf23c6
com.adamglin	compose-shadow-iosx64	0.0.1		N/A
com.adamglin	compose-shadow-iosx64	0.0.1	metadata	66a91ef9bf42fc4ce58c53ac1926ac2b1f0e62ce
com.adamglin	compose-shadow-iosx64	0.0.2-beta05		N/A
com.adamglin	compose-shadow-iosx64	0.0.2-beta05	metadata	8f063ea09ecc04dd8f2e66e936280e8bf41a5494
com.adamglin	compose-shadow-iosx64	1.0.0		N/A
com.adamglin	compose-shadow-iosx64	1.0.0	metadata	d6f2e267221457ffe3578d60c420fe6f3f2f3b46
com.adamglin	compose-shadow-iosx64	1.1.0-beta01		N/A
com.adamglin	compose-shadow-iosx64	1.1.0-beta01	metadata	a6eb649500ceece8d6ace023edd577427debe2df
com.adamglin	compose-shadow-iosx64	2.0.0		N/A
com.adamglin	compose-shadow-iosx64	2.0.0	metadata	aa72e3fb058823e14cb5e1daa2ba7ab14c210a19
com.adamglin	compose-shadow-iosx64	2.0.1		N/A
com.adamglin	compose-shadow-iosx64	2.0.1	metadata	470949f790f313599a542caf80ca1eb518ee14fa
com.adamglin	compose-shadow-iosx64	2.0.3		N/A
com.adamglin	compose-shadow-iosx64	2.0.3	metadata	c379a2d234b4b551de0f6efba2cf437a9d460888
com.artipie	helm-adapter	0.1.2		7d9668cf418d0050188837e4ea54b7f4da2e7f5d
com.artipie	helm-adapter	0.1.3		2b84e6793d09dc85b6671da7a446f5f2a87a6e1b
com.artipie	helm-adapter	0.1.4		b827ea4617d11b4dfadc1b1177088bcf87e5a55f
com.artipie	helm-adapter	0.1.5		9e829fee5608cd9902e570c6e2f1d3048b167b04
com.artipie	helm-adapter	0.2		5b05766b046620ef33a3edc111703b7d20b6721d
com.artipie	helm-adapter	v0.30.13		703e92ce1a00a44865a6e5842c713e13f662e05a
com.artipie	helm-adapter	v0.30.14		795d6f5cf680143638e979f191db17858d826001
com.artipie	helm-adapter	v0.30.15		a3a7e08ae7464decf58832db0d0cc0c61ef5a241
com.artipie	helm-adapter	v1.0		602971c8fd740d688583db99aab4762d0feeee02
com.artipie	helm-adapter	v1.0.1		f16e45fda737ab85bda1bbf9cb7ba8cc3eac0a45
com.artipie	helm-adapter	v1.1.1		f674f2a9bf70c6136b8d9778392d9173ca4fab56
com.artipie	helm-adapter	v1.1.2		5dfc3d3c387e95960fcf7906271cfae19253bc97
com.artipie	helm-adapter	v1.1.3		285d9db26bf6d3c8fd3bf0bb02e8a69600f0a5e5
com.artipie	helm-adapter	v1.1.4		12319e25a5e5e06304225ba9048b8141efe96e53
com.artipie	helm-adapter	v1.1.5		70e768458a46874f778e31336fee1128b36a9a71
com.artipie	helm-adapter	v1.1.6		fee340a9fa38c51a7966c17032be6d4db2fea253
com.artipie	helm-adapter	v1.1.7		342d48b17cb7a6f641f633b1230ca98c9c5567a1
com.artipie	helm-adapter	v1.17.10		6d31fb24711e9ddbfbcbeb2ecd7ad9e8e7db2f8b
com.artipie	helm-adapter	v1.17.11		4a1fb8e5ca8b60a271c4a7a9e737e9077b0a6d3e
com.artipie	helm-adapter	v1.17.12		5f772cbd1cd78f8245ca4f34a6c54c9af1d01cf1
com.artipie	helm-adapter	v1.17.13		eef9902ee612ec79d3a5eb36dd9294430454f0e1
com.artipie	helm-adapter	v1.17.14		5020dd5d1370113bae686a6e38cbcbd535d78990
com.artipie	helm-adapter	v1.17.15		83ff98856fc9d7a011c4c48b6b2855a9e83bb76d
com.artipie	helm-adapter	v1.17.16		dddb9f1e7a16e7c131a5d8951c8f62af02a9872e
com.artipie	helm-adapter	v1.17.2		6563383964728bf8ffe5d8c2dce7114c1c6b070e
com.artipie	helm-adapter	v1.17.3		093ca4d5216706749c92a329aa6cda4cdc15b265
com.artipie	helm-adapter	v1.17.4		a608eddb119846688ddb72b33314abf253728d57
com.artipie	helm-adapter	v1.17.6		04570f908441c33c2f9b606a76f45d9c7f3fe0a9
com.artipie	helm-adapter	v1.17.7		a12b85d612e1bf743e09c46637a5f3941e9f7b51
com.artipie	helm-adapter	v1.17.9		14e6feb3aee6d8af3cb5f9d27851bb7d9a76f426
com.drunkendev	spreadsheet-tools	1.0.0		N/A
com.gitee.chinasoft_ohos	OpeningHoursFragment	1.0.0		N/A
com.gitee.chinasoft_ohos	OpeningHoursFragment	1.0.1		N/A
com.github.ghik	recons-client_2.13.14	0.1.0		bd3120230f60fafb341bf3e36da39f18cc8b89d2
com.github.ghik	recons-client_2.13.14	0.1.1		c2caffc7c26cd3153e2c485b2dc46f5e4efd4dfa
com.github.hburgmeier.jerseyoauth2	jersey-oauth2	0.7		N/A
com.github.hburgmeier.jerseyoauth2	jersey-oauth2	0.8		N/A
com.github.pauleyj	jaxbee	1.0.0		2545c25df95472237ecd740883cd7b9fa7c05a30
com.github.pauleyj	jaxbee	1.1.0		f8b7df001b1a92c80d98bae23a92724f36f10210
com.github.scopt	scopt_2.8.0	1.0.0		574a513f64aad9617d4e4fbdd050ebc4d3e93af5
com.github.scopt	scopt_2.8.0	1.1.0		342cfd9b9aed7580651fca4c9c97778d415671ed
com.github.scopt	scopt_2.8.0	1.1.1		d0a9367b0596bb8630a936c427facd4f3eb1f06e
