at.released.wasm-sqlite-driver	sqlite-binary-api-wasm-js	0.7		N/A
ch.cern.spark	spark-yarn_2.12	3.0.1		7aeee897ed1da0777fcb62468e918c26af19e468
com.aliyun	dts20160801	1.0.0		ffc9276519cd4b11eea0d680dcdf6e1f2bf461d7
com.aliyun	dts20160801	1.0.0	shaded	a8def3d23905d1cc51ab0f2b1aca82dcae582bf6
com.aliyun	superappapi20240920	1.0.0		4e8bfba5d7428afc517e0a79411d8bb1417241d8
com.aliyun	superappapi20240920	1.0.0	shaded	92c19cc96eb6477932b74d3bc9b5e79f98f2ac98
com.codenameone	filechooser-javascript	1.0		7c8101326a53d96ec735df2a69ca020465d76be6
com.codenameone	filechooser-javascript	2.0.0		bdc69a844614e4a2b744356045c243414476addd
com.cognitect.aws	appmesh	675.2.368.0		71be6a12e09e2f3ae4639ef33f5e0d48e6c38e2e
com.cognitect.aws	appmesh	693.2.385.0		9cdb2b2e121e6b0a89a6ac3a120d32c1eef5efaf
com.cognitect.aws	appmesh	697.2.391.0		d6d40a39af1aac8e628b156522dcfaf78a49b494
com.cognitect.aws	appmesh	712.2.417.0		ce18ed9b6c5cad1261b769e56a401da76db92e8a
com.cognitect.aws	appmesh	714.2.430.0		1b8d65f3b16c2ce18276c57239f4631dd65e4178
com.cognitect.aws	appmesh	723.2.475.0		8f9f914c7ec29641392b2ac6007b222c6e82a17d
com.cognitect.aws	appmesh	742.2.511.0		214196f9baa8034cda1b8c36f41302f22c88edca
com.cognitect.aws	appmesh	742.2.513.0		af2aa679c2a8c5b3d1a657417517d5a23aef07c1
com.cognitect.aws	appmesh	742.2.525.0		3800b3251a5b25fb35382f0b82cabaafe0b82476
com.cognitect.aws	appmesh	746.2.533.0		ff5e3a4368e84f6fe7d5b6bdf078a007b8dc9bf2
com.cognitect.aws	appmesh	759.2.556.0		4225b598de2324be0d7cfd46481442e7baa864ca
com.cognitect.aws	appmesh	770.2.568.0		46301daa396fe1eacc9fecfc83252233f90f2e4b
com.cognitect.aws	appmesh	793.2.629.0		64a930b760f41607c68728ef64b5f673ba401b42
com.cognitect.aws	appmesh	794.2.635.0		762ce27fc0dfdf02c0d30f681e62f96f0cd9c5d0
com.cognitect.aws	appmesh	799.2.681.0		95d1e537bd4b2a8bd47085baec4551e2f8086159
com.cognitect.aws	appmesh	801.2.699.0		5f363566df297470f2ccea90d8588ee041a502d3
com.cognitect.aws	appmesh	802.2.713.0		7e73d5715ac165c677192affa136e3512c0c9be6
com.cognitect.aws	appmesh	809.2.797.0		1c57ce9ccb93e060018a984ae4c68a836e44a652
com.cognitect.aws	appmesh	811.2.844.0		1f84ec797fab3e373c1bc88d3410d681e6c830c7
com.cognitect.aws	appmesh	811.2.934.0		73e5017f29babff5937d4aa362992b9635b87c5d
com.cognitect.aws	appmesh	821.2.1107.0		5f4381b51368ea7d0e48ba2f092bb614ef7d44cd
com.cognitect.aws	appmesh	822.2.1145.0		6057c07456176bbf4afb663a7c99bf7f3bb8b43c
com.cognitect.aws	appmesh	822.2.1205.0		7407a80e6f3fb3cc6a9e29fd22d896bb2741f8e3
com.cognitect.aws	appmesh	847.2.1365.0		d7a5b8f74a7080526f2c6bbde720b8848bc5dad0
com.cognitect.aws	appmesh	852.2.1525.0		d49ec6b447dc50a2a71ae14a2da62011fbb9c466
com.cognitect.aws	appmesh	871.2.29.35		061f273f5e8d3d1d258f6a926ec5bb6ad936b260
com.day.cq	cq-mailer	5.1.10		c3d41c7685984b96e93828f7e2ae3432fd17d558
com.day.cq	cq-mailer	5.1.12		6e2cfd3c28c641d5bbc701cde8a2a1e410fb3e7a
com.day.cq	cq-mailer	5.1.16		8bab1b52bf3572c44094772e3182a686abe2b873
com.day.cq	cq-mailer	5.1.18		380c48ed1d55fe329e19be6a460c3ed84958ab68
com.day.cq	cq-mailer	5.1.6		779b9f8e2f55a7c7296c3e166378c629dda21f1b
com.day.cq	cq-mailer	5.1.8		37b06c75de3b87f7ec06eb073f3a391cd655bea7
com.day.cq	cq-mailer	5.2.2		3cf197b43516ec260fc4e69e9cf131e7b4ba1656
com.day.cq	cq-mailer	5.3.0		5689431a1d59644b6d345e4da97c76e673448272
com.day.cq	cq-mailer	5.4.0		9cbc0780ca4b7db15518c903375822ba1aa8ffbf
com.day.cq	cq-mailer	5.5.0		77e73b1d3eac5ca0cdcb036fcb00eba679e749b1
com.day.cq	cq-mailer	5.6.2		e9b643b8c7e118437fb4546488bf5f3048f39983
com.day.cq	cq-mailer	5.6.4		5a496c97e2fe29a3d283bc12f6123473da522bf1
com.dell.cpsd.common.client	common-client-parent	1.3.0		N/A
com.eeeffff.hasentinel	hasentinel-starter	1.8.1		N/A
com.eeeffff.hasentinel	hasentinel-starter	1.8.2		N/A
com.foursquare	rogue_2.8.1	1.0.10		506962609186f1b6a43d4deed4c8edb358d8c29b
com.foursquare	rogue_2.8.1	1.0.11		0f565ca34d3624ecbb868558d667d00ff79e0461
com.foursquare	rogue_2.8.1	1.0.12		a8e33d52ed3a9de8bc4c6cf6e0f715267eae0103
com.foursquare	rogue_2.8.1	1.0.13		0c855c4e7e83136844de45d8ed8188904ed4c037
com.foursquare	rogue_2.8.1	1.0.14		ac3a10dd112cb794d56dab4151197ce5c81a538f
com.foursquare	rogue_2.8.1	1.0.15		240daaa15c5586ef95946866ec42a72880e46ad8
com.foursquare	rogue_2.8.1	1.0.16		e30d1ae8d96e71b8f93c538df7e39e63ac622fdd
com.foursquare	rogue_2.8.1	1.0.17		3e8879649d4830032c8f98bb490ba0e5c1cc8953
com.foursquare	rogue_2.8.1	1.0.18		c4e9626a52479243f51780eae4264a06ac654bff
com.foursquare	rogue_2.8.1	1.0.19		384eb38f9281f8d7be77fd04733a38792b42b7b0
com.foursquare	rogue_2.8.1	1.0.20		ae8cbdd856a3679614e66a3d201e2b1d9e6ebae4
com.foursquare	rogue_2.8.1	1.0.21		055936252a0d5b531941aa12c28f93fdbd627cf0
