cn.infrabase	infrabase-common-barcode	0.0.1		2e0a4e24d105116091fe3c44b7f2174a3c7e19b1
com.acooly	acooly-portlets-notice-core	5.2.0		3679917429de9982fcedae9dda643b935bc4e23e
com.acooly	acooly-portlets-notice-core	5.2.1		6274de3638a562ea6a0751d441861a321810e37e
com.blazebit	blaze-weblink-testsuite-core-service	0.2.0		0f1d5d70dee166011de640411d6634a7d82f4d4b
com.blazebit	blaze-weblink-testsuite-core-service	0.2.1		de45e637a60179b8311f778bf6ff8bc92502a942
com.eed3si9n	bridge_2.9.2	0.3.0		80d7beeb680aafd65ecb410460888d4f67be83b1
com.envoisolutions.sxc	sxc-jaxb-maven-plugin	0.7		b1484d109ce85395a6dd75ca6f7447f1ce5d32d1
com.envoisolutions.sxc	sxc-jaxb-maven-plugin	0.7.1		43f241f5204dfec8cd82938bf7792fe4ed247d80
com.envoisolutions.sxc	sxc-jaxb-maven-plugin	0.7.2		0781189cbffbf36c96f77dbb7db989cd8fe89a73
com.envoisolutions.sxc	sxc-jaxb-maven-plugin	0.7.3		0cd79606024e401aa2857d40530a2c8aebb3bba5
com.flash3388.flashlib	flashlib.frc.nt	2020.2.0-alpha.1		8f33f88713e56c6c05d589e084544f5fc11be2f9
com.flash3388.flashlib	flashlib.frc.nt	2021.1.0		34ffe534bbf189c267c3ffab9fc7233853e6975e
com.flash3388.flashlib	flashlib.frc.nt	2021.1.0-alpha.1		9624ddd431d5c49c90825f8afb22b4702d5d90e8
com.flash3388.flashlib	flashlib.frc.nt	2021.1.0-beta.1		177106b6b4b4258d33131b713c9dd82a80e1c3aa
com.flash3388.flashlib	flashlib.frc.nt	2021.2.0		78e41314504f02fb71a2cc7b6920d6c79f5fb558
com.flash3388.flashlib	flashlib.frc.nt	2022.1.0		2ff83eea6867d36833bbe98859bd70798cd16acb
com.flash3388.flashlib	flashlib.frc.nt	2022.2.0		406051abecf6920b97a375bc73cd83b6b3c73bbc
com.flash3388.flashlib	flashlib.frc.nt	2023.1.0		303c816bf946d33e6aeac2d59dd7f39b95a418fb
com.flash3388.flashlib	flashlib.frc.nt	2023.1.0-beta.1		d184c7a310405a5af453e12da9286cc6a783ed55
com.flash3388.flashlib	flashlib.frc.nt	2023.1.1		2b11d45cac1e5da4f6abb8664a1536247532e21c
com.flash3388.flashlib	flashlib.frc.nt	2023.2.0-alpha.1		7d921ef18c2098356945bb47d4bd95f6d5159a42
com.flash3388.flashlib	flashlib.frc.nt	2023.2.0-alpha.2		da9f8ef37ecd633e03df896b0e66c09a2120f1cb
com.flash3388.flashlib	flashlib.frc.nt	2023.2.0-alpha.3		77d1daf2683dbf230620bfe83ed79dc13b425351
com.flash3388.flashlib	flashlib.frc.nt	2023.2.0-alpha.4		7462fb9602c81d2a7f08e8b07418ff46ee41b14f
