ai.hunters	spark-adaptive-file-connector_2.12	1.0.0		93b7250b259f81ba40d04359d86e2b59f3217691
br.com.objectos	sql-core	0.1.0		8f0ce8f739002ec69c327e6ee32bdf98371d633f
br.com.objectos	sql-core	0.10.0		4baef04553f1b466271580bf8f64b9d5b3c4ef99
br.com.objectos	sql-core	0.10.1		e34655e3a3541c8c1b5d250ce1390499c7c37124
br.com.objectos	sql-core	0.10.2		217eab99fa69217e20c30a636f6b72c9aaa3a65e
br.com.objectos	sql-core	0.11.0		3adc7e0139d7b665abc4150c24b3bedd70f8fbfa
br.com.objectos	sql-core	0.11.1		d9b7bb8e3712502c520377bf29a7b3df8c2e7826
br.com.objectos	sql-core	0.2.0		471fed862ceb1bf3113d6ce377c66307de37c8ea
br.com.objectos	sql-core	0.3.0		f7ffde7ef5b66ea5a3530ac5f74e3bb40f02ab70
br.com.objectos	sql-core	0.3.1		5b17455d403f490348a238c4c33d90dc7607a159
br.com.objectos	sql-core	0.3.2		230b8b90f65a7abb1525e2e3eb81059ac9ce7eda
br.com.objectos	sql-core	0.4.0		6ba8fead083a8c9c27af1fea7a8f1c0486de4c5a
br.com.objectos	sql-core	0.5.0		db8abc364b8caee0297c22307a968310053d4843
br.com.objectos	sql-core	0.6.0		81a6267e06c93252a5bcf665c66e82250a580b79
br.com.objectos	sql-core	0.6.1		38f998b80991788df5fa82606ab5a5fd7f5bfc76
br.com.objectos	sql-core	0.6.2		217d67d91556fe5bebc0be8b88d1a2b81e552458
br.com.objectos	sql-core	0.7.0		1d73998dc0af59fe9707e6bc8f3c65fa2bda6bf4
br.com.objectos	sql-core	0.8.0		0d9af72bba6f0d1376ff491664a836981fc88e5a
br.com.objectos	sql-core	0.9.0		5c9ed9cc5eff56c062d300e9af9d6399ff0d452d
br.com.objectos	sql-core	0.9.1		6cea28edd53baf6815ca63909ca5b5011e8104d3
br.com.objectos	sql-core	0.9.2		9d2ac482a9f6e434d37d5c3ea5070050927aadfb
ch.ifocusit	plantuml-builder	1.0		e5cd0dd525818d919895ac454d83cb7193d22887
ch.ifocusit	plantuml-builder	1.1		5ca152fc8923a36a638f569ca3c76c7413b5d197
ch.ifocusit	plantuml-builder	1.2		a003e0d5aa4e425d901145096976e12f30250a3b
ch.ifocusit	plantuml-builder	1.3		54399a60e12c53694a9e86bb14c0d49a644b82fc
ch.ifocusit	plantuml-builder	1.4		720235c7f73b2942fae11f78e938768a593849e1
ch.ifocusit	plantuml-builder	1.5		b136a5f16efe61572cc112acb8c6f6bcbaf3464d
ch.ifocusit	plantuml-builder	2.0		d24f3d69cdf7d0b68137850d16f7781d3c674c2f
ch.ifocusit	plantuml-builder	2.1		a322974f52d76453112ffeef263b88d14ffd0d2e
ch.ifocusit	plantuml-builder	2.3		87ef60c7004006696be725942dba4fd6f3c71655
ch.ifocusit	plantuml-builder	2.4		60ef1afd8da084febeee8a5d365f22686aed1a28
ch.ifocusit	plantuml-builder	2.5		9d045f50d7b4ac3fe6d184f6bf1606d07ada35d1
ch.ifocusit	plantuml-builder	2.6		bcf63e9f214ee4fe98ca5491f85ec31a140cb5d1
ch.ifocusit	plantuml-builder	2.7		5aea647a418cfd7719cdf8dfe1ac81c94eb448a2
ch.ifocusit	plantuml-builder	2.8		f9d79e0a120813a5ce4af2dba5313a6500ad58dd
cloud.oneentry	sdk-form-watchossimulatorarm64	1.1.1		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.1.1	metadata	35322e00a258516ce11df5e2febd20740b39849b
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.0		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.0	metadata	c547d4f7e0dd35be493107266b708244f651c673
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.2		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.2	metadata	8f7a228859e0f8f80a1d4139da534fd846a78767
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.4		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.4	metadata	cbe4e891ae70958c048ef87292dd67522a1fb598
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.5		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.5	metadata	175acea39d7e1b178bceac41799c5bc81a70578f
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.6		N/A
cloud.oneentry	sdk-form-watchossimulatorarm64	1.2.6	metadata	6e8a5bab39a23348deda6948eb774cfac474a142
com.adyen.checkout	entercash-ui	3.8.3		N/A
com.aiuta	fashionsdk-logger-android	4.1.0		N/A
com.battcn	extend-spring-boot-starter	2.0.1-RELEASE		c8c0d4419431d88dfae045a54490b7e46c255d4e
com.battcn	extend-spring-boot-starter	2.0.3-RELEASE		cf4ea3198aad1dcfdbc30e6fa448578b1a359943
com.battcn	extend-spring-boot-starter	2.0.4-RELEASE		c6cd79ce28a404b80a67c1625fe90e1dcd790c6c
com.bladejava	blade-cache	1.0.0		77f1157413aca891dc6c88cff907c71e66fa0529
com.bladejava	blade-cache	1.0.1		c7cbafd0f9d8ab8f429cfac833a58f846a7d2816
com.bladejava	blade-cache	1.2		4bc931372f048e00c2c6ee5f34f97c134644b000
com.bladejava	blade-cache	1.2.1		640fe42721a567a889a23ea410d03fc8eb7e28f1
com.bladejava	blade-cache	1.2.2		b23e07620597dcb0e4adba83d790f6002d3f5e5e
com.bladejava	blade-cache	1.2.3		ab81353c49171fb279c496edc8c0559af11ef524
com.codenameone	fingerprint-scanner-javascript	1.0		6e11fff8f9c49d16aeca875b0d5559e26e7901e1
com.codenameone	fingerprint-scanner-javascript	1.1.0		bad99f0a9e3d9c9bcb4a22120bce507d1d6f1cef
com.codenameone	fingerprint-scanner-javascript	1.1.1		f7b74cab876937955e2dc7d94d31444488730792
com.codenameone	fingerprint-scanner-javascript	1.1.2		59f78b3c267225aa962f7a1d57e67fdb9b5182c2
com.codenameone	fingerprint-scanner-javascript	1.1.3		0fc218ed26b2dfe05e6709f75cd10d64fcd625a3
com.didispace	scca-persistence-db	1.0.0-RELEASE		16795dffd068fb6338adcc81461b7d49df148c82
com.didispace	scca-persistence-db	1.1.0-RELEASE		d34cd24ed0cc131f1d2b680f882e3eb83610a18d
com.didispace	scca-persistence-db	1.1.1-RELEASE		4abf2e5c060a9617266fb3b92a2dbf5b3ff22ea5
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	0.10		082899515d0fd8502c6ad62c2927c058aa8f4454
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	0.8		b320db2919c25ddb9a7adb6adf153fc978a9f2a0
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	0.9		1e8a4e328d564465d4a2c78a37873594e3d52eee
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.0		d19541e9548bf900e67d8409633234687681a9f4
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.1		ffa4e051624640e933f39846ba2bce258de911ae
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.1.1		49a0f9869244145b0013c0d73fb1c48bdeb0b259
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.10		ad04dc2b05c806fe9386dea4357c6079f6edfb40
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.11		45fafb9b16fbded0a12e9b14875d6f796c6638bd
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.12		c60b5097913008e1e1fb5c34ca8ad663fd761d1e
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.12.1		30c14e79b5061cd5043126309c819fd6ebb7af47
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.13		deca20c56156814e0405582d730849c35689deff
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.14		bf535fd2ff130b8edf19fd6c5f40c18173b154bb
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.15		d71f5b37de48ccd1a3a1350eb3306f02ca0e9523
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.16		ad83cc6fb927f7c514b441c08f941326a4bc3ee9
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.17		8e4165aee56428e1c3e430c2160fc50ddae681f3
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.18		96a490fc629c29505c51c93d62d3231d2208b368
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.2		0948704446d9b6a3dd4c94140041ec073c95660a
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.3		b01b54bc34600b786dae49c2de2cc38062529897
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.4		119d9ad8204e72c26f500b78d3ceab83bacb542c
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.5		a0f0af8e102c8a11cf9f13c2584ad14426c5dfb6
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.5.1		f4a312cd0861abb677a10d36988c238644fd3e32
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.6		d6a4ca37f842735eb1d8fde7b769efe8c944a321
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.7		e6647319679e1e4c221b8c02ef1479aad2a3f031
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.8		06d1b02d3f4a32f80f85c377a507a87d3cb5b501
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	1.9		382b41841208d822ab57b8e0c287b310ce06d426
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.0		103e31b7198a73fe93555f7dcd2412fa9e534500
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.1		6dc966287990d944af40959ae04795a414da4718
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.10		c769ecd1de3786da6d24cb31baba375a1bce6089
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.11		3dbb2d27c2d64f88e3476117fce8406aa17ae5fe
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.2		ed5dd01bdf5e29356d02e714721a8999b22f9f17
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.3		671140258cf0dcd879f1eb64c1591b640a553e1b
com.digitalpebble.stormcrawler	storm-crawler-elasticsearch	2.4		96443c2368cbc59dddeba04cf2764f9e06d4daa7
