ai.chat2db.excel	easyexcel-plus-test	0.0.1		310ce313bedb3317d936bc24c1076e83edf3c782
com.akuleshov7	ktoml-file-jvm	0.2.10		16a213850f7f1cff3c79447e57fbaab40203dd10
com.akuleshov7	ktoml-file-jvm	0.2.11		70b729d6f8fbb4bdec7ca57b03317be92827baca
com.akuleshov7	ktoml-file-jvm	0.2.12		6b6a2b2dfd44399be2affd7a49614758e72e71d0
com.akuleshov7	ktoml-file-jvm	0.2.13		26988be2fae8bb4db0803cc73f5e6c4c81aa373b
com.akuleshov7	ktoml-file-jvm	0.2.7		fb964adde9586bb2e1ef55b0005ed441537a6843
com.akuleshov7	ktoml-file-jvm	0.2.8		55f241140cd4401b2790eded10b2fc46b5c91b5f
com.akuleshov7	ktoml-file-jvm	0.2.9		ec3454eb3f320e6ba9e8d0eaa1d81aacb4c2873f
com.akuleshov7	ktoml-file-jvm	0.3.0		513dd805472c52231dd6f5b37f5620ce30d201f0
com.akuleshov7	ktoml-file-jvm	0.4.0		901cbd220eb5defdd50d6a516cf92cba0338e25e
com.akuleshov7	ktoml-file-jvm	0.4.1		ffd8d4df544c13c9b32ec37be1792e577596f9dd
com.akuleshov7	ktoml-file-jvm	0.5.0		8289aa6c562a1c4b2f42595b321c8ca8be4757ec
com.akuleshov7	ktoml-file-jvm	0.5.1		69c8acc746dffe8994f86a0542df2e8fe691c1b0
com.akuleshov7	ktoml-file-jvm	0.5.2		1114744aa5ae5b9019bd9f343de731da743f75bb
com.akuleshov7	ktoml-file-jvm	0.6.0		031b991137621a0548113bc53fa2349cd920cb5c
com.akuleshov7	ktoml-file-jvm	0.7.0		59733a38d3c4ff23f40b5114a1b50946f104192f
com.alibaba.cloud	spring-alibaba-nacos-config	2023.0.1.3		c71698651f57b626b4b4c758e42ec56caf9f3f02
com.alibaba.cloud	spring-alibaba-nacos-config	2023.0.3.1		14d5dbf4af046c223114f321f3633ae1e614bca7
com.alibaba.cloud	spring-alibaba-nacos-config	2023.0.3.2		8b371ce8f56b54972664c00d5f863990fc661bb1
com.aliyun	aegis_ops20180828	1.0.0		c25c8f9dfdd7a912c3f27e2fa59976df70b74b8f
com.aliyun	aegis_ops20180828	1.0.0	shaded	28c4feea8632f50f5304f1ba07b241e8adaf174e
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	1.1.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.4.0		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.4.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.0		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.3		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.4		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.5		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.7		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.7.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.8		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.8.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.8.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.8.2.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.9		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.9.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.5.9.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.0		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.1.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.1.14		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.1.15		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.1.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.2.1		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.2.2		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.3		N/A
com.baidu.lbsyun	BaiduMapSDK_Map-Navi	7.6.4		N/A
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0		28c460a324fe9904f368f1b7dcb8ce44a9f0d07a
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0	module	8980299425095257e6645cdc0a8b0b4f8febba2d
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0-Alpha5		9c1dbc34b7e24fb43a3b61d034bf44bc259479a6
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0-Alpha6		d56ef1a637cf1f54cb32a59b1e611e070c5c6fb2
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0-RC1		02cf88cb87e475aa2156afc0a2046c362bf84746
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.0-RC1	module	7f45b73ce4eff7df348b762462476ca9d5cc94d6
com.blazebit	blaze-persistence-integration-datanucleus-5.1	1.2.1		4f66d04ae4427fce133a2bfffe5e825e2f89d70a
