be.yildiz-games	tooling-repo-sync	1.0.0		bc88a7313dd93ea66ac84c0a29db089bb460a9bb
br.usp.each.saeg	opal	0.0.4		cfe32c79a42281ce04d8e6ba28b7702bbfe3683a
ch.itds.taglib	asset-pipeline-thymeleaf-taglib	1.1.1		413fb5c2ec558fac4660d1373af91c8f076167c6
cloud.ilum	ilum-spark-format	6.1.0		0bb27f8bc3cc82b2a5f1ae69d86cd9839afc1df4
cloud.ilum	ilum-spark-format	6.1.0	all	bc4a9eab8e61c1e605c6d283ace461572a2d64cc
cloud.ilum	ilum-spark-format	6.1.0-RC2		529edff2ca8f47b325272957b8a3e3d662f55a86
cloud.ilum	ilum-spark-format	6.1.0-RC2	all	4fdd2c81e9a07f7e6f16f6a48d88c63ff8dd93ef
cloud.ilum	ilum-spark-format	6.2.0		4f88bb7a023a7b52b88438a7fccacb4ab50cddf3
cloud.ilum	ilum-spark-format	6.2.0	all	3ce50e6e2f334b7f01ef0ea032f9c73c7e4ce49a
co.pishfa.accelerate	accelerate-eclipselink	1.0.0		6c4f3821a62fb016425c0ffa9090d8606a4f8085
com.bingzer.android.dbv	dbquery	1.0.0		N/A
com.bingzer.android.dbv	dbquery	2.0.0		N/A
com.bingzer.android.dbv	dbquery	2.1.0		N/A
com.bingzer.android.dbv	dbquery	2.2.0		N/A
com.bookislife	sauce-android	0.0.1		N/A
com.day.crx.sling	com.day.crx.sling.base	1.4.0-0001		143572dc35ae9e310099cde412e9182182c34258
com.day.crx.sling	com.day.crx.sling.base	1.4.0-0002		392f80064be05b313bbbe352fa45e3c8d2879b7a
com.day.crx.sling	com.day.crx.sling.base	1.4.1		b9dbd232b1943d763670a68a7c7392bf26ad087a
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load1		678e145b7437a599dc647030dc976003c734af50
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load2		d630c108088fe60d71d6aebe784a5abf35b64e6f
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load3		45a760d6d7ce5632d11788cd4e08492ca1560852
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load3a		af7575ef1b905545d5372da1b262221ccbc6b258
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load3b		ede207b109f2229305f3a54d2b2e474685b88573
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load4		c3ee76e06e75c3e03fd7e852321051f716e1af59
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load5		16d24c809ce991b9ec36b426b5791c681df02e5f
com.day.crx.sling	com.day.crx.sling.base	1.4.1-load6		4a373819170535681bd24256042e5d1c8bebf793
com.day.crx.sling	com.day.crx.sling.base	1.4.2		967897c295c9e883bd5d7c376d5e1d8aca06de0a
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load1		0c3e5acbf9ab921cbf2efb8b3ba6729725680b30
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load2		2990752505984e694e1d2c4f34b3a5bf7258e809
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load3		7829a4d4e2750fcb44fa5379edbbdac8c76cf30a
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load4		a3ac3f81bdf45f9982775d61c94e6e1a1fec041b
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load6		5d5be4d3bef731fd2605e1495cedcc67648e497a
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load7		025eaeb19b7f72fb0cd22370bf3ea0a93037fb00
com.day.crx.sling	com.day.crx.sling.base	1.4.2-load8		c816b34f98f44f9c01a44005315c1e520ff7b80a
com.day.crx.sling	com.day.crx.sling.base	2.0.0		d5fffa6ac8eb39e592006456c57295a712f7013b
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load10		c3d092ea775a4c5f745972cfc7d33ed04423056a
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load11		e948405b160e1f90e035fa549a6f8e5c30d2f71a
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load12		c560ca10729eb8bdd1ab7542c373e18f37595883
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load13		cd23ccd34737ebce820020c8d5decd2c7e70f9fb
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load13-2		4dfd5003b594be8a5949815c101f2769da24890e
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load13-3		96a9e2fbbb5751ed01525d83bda70f5c292a78c8
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load13-4		c7b243dc76ba1d526af29ee2328b8f7cf1e476d1
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load13a		6cadfc8e611145065acff60c027e90f2affc0982
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load14		926a37fea5063aef7eba891d7a5940ba15278b6e
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load14a		2c6057cead098c9012c4cc8ec9748a0dbc67d13f
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load15		35dff84acddbd188072d9bdd6c699cc5455d9bdf
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load16		a8551ba3838f4d505cdc1b40711595cb73ee10d5
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load17		ea42fb4aee3cfb0114538a94606bd4d5aeccb6fd
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load17a		e1f73872648150f3ef55187c4e8e56f5cabfb397
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load18		77b28bc8342939125ab79f04ba4134b82785f568
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load18a		0f4991b49b9d1b988cdf342da1b67f55503409b9
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load19pre		f80a99e2abfa7c779d482a3747a7e843c855cda8
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load4		6bfbaabc622f55525bb4a3c3795a37784b6be6cc
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load5		acfc4f529208ea47446c12cf91d48db335532a35
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load6		a6803abdc1fedd1a276b542ce7ac083790399ab2
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load6a		d020cb19d403aa1ae055b2c3fbe0d8f6026683de
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load7		dcc1f4c45ed8cd9c668e44af96eacb22e110cc32
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load7-dev1		6572ef35e4df641e8d55b1dbbd4a6c19fc08de71
com.day.crx.sling	com.day.crx.sling.base	2.0.0-load8		a2d0e42bf26ab079607c0fd8cda25c7cc41f7265
