ba.sake	hepek-components_sjs1_2.12	0.8.0		8420590267f723cbce38049c3296162031b7d816
br.com.objectos.oss-java7	objectos-lang	1.0.0		eb296584f6c595faacef135c91ad4528d9bb36a1
cn.itlym	shoulder-starter-auth-token	0.4		ef009404a3d70de7893a53a9cfb70ea2acb5f7b9
cn.itlym	shoulder-starter-auth-token	0.5		605c58d3871d33f890b6ee48aa86dcae454544de
cn.itlym	shoulder-starter-auth-token	0.6		4fb74ead648b3aa594ea3588d5a7974fbcba6f78
cn.itlym	shoulder-starter-auth-token	0.7		845d7347e4371a37e26e73a0872881116f39a1d0
cn.itlym	shoulder-starter-auth-token	0.7.1		a45c378bdd3179f046bf3112b826774aa4ecbf95
cn.itlym	shoulder-starter-auth-token	0.8		a93e12c044a86c119bc7e6dace7bc8f99a2c9574
cn.itlym	shoulder-starter-auth-token	0.8.1		76682c79218fa6e03bd70c2c30656661ccb20ba8
cn.itlym	shoulder-starter-auth-token	1.0.0		73951de0693c5d2ccecf87d0b85e5cb316f5d1ed
cn.itlym	shoulder-starter-auth-token	1.0.0-M1		1aacd277b9cf051daf667be679344773fce178d3
cn.itlym	shoulder-starter-auth-token	1.0.0-M1.1		1b76a78c8dc8e88e6cdee14553362c8fcfccb84a
cn.itlym	shoulder-starter-auth-token	1.0.0-M1.2		cadbec853abeb1cc84b02ceb9f09c93da384d33f
cn.itlym	shoulder-starter-auth-token	1.0.0-M2		876a2c1aa59bcd9dd020933b47219cc94710181d
cn.itlym	shoulder-starter-auth-token	1.0.0-M2.1		04c15b608b8c263335fbe4345642ef9be0978dc1
cn.itlym	shoulder-starter-auth-token	1.0.0-M2.2		418f01cbd424b6d64b5724581e52289aab60ad57
cn.itlym	shoulder-starter-auth-token	1.0.0-M3		0774a30d1272610164acd5f780cdba101967fd21
cn.itlym	shoulder-starter-auth-token	1.0.0-M3.1		57a4f118b67ccbe9af83038aea6c878edceba259
cn.itlym	shoulder-starter-auth-token	1.0.0-M3.2		400ea987f9b94c051ca6db4be27e6f6fa66cd368
