cn.weiyinfu	gs	1.0		fe1c2962b012f68c705a3b0a94a437fafa1ac16f
com.azure	azure-analytics-purview-workflow	1.0.0-beta.1		72ae34a27f29613eb693fbedb4bdd12840ec681f
com.azure	azure-analytics-purview-workflow	1.0.0-beta.2		afa7287212295b7b79a0c8ef71e69d58a4af6a56
com.bloxbean.cardano	cardano-client-core-api	0.5.0		bef01fa01b5f457e3583485bfe2dd8cef383aae7
com.bloxbean.cardano	cardano-client-core-api	0.5.0-alpha.1		d70b34e69ffeb1f14ff16b1587d89a1195489284
com.bloxbean.cardano	cardano-client-core-api	0.5.0-alpha.2		bed326df72ade1c1b8438b523b11ce3ccab1c73b
com.bloxbean.cardano	cardano-client-core-api	0.5.0-alpha.3		f97429643188f52edf69b547f420b6f04e1f1116
com.bloxbean.cardano	cardano-client-core-api	0.5.0-alpha.4		717004b31e11758c4e9fde3e3cdcb894bcbfa29e
com.bloxbean.cardano	cardano-client-core-api	0.5.0-beta1		e1f9023a09a4059639a7cae79a1b48bbb2ec4d4e
com.bloxbean.cardano	cardano-client-core-api	0.5.0-beta2		af1c2d496d01a6b0a4114d17d661851c4bc3ccc2
com.bloxbean.cardano	cardano-client-core-api	0.5.0-beta3		8eea4e47006589aed2b1759613b8902288b4cefe
com.bloxbean.cardano	cardano-client-core-api	0.5.1		511fbeba63b894f5af67ecca9ff5182d7e752458
com.bloxbean.cardano	cardano-client-core-api	0.5.1-preview1		4821638496333c86af4a277fcfb4c3411d94132e
com.bloxbean.cardano	cardano-client-core-api	0.5.2-preview		b79c52af2a0686009417cbe6419021a9d3409997
com.bloxbean.cardano	cardano-client-core-api	0.6.0		ed0ea9e4f6cfda686228095ace29983149c2f9a8
com.bloxbean.cardano	cardano-client-core-api	0.6.0-beta1		73a88b41bdbc2cde300da76697b1b1acd5418a21
com.bloxbean.cardano	cardano-client-core-api	0.6.0-preview1		331802719e6bfe402b65f56c506875ef65d95dff
com.bloxbean.cardano	cardano-client-core-api	0.6.0-preview2		0ec73f4daf997d54df54cd66c2bffa80cdf90c16
com.bloxbean.cardano	cardano-client-core-api	0.6.1		9bb58f4878ea6f148cce21991353655c1c96ed06
com.bloxbean.cardano	cardano-client-core-api	0.6.2		160d1f57b278bbd642e0c15fde33be838eb9fbf5
com.bloxbean.cardano	cardano-client-core-api	0.6.3		8290504545748c2e6d8bb6bb1ede6de0b6d3438b
com.bloxbean.cardano	cardano-client-core-api	0.6.4		8edaedba6fdd355c2be8751c5b5aec58e67a3890
com.bloxbean.cardano	cardano-client-core-api	0.7.0-beta1		7b949a4c402505e4b06721697762027804dab4e8
com.bloxbean.cardano	cardano-client-core-api	0.7.0-beta2		022d2fccad79a38b751e6ae4a2eeaf9b0a0aef4e
com.dahuatech.icc	java-sdk-jpatrol	1.0.10		ba530913723bde2d21d30169eb6295e38eed0291
com.dahuatech.icc	java-sdk-jpatrol	1.0.11		da25f08dab29cb7ab07f465ab9c4453d05c05bfe
com.dahuatech.icc	java-sdk-jpatrol	1.0.11.1		1d64473d8312ca21b72a1139ee92a9bd80e8485a
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.1		2ccb43edeb5b2cbe48c9553450e6fca780053989
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.2		9619c2c218a87686f3c8986ddb70746ff72cf16d
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.3		58e17d29b4a0ebfe93030ea2aa1574ad46f1d6c5
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.4		39b7c3981411b39662feaf11c1d298ccc3468876
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.5		5f03057936693efa9e096cd6e5e9937cf1d3fd9e
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.8		b930f852b0d251372eb26b009142f0edef3ff063
com.dahuatech.icc	java-sdk-jpatrol	1.0.12.9		1c590647b1fdfd23cf93f0432e885a6a274ff96c
com.dahuatech.icc	java-sdk-jpatrol	1.0.13		14c2b9e6654b04b5c03737f6e86643afed2c00bf
