at.bestsolution	at.bestsolution.dart.server.api	1.0.0		82cd091624a0948847b1c8f00f1ae2d6cedb534f
at.yawk.cricket	cricket-template	2.0		f109a2cbf7fc8a16bf53e6aeaf7d62567acd2551
br.com.objectos.jabuticava	parent	0.2.0		N/A
br.com.objectos.jabuticava	parent	0.3.0		N/A
br.com.objectos.jabuticava	parent	0.4.0		N/A
br.com.objectos.jabuticava	parent	0.5.0		N/A
cn.shanyaliux	serialport	4.1.7		N/A
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.10		N/A
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.10	metadata	9e6f3f1983bad05a9be81af8cf9d9f95ad54ce36
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.8		N/A
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.8	metadata	7f7f2f0a4d0fa6614dc9064bf537ae07c4510de5
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.9		N/A
com.alexrdclement.uiplayground	ui-playground-core-iosarm64	0.0.9	metadata	87f1b077ee18c51afa1c1aa68380bc37181b8744
com.alexsimo.rxjava2firebase	remoteconfig	0.0.1		N/A
com.bihe0832.android	lib-http-advanced	4.1.0		N/A
com.bihe0832.android	lib-http-advanced	4.12.12		N/A
com.bihe0832.android	lib-http-advanced	4.12.13		N/A
com.bihe0832.android	lib-http-advanced	4.13.5		N/A
com.bihe0832.android	lib-http-advanced	4.14.0		N/A
com.bihe0832.android	lib-http-advanced	4.14.10		N/A
com.bihe0832.android	lib-http-advanced	4.14.17		N/A
com.bihe0832.android	lib-http-advanced	4.14.18		N/A
com.bihe0832.android	lib-http-advanced	4.14.2		N/A
com.bihe0832.android	lib-http-advanced	4.14.4		N/A
com.bihe0832.android	lib-http-advanced	4.14.9		N/A
com.bihe0832.android	lib-http-advanced	4.15.14		N/A
com.bihe0832.android	lib-http-advanced	4.16.3		N/A
com.bihe0832.android	lib-http-advanced	4.16.4		N/A
com.bihe0832.android	lib-http-advanced	4.16.5		N/A
com.bihe0832.android	lib-http-advanced	4.16.6		N/A
com.bihe0832.android	lib-http-advanced	4.16.7		N/A
com.bihe0832.android	lib-http-advanced	4.17.3		N/A
com.bihe0832.android	lib-http-advanced	4.18.2		N/A
com.bihe0832.android	lib-http-advanced	4.18.3		N/A
com.bihe0832.android	lib-http-advanced	4.18.5		N/A
com.bihe0832.android	lib-http-advanced	4.18.6		N/A
com.bihe0832.android	lib-http-advanced	4.19.0		N/A
com.bihe0832.android	lib-http-advanced	4.19.4		N/A
com.bihe0832.android	lib-http-advanced	4.19.6		N/A
com.bihe0832.android	lib-http-advanced	4.20.0		N/A
com.bihe0832.android	lib-http-advanced	4.20.22		N/A
com.bihe0832.android	lib-http-advanced	4.20.29		N/A
com.bihe0832.android	lib-http-advanced	4.20.32		N/A
com.bihe0832.android	lib-http-advanced	4.20.33		N/A
com.bihe0832.android	lib-http-advanced	4.20.36		N/A
com.bihe0832.android	lib-http-advanced	4.20.56		N/A
com.bihe0832.android	lib-http-advanced	4.20.8		N/A
com.bihe0832.android	lib-http-advanced	4.20.9		N/A
com.bihe0832.android	lib-http-advanced	4.22.25		N/A
com.bihe0832.android	lib-http-advanced	4.22.27		N/A
com.bihe0832.android	lib-http-advanced	4.22.29		N/A
com.bihe0832.android	lib-http-advanced	4.22.30		N/A
com.bihe0832.android	lib-http-advanced	4.23.1		N/A
com.bihe0832.android	lib-http-advanced	4.23.3		N/A
com.bihe0832.android	lib-http-advanced	4.3.1		N/A
com.bihe0832.android	lib-http-advanced	4.5.5		N/A
com.bihe0832.android	lib-http-advanced	4.7.16		N/A
com.bihe0832.android	lib-http-advanced	4.8.2		N/A
com.bihe0832.android	lib-http-advanced	4.8.9		N/A
com.bihe0832.android	lib-http-advanced	5.1.0		N/A
com.bihe0832.android	lib-http-advanced	5.1.6		N/A
com.bihe0832.android	lib-http-advanced	5.1.7		N/A
com.bihe0832.android	lib-http-advanced	5.1.8		N/A
com.bihe0832.android	lib-http-advanced	5.1.9		N/A
com.bihe0832.android	lib-http-advanced	5.10.13		N/A
com.bihe0832.android	lib-http-advanced	5.10.15		N/A
com.bihe0832.android	lib-http-advanced	5.10.21		N/A
com.bihe0832.android	lib-http-advanced	5.10.3		N/A
com.bihe0832.android	lib-http-advanced	5.10.49		N/A
com.bihe0832.android	lib-http-advanced	5.11.20		N/A
com.bihe0832.android	lib-http-advanced	5.12.11		N/A
com.bihe0832.android	lib-http-advanced	5.15.10		N/A
com.bihe0832.android	lib-http-advanced	5.15.13		N/A
com.bihe0832.android	lib-http-advanced	5.17.0		N/A
com.bihe0832.android	lib-http-advanced	5.2.12		N/A
com.bihe0832.android	lib-http-advanced	5.2.2		N/A
com.bihe0832.android	lib-http-advanced	5.8.0		N/A
com.bihe0832.android	lib-http-advanced	5.9.10		N/A
