ca.radiant3	jsonrpc-java	0.0.1		2aa511a6cbc763b085cecad562b6ee68fe810aa3
cafe.adriel.voyager	voyager-koin-js	1.0.0		N/A
cafe.adriel.voyager	voyager-koin-js	1.0.0-rc07		N/A
cafe.adriel.voyager	voyager-koin-js	1.0.0-rc08		N/A
cafe.adriel.voyager	voyager-koin-js	1.0.0-rc09		N/A
cafe.adriel.voyager	voyager-koin-js	1.0.0-rc10		N/A
cafe.adriel.voyager	voyager-koin-js	1.0.1		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-alpha01		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-alpha02		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-alpha03		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-alpha04		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-beta01		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-beta02		N/A
cafe.adriel.voyager	voyager-koin-js	1.1.0-beta03		N/A
ch.epfl.lamp	dotty-language-server_0.19	0.19.0		2cfd158b9bfc928921a776ba057a4fcae4a30dc4
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-RC1		a0be6c19e2c20d169c93d73f468be68414dcab67
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190910-54266c1-NIGHTLY		04861d63d840f334570dca7f260e37f77c262711
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190910-5687b18-NIGHTLY		bc4444d4bb447ff2551163979cf7fb25a565ed1d
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190911-fba8e4f-NIGHTLY		fbb87cdb5b8a6b48d7a30e7adbdeb2fed33da8ae
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190915-6f6d973-NIGHTLY		1d0597a31a1a19d07864f725c863474bcc5213d5
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190916-f89bd19-NIGHTLY		e3289dc6429212797e44df3ed1d610dd73c5b30b
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190917-d724f2b-NIGHTLY		e383b3a0af7b1183ad24c622649f2951b1becc23
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190917-d821081-NIGHTLY		7ae0cbab30bc89e89107f6f393bcbdc96c8d0074
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190917-dbeba79-NIGHTLY		843e9a87fcb8b9b8560aec9b93de6a4d2e31d201
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190917-ff52892-NIGHTLY		65ac65e5a924db0aa373ce737c485e6a27eeb4a4
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190918-16d507d-NIGHTLY		6bd88d6a332511abe3a577895fb012f505e8d26e
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190918-dd68eb8-NIGHTLY		61690c3167013c94cac003ab6395df9c30ba1d07
ch.epfl.lamp	dotty-language-server_0.19	0.19.0-bin-20190919-cf58794-NIGHTLY		9dd60672b8f49c5786cbb9c9fe27e5c0f92a815d
