cc.ddrpa.motto	motto-pdf-itext8	1.0.0		63de2f61d728d85015be6e08e046c692a654c775
ch.epfl.scala	collections-contrib_2.12	0.5.0		ca60acabd2f88bc17add0d7ca1213102a89fcfbe
ch.epfl.scala	collections-contrib_2.12	0.6.0		d328f479df383fbf90f5a094a5ed59f8b256ac25
ch.epfl.scala	collections-contrib_2.12	0.7.0		dd8c6c938c5b973da0edd207d855a1784368c27d
ch.epfl.scala	collections-contrib_2.12	0.8.0		0da20285f38b2394c50cec33b2788c831ba03f7c
ch.epfl.scala	collections-contrib_2.12	0.9.0		ea879021b7a5b0ca33662e065da1c74f57ba6e11
city.smartb.f2	f2-client-ktor-rsocket-js	0.10.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.11.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.12.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.13.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.14.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.15.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.16.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.2.1		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.2.2		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.2.3		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.2.4		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.3.1		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.4.1		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.5.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.6.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.7.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.8.0		N/A
city.smartb.f2	f2-client-ktor-rsocket-js	0.9.0		N/A
cn.iosd	simple-starter-gateway	2022.4.1.0		ee8f06a6de1592660fbc9c7969cd9e116bfa86bc
cn.iosd	simple-starter-gateway	2022.5.0.0		3d4dfbc106b65bc161ae298a376e5f169cfef1d7
cn.iosd	simple-starter-gateway	2023.4.1.0		dc2e3d6c0bc3c3cfe9f60468ebc3a3fa7e8933ea
