be.doeraene	scalajs-jquery_sjs1.0.0-M5_2.13.0-M4	0.9.4		2171fadc4bb37c986cd9425fd679692434b64eea
com.coxautodata	waimak-configuration_2.11	1.3		f768972874ebfe76dd45800a5841c460da9a144e
com.coxautodata	waimak-configuration_2.11	1.3.1		4d8de7848db970b4136bdd2482761b2562b10680
com.coxautodata	waimak-configuration_2.11	1.4		52f1566d293ab71100fe7404b18bf2ac2be3b021
com.coxautodata	waimak-configuration_2.11	1.4.1		64de9751bd44fafe14bc3aeadb397e406110a671
com.coxautodata	waimak-configuration_2.11	1.4.2		5dc2090d7f4476fc8db88249ef3e649d93df6681
com.coxautodata	waimak-configuration_2.11	1.4.3		80226cad52db4f9efa61f986e654fcb4ee396873
com.coxautodata	waimak-configuration_2.11	1.5		477432ed63eccdac543c131099eb1088d302f022
com.coxautodata	waimak-configuration_2.11	1.5.1		9b5d4b4e9411c96fb59375d3434a65ecd1cafb80
com.coxautodata	waimak-configuration_2.11	1.5.2		273731a7bbbb5164b50e2e47b386318d80531d85
com.coxautodata	waimak-configuration_2.11	2.0		d0d9ffdfecb6f7c7cb7e81ba4e0ec4351fce6943
com.coxautodata	waimak-configuration_2.11	2.1		56e392eb81b68012c80824a1b29459aabc13b7a2
com.coxautodata	waimak-configuration_2.11	2.1.1		bb9602300b7d873eb345f31f0cbb72704528bcb1
com.coxautodata	waimak-configuration_2.11	2.2		6357c0b7d30a6fbef6b0abe9c6a50fd0dfcc3e6e
com.coxautodata	waimak-configuration_2.11	2.3		85f095096dddf0ce9f19049d701069634fbf4c37
com.coxautodata	waimak-configuration_2.11	2.3.1		a142b2ddd150deed5170fd7ece8823f036662f63
com.coxautodata	waimak-configuration_2.11	2.4		34f370d7ef9168f81c3b8a771f8c1c8a009f426c
com.coxautodata	waimak-configuration_2.11	2.4.1		9c539d7a41451613242aff6e1f9c2c28a4bb7ed6
com.coxautodata	waimak-configuration_2.11	2.4.2		1a378197a7dc8142dca79c227b136b60d9ce34e1
com.coxautodata	waimak-configuration_2.11	2.5		8002837a4e080d9d55974f5bd1c2ef85aa7f20cf
com.coxautodata	waimak-configuration_2.11	2.6		84d9eeb175d81f0fc1696252542f5c5b7e723323
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0		811c44d2eefa3fa33b4a05a28649be68628eca5d
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0-adhoc.20240830.12942.0.v3e4e9451		e8ebd4da988238a8ccb6601cb5fdbd0a8dbf726c
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0-adhoc.20240926.12977.0.vf09a26b8		f26409c7fe4edf04c7c7acf6dce74a235509be7f
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0-adhoc.20240930.12985.0.v0bdf66d5		d97e9a8edf5cbef030755b0ef6d88f958ab02727
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0-adhoc.20241003.12993.0.va759f925		3f42f559dd52b48b17f6f400b0ff7cfd46a1a661
com.daml	test-common-carbonv1-tests-java-1.dev	2.10.0-adhoc.20241008.12997.0.v9ba70c83		3caa737cb72420180c791b379d44e8a22ceb109b
