be.doeraene	urldsl_3.0.0-RC2	0.4.0		4307e50e6281f0a7e6ba70dcfca7eb185e05fd9c
cn.structured	structure-redission-starter	1.0.1.RELEASE		29935e80f4cd80f6b75c08cce7f149b134f44e4f
com.alibaba.otter	connector.rocketmq	1.1.5		e8f83ebda99697ef9fbbdf36ad10e69d9752e3f7
com.alibaba.otter	connector.rocketmq	1.1.5	jar-with-dependencies	cd3d37aefefe7836e53f8304779ec38945ba1881
com.alibaba.otter	connector.rocketmq	1.1.6		7c4bef1e85aa50c55b77e94c87a764cd21e8dc81
com.alibaba.otter	connector.rocketmq	1.1.6	jar-with-dependencies	ba062d4894dc90dfba6d7ef0aa280ca74d61ef94
com.alibaba.otter	connector.rocketmq	1.1.7		c6907bad4a61eecaacec337ccbc624e1b5513be2
com.alibaba.otter	connector.rocketmq	1.1.7	jar-with-dependencies	50e13b18983849b435917c042eb03e711781882e
com.alibaba.otter	connector.rocketmq	1.1.8		6c9c0fb855d0db3a74731a0a36e3a4c763f1c766
com.alibaba.otter	connector.rocketmq	1.1.8	jar-with-dependencies	42f450fb0ec0ad4709ab41280d65359b9bef8e7d
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.13		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.14		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.4		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.5		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.6		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.7		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.5.8		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.0		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.1		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.10		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.11		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.12		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.13		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.14		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.15		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.16		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.17		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.18		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.19		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.2		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.3		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.4		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.5		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.6		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.7		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.8		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.6.9		N/A
com.anaptecs.jeaf.core	jeaf-core-api-project	1.8.0		N/A
com.boozallen.aissemble	extensions-data-delivery-spark	1.10.0		88b2e657f2562e870236c711bf641955d26c55e2
com.boozallen.aissemble	extensions-data-delivery-spark	1.10.0-rc2		22de73046c0e5e47baec86393fbe2a0a144b0290
com.boozallen.aissemble	extensions-data-delivery-spark	1.11.1		3162dcbda144c7e8103ea5a52c9dabc959902e01
com.boozallen.aissemble	extensions-data-delivery-spark	1.12.1		93e0a1a540c155917689b00513eed86750eac8c3
com.boozallen.aissemble	extensions-data-delivery-spark	1.12.1-rc2		9a7889e146df9eee9c6fe271b00e79feaa626d11
com.boozallen.aissemble	extensions-data-delivery-spark	1.7.0		1c95fe8258d2b0781929357af176085fc4a9ef70
com.boozallen.aissemble	extensions-data-delivery-spark	1.7.0-rc2		4b35c3329b6594fb1deb44a4955e21d571926138
com.boozallen.aissemble	extensions-data-delivery-spark	1.7.0-rc3		4e1dcff9e8199559d3dbb329a2cf711b47f72b5e
com.boozallen.aissemble	extensions-data-delivery-spark	1.7.0-rc4		d01541c9a86fe65e6f11ad4e8a6f4414846c8e12
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.0		0dcb19dd51e57e3168b0434950a0e9331e51c84c
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.0-rc6		cdf7870804cb47eab23f04aa928ffbcfbcab76e2
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.0-rc8		d4c39bd47dc2ae872f7df7806ffad63911bf1dac
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.1		5a61021e91d808158c2e16c9215908b3f6b0b462
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.1-rc2		0884ac5ebcfb0d798eaf4b36859a5ebea5494cd4
com.boozallen.aissemble	extensions-data-delivery-spark	1.8.2		c43a9ac6692ac3789a39eacf426fc0bd4d6e0c17
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.0-rc1		c1a208ca19f857572b4cf589938e0dbfa3fc85ea
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.0-rc2		7cb1e6125b70f2f481fa7e43c9342fd6364454d5
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.1		30cdc69da25d10b66a40633ca9503fea834e6b4c
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.2		5bf6f6a4f15427db42fd18d5f7a8578035104acb
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.3		8a95efbe487687b9589e01d607592770fb1acf18
com.boozallen.aissemble	extensions-data-delivery-spark	1.9.4		0a375b343998a232abb72da832e7a2d5018cc464
com.codenameone	fingerprint-scanner-common	1.0		2174e3675d7a895d2538f22f7afd2d5f653384fd
com.codenameone	fingerprint-scanner-common	1.0	cn1lib	921a13826517ba963f154790a4ff84fff2d78519
com.codenameone	fingerprint-scanner-common	1.1.0		46de2178fcd8dcbcb3bfe46d35179157959c643f
com.codenameone	fingerprint-scanner-common	1.1.0	cn1lib	53ca99c95d5fba7edbec9730695ea9625ca2f201
com.codenameone	fingerprint-scanner-common	1.1.1		141db7a73323f489528a8b2a1cbf4a1a57482e8f
com.codenameone	fingerprint-scanner-common	1.1.1	cn1lib	9b7857df9471cf144ca14c842e8fb2c50adf9bbf
com.codenameone	fingerprint-scanner-common	1.1.2		c69b5dd87a6b85291ed462dc30c3ff2cae781fc3
com.codenameone	fingerprint-scanner-common	1.1.2	cn1lib	c02ac0cd61641438a917d89e19899651439ba8f0
com.codenameone	fingerprint-scanner-common	1.1.3		9a56907e2661fd4e300d584689f137c5e8bc9c88
com.codenameone	fingerprint-scanner-common	1.1.3	cn1lib	a2272871cb6387c1179b6bb16899b15c803fd7af
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.10.0		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.11.0		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.12.0		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.13.0		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.8.1		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	5.9.0		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.1		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.2		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.3		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.4		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.7		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.8		N/A
com.ensody.reactivestate	reactivestate-core-linuxarm64	6.0.0-preview.9		N/A
com.eygraber	jsonpathkt-kotlinx	3.0.0		c5681c61c8ff945be049ba8464ef29aa9a2f1b12
com.eygraber	jsonpathkt-kotlinx	3.0.1		3169cad96d740fb55e5c32a73fc1ba048829c572
com.eygraber	jsonpathkt-kotlinx	3.0.2		2c060760378fac4b4afbb836c4c2f2a0e5778d69
com.farao-community.farao	farao-voltage-monitoring	4.1.4		46df106086f26a205dbe9d5a40f2ca72119f0561
com.farao-community.farao	farao-voltage-monitoring	4.2.0		3ff999f9a692ed42a48d0a7cdaf942af25a39a7d
com.farao-community.farao	farao-voltage-monitoring	4.2.2		5e6410ba33553a333b30f868a72fe834022ad7ce
com.farao-community.farao	farao-voltage-monitoring	4.2.3		e3fe844afd238d5325cc89072d3648b82c5e1061
com.farao-community.farao	farao-voltage-monitoring	4.2.4		67651ff30693c6354bbfaf95b536d9b8e8ecf02e
com.farao-community.farao	farao-voltage-monitoring	4.2.4.1		682d807d714c653612710a0592f0d68882f765ca
com.farao-community.farao	farao-voltage-monitoring	4.2.5		ae4216fc9999f68f3a8e43d518d606fed43bcf3f
com.farao-community.farao	farao-voltage-monitoring	4.2.6		a632d7d17400d3e7aa96f8edfcc8be529e2140c9
com.farao-community.farao	farao-voltage-monitoring	4.3.0		fd87762ceed85a1a87778eb1d3274e3134984201
com.farao-community.farao	farao-voltage-monitoring	4.4.0		6426d558ce60e70a4ea96c3a90ce3db3b13dda46
com.farao-community.farao	farao-voltage-monitoring	4.4.1		e12e33bb3966a4bf5dbc13fe50fbfbc6b44b15f6
com.farao-community.farao	farao-voltage-monitoring	4.5.0		a20e9767816c06e234ecd606c620d716e026d0af
com.farao-community.farao	farao-voltage-monitoring	4.5.1		e47b6dd7a8f76b93adaa059941dc8c9df3f90c4e
com.farao-community.farao	farao-voltage-monitoring	4.6.0		1a9551d54e8c600468653945bc9e3f7a7463cff3
com.farao-community.farao	farao-voltage-monitoring	4.6.1		6ff6a789e9b906a12f959982b45e24c6522e4483
com.farao-community.farao	farao-voltage-monitoring	4.6.2		cdd1471dc9a24f5e40c61b8d7579be0983e6dd1f
com.farao-community.farao	farao-voltage-monitoring	5.0.0		9903d92ad5c965e2697cdae2c7031330e5116bc8
com.fhs-opensource	mybatis-plus-annotation	4.0.0		41e736abfc5cbce3e69ff3be113bbde6f3076dc6
com.fhs-opensource	mybatis-plus-annotation	4.0.1		35876caf88203a20cdd063173e9737d8241435fd
com.fhs-opensource	mybatis-plus-annotation	4.0.2		992b26bc7890ba82b4244aed557f3f530821498d
com.fhs-opensource	mybatis-plus-annotation	4.0.3		1f578118e5951b72a53ece7f18716c7c23f1b35e
com.fhs-opensource	mybatis-plus-annotation	4.0.4		39675a2b82418fad07f2a0d5958432ac7a17ad2e
com.fhs-opensource	mybatis-plus-annotation	4.0.5		b0d133b949cc069c36ed7c7cf14aea08912854a3
com.fhs-opensource	mybatis-plus-annotation	4.0.6		a305753a8abc956995f0fdaf6c78791c9c7f2e1b
com.fhs-opensource	mybatis-plus-annotation	4.0.7		77c2febef5022c7e8a95828dbae64798385bfe11
com.fhs-opensource	mybatis-plus-annotation	4.0.8		c6ab431c43d44412d47cfdcea2762d3f3601123f
