at.asitplus.wallet	ehic-jvm	1.0.0		11df66ec0f3c715d6d6ed952fe50105b68bc6a4e
be.vlaanderen.informatievlaanderen.ldes.ldi	repository-sink	2.12.0		2eaf775bf343c855ffc027624c616f5c1074d8a1
city.smartb.iris	iris-ld-jsonld	0.1.0		a3a98d49c93260defa45a95741156fe9040059dc
city.smartb.iris	iris-ld-jsonld	0.3.0		d3af29da66fc51ef672894be257310764402ced1
city.smartb.iris	iris-ld-jsonld	0.3.1		6d7161888d123979b20e9dbb4c219e288477ff70
cloud.caroline	caroline-sdk-internal-jvm	0.0.1		fee789e75fe2248ac8d731ad27bd4072bde8b857
cn.lovecyy	relaxed-spring-boot-starter-fastexcel	1.6.0		ef95894fa7fcf800d821251c3ded85fbcd7146c6
co.touchlab.skie	kotlin-compiler-linker-plugin-kgp_2.1.20	0.10.2-preview.2.1.20		f06562f5253ce75ec733b3e4e6b776726e4f1e62
com.agoda.ninjato	client-okhttp	0.3.1		b3634e5d974f54d54ee4d29e9573819e50bde647
com.aliyun	alibabacloud-ots20160620	1.0.0		682a2681865d549b69a30c458d576de3017b88cc
com.aliyun	alibabacloud-ots20160620	1.0.1		dc5a225a511c41d7f0188524b43e981ea6a23c8f
com.customerglu.sdk	CustomerGluLibrary	0.0.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.10.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.10.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.10.0-beta2		N/A
com.datadoghq	dd-sdk-android-fresco	1.10.0-rc1		N/A
com.datadoghq	dd-sdk-android-fresco	1.11.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.11.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.11.0-rc1		N/A
com.datadoghq	dd-sdk-android-fresco	1.11.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.12.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.12.0-alpha1		N/A
com.datadoghq	dd-sdk-android-fresco	1.12.0-alpha2		N/A
com.datadoghq	dd-sdk-android-fresco	1.12.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.12.0-rc1		N/A
com.datadoghq	dd-sdk-android-fresco	1.13.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.13.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.13.0-no-nav		N/A
com.datadoghq	dd-sdk-android-fresco	1.13.0-rc1		N/A
com.datadoghq	dd-sdk-android-fresco	1.14.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.14.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.14.0-beta2		N/A
com.datadoghq	dd-sdk-android-fresco	1.14.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.15.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.16.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.16.0-beta1		N/A
com.datadoghq	dd-sdk-android-fresco	1.17.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.17.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.17.2		N/A
com.datadoghq	dd-sdk-android-fresco	1.18.0		N/A
com.datadoghq	dd-sdk-android-fresco	1.18.1		N/A
com.datadoghq	dd-sdk-android-fresco	1.19.0		N/A
