br.com.objectos	jabuticava-cmatic	1.0.0		6843503868e3d8e39a6a7543609b9e28a4e8c152
ch.admin.bag.covidcertificate	sdk-core	1.1.0-dev-3		e0b7d2c034e052413e0806397584ecea763abf67
ch.admin.bag.covidcertificate	sdk-core	1.1.1		b9d674e175da5152152d5e4957f4b45b7022927b
ch.admin.bag.covidcertificate	sdk-core	1.1.1-dev-1		ee2be612e48954b0e6c3ac2cf40f0f9554b27723
ch.admin.bag.covidcertificate	sdk-core	1.1.1-dev-2		61fb40623c996e6275c507422c7ff287db3a6b54
ch.admin.bag.covidcertificate	sdk-core	1.1.2		2a6371a905e6012b364b9ee76bbb600845994d11
ch.admin.bag.covidcertificate	sdk-core	1.1.2-dev-3		0b475312932ae211b0656e33b3457234318573ec
ch.admin.bag.covidcertificate	sdk-core	1.1.2-dev-4		25ae4dba2c479b728e8218470d5ce2be84616095
ch.admin.bag.covidcertificate	sdk-core	1.1.2-dev-5		4908ea5067dc88b44ea31072cae5d0b4017b57b0
ch.admin.bag.covidcertificate	sdk-core	1.1.2-dev-6		9060ec117f33235a329ff82fa60385bd065ea3f8
ch.admin.bag.covidcertificate	sdk-core	1.1.3		259b505d286a5375a9379efe6de2d85d46dd0ab1
ch.admin.bag.covidcertificate	sdk-core	1.1.3-dev-7		a1af082d8f7e1b14a5e7ec1958e6e5743b6dfe73
ch.admin.bag.covidcertificate	sdk-core	1.1.3-sero		bf6bb34008b3ab152ea0a9b33a3716838eae922a
ch.admin.bag.covidcertificate	sdk-core	1.1.4		df2ee90b47e97c65aa0948b0c95ed400178208a5
ch.admin.bag.covidcertificate	sdk-core	1.1.4-dev-8		a3c65e5a586605a181069e3a6752d80115e04ad7
ch.admin.bag.covidcertificate	sdk-core	2.0		3b9e64537a9670e8fcdd850bf4d4b8a2fe70b35c
ch.admin.bag.covidcertificate	sdk-core	2.0-dev-10		1660d5907118064b3ac6d8dea0a35b97fc44006e
ch.admin.bag.covidcertificate	sdk-core	2.0-dev-9		5faee954597293908847e13833f2cb676a774a3d
ch.admin.bag.covidcertificate	sdk-core	2.0.1		a8caeadbbd0e0361e5cb8fa185bda4a609b7315e
ch.admin.bag.covidcertificate	sdk-core	2.0.1-dev-11		b5e025873ba48e6da087130cf4f2d58bca3e0b76
ch.admin.bag.covidcertificate	sdk-core	2.0.2		98a13f0419b23080441d4e9c6182e83615887c25
ch.admin.bag.covidcertificate	sdk-core	2.0.2-dev-12		a27b885525f6652a4956f36c622e94f1fc9aa4ac
ch.admin.bag.covidcertificate	sdk-core	2.0.3		c72ae4a72513669d465f314b90d9b29ea84c065f
ch.admin.bag.covidcertificate	sdk-core	2.0.3-dev-13		a3c2346d26b9fd6222a32e62bd6ac4d2637e5bc6
ch.admin.bag.covidcertificate	sdk-core	2.0.3-dev-14		b4d5a82dd45987b999347a982980d846d5087b95
ch.admin.bag.covidcertificate	sdk-core	2.0.3-dev-15		0f80b4ebe5b24e9c9683513156fb29042e3b5a65
ch.admin.bag.covidcertificate	sdk-core	2.0.3-dev-16		7d66e27afdd8afb93b71c5a3c3fc130c582460ed
ch.admin.bag.covidcertificate	sdk-core	2.0.4		f93f767ce1a34a9dff63db4e8bb5b75e25c472d1
ch.admin.bag.covidcertificate	sdk-core	2.1.0		29eaf0c92fd39bcb2c3c6e8629dfc459d6ed82b4
ch.admin.bag.covidcertificate	sdk-core	2.1.0-dev-17		247a28e886b35edfd0596d06f484a9c0b98d67e7
ch.admin.bag.covidcertificate	sdk-core	2.1.0-dev-18		1ffbe41002807e0bc41b315e0c71f81e454d70bb
ch.admin.bag.covidcertificate	sdk-core	2.1.0-dev-19		72d3bb9b29bd1749562aad2581647364dc690a2f
ch.admin.bag.covidcertificate	sdk-core	3.0		35ffe472773f7b309718f3012c890f2eb02ec20b
ch.admin.bag.covidcertificate	sdk-core	3.0-dev-20		06025564a68fd176e4a6a4c444a6b5c6c55444e2
ch.admin.bag.covidcertificate	sdk-core	3.0-dev-21		2926a1c134d508a5ea63166223fa97736c4fddde
ch.admin.bag.covidcertificate	sdk-core	3.0-dev-22		f1baf2aad3649c678816f30c9bbe12314e6ae4e1
ch.admin.bag.covidcertificate	sdk-core	3.0.1		f7790b36ef05e431590e5031e36eba77c871d652
ch.admin.bag.covidcertificate	sdk-core	3.0.1-dev-23		18c38614ad39e01cefc34341f74a26ad68e0da5a
ch.admin.bag.covidcertificate	sdk-core	3.0.1-dev-24		66d5df429a13c7fddee0751bae43e40600bc643c
ch.admin.bag.covidcertificate	sdk-core	3.0.1-twogplus		b743e7096c269f95e4327710a55bd1191c7b6d6b
ch.admin.bag.covidcertificate	sdk-core	3.0.2		425e8664d94a7582c5b4df2d335be253666c077d
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-25		7066722cb63a15a583611f85309cc4250cb1f8f1
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-26		9152779220e540d3065629edc244418bd6036539
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-27		9ba4aa472d2df28b0cf5fb2e66121121db0fc91e
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-28		3adc95ae130033b3e2dc0810f4a942441cc9be5f
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-29		2df15622b92de7c78e6197a2f862c9b906231d20
ch.admin.bag.covidcertificate	sdk-core	3.0.2-dev-30		ab32a55eb894d2c84bec3aee67552c54796daa29
ch.admin.bag.covidcertificate	sdk-core	3.0.3		f0077afe6729ffe523f9aa2a8893783e11ebccc0
ch.admin.bag.covidcertificate	sdk-core	3.0.3-dev-31		822089e0eeb298bf9a5a5a6cab3785ecb841b178
ch.admin.bag.covidcertificate	sdk-core	3.0.3-dev-32		5a9f3aa7d42db7c14db75bc1d2b2c52578a9806a
ch.admin.bag.covidcertificate	sdk-core	3.0.3-dev-33		3b7ef2de136fe7c61ad52ad9ae08e3d27244b0ef
ch.admin.bag.covidcertificate	sdk-core	3.0.3-dev-35		7f80f178422a9c43eb87dcd8b306bba96a3966cf
ch.admin.bag.covidcertificate	sdk-core	3.0.3-dev-36		1223a3f7c4b20d2291e19f199160f41c7b0ca44f
ch.admin.bag.covidcertificate	sdk-core	3.0.4		8511e43e0d47c23359d1be7440d7fc891f00a73b
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-37		b9b247c99cf4da72c78a1819d5745b75b4dee13a
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-38		5c8a8c7d2294d9041fdfa68ed9e9e88424e66190
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-39		3e5a83e34edcb2fbeca7966eaa9bd3d28373040e
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-40		62ddb9cc074787cb88c7ba1872cca713b97a1159
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-41		2e5f3b7375b8c2e5cf49bb85e8d8384c56bc5ac8
ch.admin.bag.covidcertificate	sdk-core	3.0.4-dev-42		1274542c35e38b27f2ec6f7277d7f3709367a020
ch.admin.bag.covidcertificate	sdk-core	3.1.0		e482f8d9eec205a36ef3c2448be5b729754cc633
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-43		1b100e6e49a5b8e7de70ac9cd813cd8b56989dc1
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-44		e381ae67b92d74a46a68acedf5d3ebd341a226c2
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-45		87b026e96288147ef27a81a5e3502550847a163c
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-46		441f67d88edf64aaac19de412821fe03216acf9c
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-47		f4d6119e3456e1455e31b3446d8062dff4f7d82b
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-48		558e9aab663407a0d50a479066b1a22dcb10bed9
ch.admin.bag.covidcertificate	sdk-core	3.1.0-dev-49		b4285763e24e15337976e8c3b9456414d5a48efa
ch.admin.bag.covidcertificate	sdk-core	3.2.0		4949d773d8b23f1504b47daec64ebb380c8fcfda
ch.admin.bag.covidcertificate	sdk-core	3.2.0-dev-50		ae1c499d6fa714cd055d9e247738b30702d9c82d
ch.admin.bag.covidcertificate	sdk-core	3.2.0-dev-51		9ea8e47742e8e93dccfe9146ccc53153cb225849
ch.admin.bag.covidcertificate	sdk-core	3.2.0-dev-52		290dc7e518b27a3979c1d683343fc8d51fd0117e
ch.admin.bag.covidcertificate	sdk-core	3.2.1		b10fcad57326174a336524bd6db9cff6f30016b9
ch.admin.bag.covidcertificate	sdk-core	3.2.1-dev-53		7824920f0cd4ce2d1e57c3cd5182ede879de5039
ch.admin.bag.covidcertificate	sdk-core	3.3.0		368596de54e2a0e2ac779d2ff2d56426a277698b
ch.admin.bag.covidcertificate	sdk-core	3.3.0-dev-54		7c8392f97c00144588295d1a362813f766cada47
cn.itlym	shoulder-starter-auth-session	0.4		88036276a1e130b07333327a7e297c21101122e1
cn.itlym	shoulder-starter-auth-session	0.5		8e7cf90896b9a04b718c6fa0145bf589d494c50d
cn.itlym	shoulder-starter-auth-session	0.6		8107f95b3c1aa1642afe9bf18831185f141a6e82
cn.itlym	shoulder-starter-auth-session	0.7		59a03a1e5342390856d396113281394674aa61a7
cn.itlym	shoulder-starter-auth-session	0.7.1		84a183339caba67a5aee989b185bad07af6a2037
cn.itlym	shoulder-starter-auth-session	0.8		a69b7bedd8105a07eedceb1689f9cafe31521736
cn.itlym	shoulder-starter-auth-session	0.8.1		9cd69e7ea8c5e98e653702584ec0a4423614b51a
cn.itlym	shoulder-starter-auth-session	1.0.0		59821d9d47e6bc8c84cc08d34888191f560aeeb9
cn.itlym	shoulder-starter-auth-session	1.0.0-M1		d25455c5cceae36ef839519859f0aa515ebb1276
cn.itlym	shoulder-starter-auth-session	1.0.0-M1.1		4f8612aa7095acf57670ff90c04713e7c93dc96e
cn.itlym	shoulder-starter-auth-session	1.0.0-M1.2		a66bed04a216c3ee6bc3a7bb7c87935408e46b85
cn.itlym	shoulder-starter-auth-session	1.0.0-M2		c78d43c655428b8325028d8020d159d9844a8a7f
cn.itlym	shoulder-starter-auth-session	1.0.0-M2.1		ff845f2b11b6ec3e79f6eb5da56c7de18f681c3b
cn.itlym	shoulder-starter-auth-session	1.0.0-M2.2		eb79959cdcad8ba3ada5b1cf9998c6318c7eb3aa
cn.itlym	shoulder-starter-auth-session	1.0.0-M3		8f4a18192eff89e734d1a370622996a206e99bb7
cn.itlym	shoulder-starter-auth-session	1.0.0-M3.1		41307198b573db1f34e22b74bad251e479500641
cn.itlym	shoulder-starter-auth-session	1.0.0-M3.2		60d79b8b5257acb9072181b5035a14d3b3e921dd
cn.itlym	shoulder-starter-auth-session	1.0.0-M3.3		b7060347811f9aa0bb8b2f7d5b3c46f4d244d8ab
cn.itlym	shoulder-starter-auth-session	1.0.0-M4		31a1edd03f76eae73feb67e851dfc95fb9443b16
cn.itlym	shoulder-starter-auth-session	1.0.0-M4.1		dd7344880c43e374f7745d85eae30b2a625d88ea
cn.itlym	shoulder-starter-auth-session	1.1.0		d8055d92ee9864aaed9d91fb71ad9fbd12463350
cn.kicent	dependencies	1.0.0		N/A
cn.kicent	dependencies	1.0.1		N/A
cn.kicent	dependencies	1.0.2		N/A
com.aallam.ulid	ulid-kotlin-tvossimulatorarm64	1.2.1		N/A
com.aallam.ulid	ulid-kotlin-tvossimulatorarm64	1.2.1	metadata	c8f8270ef75ed757fc566be859faf8883537b431
com.aallam.ulid	ulid-kotlin-tvossimulatorarm64	1.3.0		N/A
com.aallam.ulid	ulid-kotlin-tvossimulatorarm64	1.3.0	metadata	6dae28c763545ec6490ed55796e947b8c623733e
com.alidaodao.app	alidaodao-app-cos	1.0.0		ce600e19221bba4ed6bbf28d6f3c2f4edf2d6471
com.alidaodao.app	alidaodao-app-cos	1.0.1		c12e12990b70fba11942e0c8cf2642b637f08c6d
com.amazonaws	aws-java-sdk-ivschat	1.12.207		26bcfbeb8c4ae66a598db9b5f2e4d401f9d940c8
com.amazonaws	aws-java-sdk-ivschat	1.12.208		dc1115664e6131deeb8774ea91a4371f5e276934
com.amazonaws	aws-java-sdk-ivschat	1.12.209		6b06b0d6c9dddef737b6051674fc2ad3fae4844b
com.amazonaws	aws-java-sdk-ivschat	1.12.210		9b9c7a154e3123422bd14436acac002b1f3c1efa
com.amazonaws	aws-java-sdk-ivschat	1.12.211		de3195e3922b06e9ad6ad90200b5e21f7ec1a662
com.amazonaws	aws-java-sdk-ivschat	1.12.212		99ec06ce52410bdacb2a9d6baad61de75fa1a143
com.amazonaws	aws-java-sdk-ivschat	1.12.213		77c918e64a350e51c2a14028800f46f9d251b4fe
com.amazonaws	aws-java-sdk-ivschat	1.12.214		e66bb528b28e9b68d7a3b6f448bf534fcf89c143
com.amazonaws	aws-java-sdk-ivschat	1.12.215		dec9ec94fb9a683e70a8d8a7f41e328470af67c4
com.amazonaws	aws-java-sdk-ivschat	1.12.216		bc43129b07b71107ad3d64c93a79e61292d69be2
com.amazonaws	aws-java-sdk-ivschat	1.12.217		748ed0753adde3ba8065752cda86554fbd40b612
com.amazonaws	aws-java-sdk-ivschat	1.12.218		746d48e68abfc9733c34c1d869a419477718fbbb
com.amazonaws	aws-java-sdk-ivschat	1.12.219		5ce314d6b5071804d5f93d540e46c1e4d9d8f519
com.amazonaws	aws-java-sdk-ivschat	1.12.220		d1d65f00b95e9d9f1386262290d2ce3539c92d33
com.amazonaws	aws-java-sdk-ivschat	1.12.221		cc2af98315b84a666d86ea228456be78304d05ea
com.amazonaws	aws-java-sdk-ivschat	1.12.222		c13141934ab86320bb956f70f401d588fe4670ef
com.amazonaws	aws-java-sdk-ivschat	1.12.223		f4bfed5250a45f666c9db0645ee41a2ec56ab184
com.amazonaws	aws-java-sdk-ivschat	1.12.224		e8e02dd5edeff99f039ba9d564d8a77fc009492f
com.amazonaws	aws-java-sdk-ivschat	1.12.225		c61cdbe83f3313a28e436c7042255dbe0cad7c06
com.amazonaws	aws-java-sdk-ivschat	1.12.226		f6ba82dd46cc8221deaf2457ccff5af659319eca
com.amazonaws	aws-java-sdk-ivschat	1.12.227		47c5b83ca8bd9ece8a1ee26e8e441af37b064bf6
com.amazonaws	aws-java-sdk-ivschat	1.12.228		d936fc21cc8b8704994a59319525081d1ab15364
com.amazonaws	aws-java-sdk-ivschat	1.12.229		333295bfa7a8cfd308d915927bc9433a164f4c16
com.amazonaws	aws-java-sdk-ivschat	1.12.230		72ee171728c263d465ed3e00c4e29034457fd860
com.amazonaws	aws-java-sdk-ivschat	1.12.231		c4474375c6d0a059df762c1c907eb75ba044d6d7
com.amazonaws	aws-java-sdk-ivschat	1.12.232		82134d87e7d94d94fb247f51475f60693472089a
com.amazonaws	aws-java-sdk-ivschat	1.12.233		14927c9c5b037e64a1e1c0a61ccc617f3acb89b8
com.amazonaws	aws-java-sdk-ivschat	1.12.234		cec8957eb8a83944d78275d9a80e2cc8275092ff
com.amazonaws	aws-java-sdk-ivschat	1.12.235		95dd710f7c17954a0e5e5b6dc621f9b5265672b1
com.amazonaws	aws-java-sdk-ivschat	1.12.236		a6fc499686693f914796993486269c24d8ced0e6
com.amazonaws	aws-java-sdk-ivschat	1.12.237		954690a43ed764f1dab9b5a5dc34ed044dd1537e
com.amazonaws	aws-java-sdk-ivschat	1.12.238		e76e33dd3aa87567c1e7d33edad9da176600c542
com.amazonaws	aws-java-sdk-ivschat	1.12.239		4128270ed09884bfe9607a6e98095a765fd24584
com.amazonaws	aws-java-sdk-ivschat	1.12.240		1f79c0d706e686533a3257849aebe4d8e83bdc4f
com.amazonaws	aws-java-sdk-ivschat	1.12.241		34ff88ac7e6f9d03f75a7a1525b98dd0cc456f21
com.amazonaws	aws-java-sdk-ivschat	1.12.242		ec5c2017de778062c019137993e14d17601ed060
com.amazonaws	aws-java-sdk-ivschat	1.12.243		877b05d085a1fbe794ca0a625a366a4ca15d1c9f
com.amazonaws	aws-java-sdk-ivschat	1.12.244		9cb4f8e21a0d4994867d8ac12e45a81cd94d43ab
com.amazonaws	aws-java-sdk-ivschat	1.12.245		47d8cd321c79e71e52c78148db87e19ba2be09ac
com.amazonaws	aws-java-sdk-ivschat	1.12.246		6db4f7e1d24f1a6c2e768ea6da5a857cde2b3a9f
com.amazonaws	aws-java-sdk-ivschat	1.12.247		9da44e7ecf0d684f430b60c10cc16c92a6afcc02
com.amazonaws	aws-java-sdk-ivschat	1.12.248		383c811c7845394f5d922c8136022b11b4bb5afa
com.amazonaws	aws-java-sdk-ivschat	1.12.249		e028b0328d94f3ad838d7c84fc1f1a0a4cd99cdf
com.amazonaws	aws-java-sdk-ivschat	1.12.250		adb259d56aa48c71f6fca717ea9fce140a78a493
com.amazonaws	aws-java-sdk-ivschat	1.12.251		5acaebd002cc7d1064f42c8d4464685b6ef24f7a
com.amazonaws	aws-java-sdk-ivschat	1.12.252		771e36cfd0ae23b825bc112ce2d57939d2d2cd4b
com.amazonaws	aws-java-sdk-ivschat	1.12.253		3c5db6a89911c82dad675933b4b4cf4084112f31
com.amazonaws	aws-java-sdk-ivschat	1.12.254		cac0893b9a82613f62fbcd0da166941f1f8eb5e4
com.amazonaws	aws-java-sdk-ivschat	1.12.255		21db1be5f5cf5014dc7d9215e0d74a39aee2d34e
com.amazonaws	aws-java-sdk-ivschat	1.12.256		980e90e626aeabe61ffd0422b9643f185eee1830
com.amazonaws	aws-java-sdk-ivschat	1.12.257		85b4fa2b1c0d53f876adc92b08ae62af2563be7f
com.amazonaws	aws-java-sdk-ivschat	1.12.258		92d169eff970c5f4cfc2c119e513e74507772ea4
com.amazonaws	aws-java-sdk-ivschat	1.12.259		7f9f199e82ee60ce5187477a207179148fa8fdc5
com.amazonaws	aws-java-sdk-ivschat	1.12.260		6add8270e57542bacf1171f49e62d2db74d87073
com.amazonaws	aws-java-sdk-ivschat	1.12.261		2c10a4adcb7c0c1cc0cfd292ed24ac4295a42b85
com.amazonaws	aws-java-sdk-ivschat	1.12.262		8cc0d65cd926ecbf1455f1d11c70a5652e921707
com.amazonaws	aws-java-sdk-ivschat	1.12.263		3b21bb29151a0d8698491b12bcb8660eb2bd99a7
com.amazonaws	aws-java-sdk-ivschat	1.12.264		f5f1447b6691771d1df82e9dad248be590937170
com.amazonaws	aws-java-sdk-ivschat	1.12.265		538d70d513e15f2949a77002d28343461d3a7699
com.amazonaws	aws-java-sdk-ivschat	1.12.266		54e359b99d5583537efc18ae97cc030fc472dfac
com.amazonaws	aws-java-sdk-ivschat	1.12.267		301b87a2fbbd3c5c2aa775bfd095a1ccc24e22c4
com.amazonaws	aws-java-sdk-ivschat	1.12.268		f96e2fe8584d8a9d2120c52fe7836b4d54f0a4b1
com.amazonaws	aws-java-sdk-ivschat	1.12.269		fb7b27bb23594e97bd5bde50f1bf47faee91d7e7
com.amazonaws	aws-java-sdk-ivschat	1.12.270		5d8713f1545a2c9700e93a58aa9a5523e06c642e
com.amazonaws	aws-java-sdk-ivschat	1.12.271		a15e4ebc7d56195bfb95631adb8cff037e565922
com.amazonaws	aws-java-sdk-ivschat	1.12.272		c3864a131e79c3e89654967d011acd78e59bb7c5
com.amazonaws	aws-java-sdk-ivschat	1.12.273		b54b462f27ad5d0b51e124f6cf175e9539e10417
com.amazonaws	aws-java-sdk-ivschat	1.12.274		f86356cc5d9331e254b3fd49378fd2f7502733ad
com.amazonaws	aws-java-sdk-ivschat	1.12.275		ad1bf35c85a3142d5f4217e4634abe83d3eb97b9
com.amazonaws	aws-java-sdk-ivschat	1.12.276		cced096edfc3583dc7a7fea1022c34a2e92495a0
com.amazonaws	aws-java-sdk-ivschat	1.12.277		0b5b43350c97495f268a7d81ed58203f494b29fc
com.amazonaws	aws-java-sdk-ivschat	1.12.278		646622a47bcfe3e899621cc8783363b9820c5329
com.amazonaws	aws-java-sdk-ivschat	1.12.279		c064e90cebfcd9ef2448dce911a216dc5f5c2805
com.amazonaws	aws-java-sdk-ivschat	1.12.280		fe3f704d2c0caf6ebbbe7d969214501a2722ba0f
com.amazonaws	aws-java-sdk-ivschat	1.12.281		136b21c2a4c7da5d919586b80d559cdd8d323f8c
com.amazonaws	aws-java-sdk-ivschat	1.12.282		494b59f046cceaa150767bf96675d5385c08f912
com.amazonaws	aws-java-sdk-ivschat	1.12.283		b2a22dc472ce105801df6452e6142d12da5bebe7
com.amazonaws	aws-java-sdk-ivschat	1.12.284		bf44b08a096b55c86554c97b601625ed62f4fe83
com.amazonaws	aws-java-sdk-ivschat	1.12.285		d79f5882de3cc53022d30eb505cef6f06770ab8c
com.amazonaws	aws-java-sdk-ivschat	1.12.286		9c8d18323e1b0cc40423ad5282271cf7442bfcd5
com.amazonaws	aws-java-sdk-ivschat	1.12.287		e670e27ae8a3bc4ceaa68df0577eac0260ad27e1
com.amazonaws	aws-java-sdk-ivschat	1.12.288		6eb298e4b04dfae9fc3723d415a74e65d3ee3d59
com.amazonaws	aws-java-sdk-ivschat	1.12.289		678771d99edcfa29dd83567eb28bd83cbeca1840
com.amazonaws	aws-java-sdk-ivschat	1.12.290		f4c7f11d800fcac3b9e23d643f06a5be55ff504f
com.amazonaws	aws-java-sdk-ivschat	1.12.291		e4f3be32fc05145a6e1bb154a649984612ae9a1a
com.amazonaws	aws-java-sdk-ivschat	1.12.292		0a09860dfd99c7f5e44e6a301d7b7badf736de5a
com.amazonaws	aws-java-sdk-ivschat	1.12.293		d877db33db93ce791364ad84a557908acf3523e5
com.amazonaws	aws-java-sdk-ivschat	1.12.294		6711d7b8cc18d5d2ef2cf3a084713e0cceff6fe5
com.amazonaws	aws-java-sdk-ivschat	1.12.295		1ca5b391670155694d83d2971de01388f6108cc5
com.amazonaws	aws-java-sdk-ivschat	1.12.296		4731693f74d3ce2a1be4127dcd2a6db7b78ff73c
