ai.yda-framework	openai-chat-generator-starter	0.1.0		22a5bbc3f62baf2d4bd0508d65f5c6848898902a
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.10.0		2b47f4a4f75ce23c11aa276fd0b9e046976f1750
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.11.0		2fc65fbb8cc2534bb75557807e6f5972a98f8a4f
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.12.0		bb43f04a1e675237865b2d3b0fe8ad47e2ba5def
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.13.0		ea2c9eaf50157a0d2ff1d0d9db6d2fe79eceb327
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.14.0		1c7b630ec35338fd6d45f1af455975fab19869d0
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.15.0		e89c7006def61879547c993b2eb2d102f925e5b4
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.16.0		6f27fed2dedf3d027edbb648dec392d1ab01d7d6
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.3.1		248da6256ca4c16a406bbfce09db16bb1abd7961
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.4.1		2b7778e6f7654824868ec7033fd27274e92968ca
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.5.0		205840b7b56fd5c93c98bb7dcce3a6ed7ce543d9
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.6.0		9d056cd92327a912e39b421d457aae4fd178f8da
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.7.0		2bda8cecd2ea3719f0e94e01b614e6350021e984
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.8.0		c08b259a1ad49fe59a678728b1058576f6c74f4f
city.smartb.ssm	ssm-chaincode-f2-client-jvm	0.9.0		38b88f1599f8b285845347b6e3da1f471f6b35c3
com.charlyghislain.authenticator	example-app	1.0.0		N/A
com.charlyghislain.authenticator	example-app	1.0.0	classes	2108e5e42c755be22e867004c30dbd31f002284c
com.charlyghislain.authenticator	example-app	1.0.1		N/A
com.charlyghislain.authenticator	example-app	1.0.1	classes	d787ffb913bce515ae1334ee72b36911b4a8ad4f
com.charlyghislain.authenticator	example-app	1.0.3		N/A
com.charlyghislain.authenticator	example-app	1.0.3	classes	d9e108f8efdb1100dd7f51d8d6d721b3ba5d0696
com.charlyghislain.authenticator	example-app	1.0.4		N/A
com.charlyghislain.authenticator	example-app	1.0.4	classes	215d87cbe9a99e0690fd79aa43eaec72021c8eb7
com.charlyghislain.authenticator	example-app	1.0.6		N/A
com.charlyghislain.authenticator	example-app	1.0.6	classes	c8c5cf7b253628081949c21f20e1b47be5967e75
com.charlyghislain.authenticator	example-app	1.0.7		N/A
com.charlyghislain.authenticator	example-app	1.0.7	classes	f7100fe1a414ce8030128bab6863839645f115b6
com.decathlon.vitamin.compose	quantity-pickers	0.2.0		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.2.0-alpha01		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.2.0-alpha02		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.0		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.0-beta01		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.0-beta02		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.0-beta03		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.0-beta04		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.1		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.3.2		N/A
com.decathlon.vitamin.compose	quantity-pickers	0.4.0-beta01		N/A
com.dimafeng	testcontainers-scala-localstack_2.13	0.35.0		fb3b07f71194aef637a67a08b95340864b3bdc85
com.dimafeng	testcontainers-scala-localstack_2.13	0.35.1		0dd2e768f92d9d029dff8430d9e16bf5a0e60ca8
com.dimafeng	testcontainers-scala-localstack_2.13	0.35.2		86ed682d9c883907886bd638f62744c57a67c4aa
com.dimafeng	testcontainers-scala-localstack_2.13	0.36.0		9af5c87d5fe6a12757ef6dba8705258c2a975fc2
com.dimafeng	testcontainers-scala-localstack_2.13	0.36.1		de544ae29eded35d6c1633f7332f62fe95826279
com.dimafeng	testcontainers-scala-localstack_2.13	0.37.0		64afc724ca00c3986791a4a161e30d377bfa08f2
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.0		1393e131658027e26815695235edc2d84d3f1f8a
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.1		d425bc688bf19d330601bd2094d90d766eccef77
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.3		add4cdc78e41ead57165db1f93daed3328c9c0e6
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.4		2447ca6c6d9288c4141ea2ed41e4b29a836558fd
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.5		7589ae7849b3369c7b642444ccaf94fbe87d6497
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.6		121126900e5f60732b10677a8c48d95ae248bbdb
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.7		4de58ea8547342b4bb6ed57125706f3aaba4ca99
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.8		178d3f39625c8d6ced0b1374e22b785231f1d4fc
com.dimafeng	testcontainers-scala-localstack_2.13	0.38.9		fcc53746453bcfb904522d1f0a87781c6ea2cdca
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.0		f2b21068843f05c7532d124653efaf62d1864c04
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.1		602123bc315a8867c1a692606e72e72f41651f7b
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.10		3379e87b04c3d7a235e686a8925b6e06bc4bec3b
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.11		7c7c5cf752709125ae5b3a9226bf1eb3f0a482cd
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.12		db34c98b80e3cb3f53c4a11487630177fca422db
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.2		49e810d306199b390733759880646c42be8c4fec
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.3		cb8394c8f1deef7db2da7777ec388f70b4ef8e05
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.4		288520888b3ecf38920ce4602f78efba1c4e6616
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.5		7fa1dca38c9d5ae8a0484ba244bf4c44db3f4e85
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.6		7ab388c5e5696fd4a9be75b303dc579023512795
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.7		0c925eac4f716c4de207d70d3a81103c5f0b7ebf
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.8		65df1fa68080dc706db95757a58197e120d84916
com.dimafeng	testcontainers-scala-localstack_2.13	0.39.9		fb15cb097034b655e7e30f30b287d8731fe22665
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.0		beb7eae61d642c83157514e881d3639ca7ceb649
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.1		6b38a96f5bff959729574ad01cdd910cda8b03e9
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.10		a0a614e79a919a3e0245f18b88c40c57e387a080
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.11		7eaa389ca90c0230a684844dbe998fac7bd7816d
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.12		d63334797b8e4bd1a84cd26425b0e27f46249e24
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.13		ca5c44e02bd2da1067f2328e060576d45848f00d
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.14		67e92ce67e7a719ac32502e09f688700971a906c
com.dimafeng	testcontainers-scala-localstack_2.13	0.40.15		4317a7cbad46992538307df892f05ecd7e0cf4ab
