be.atbash.ee.security	octopus-sso-client-common	0.6		02754cf8840a91a41e4482ea7ecc7ff17fc9dc9a
ch.exense	jmeter-plugin-local-handler	3.6.1		aee1f9c5a10e8cb530a626c9a0d99d7682bbd9f0
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0		N/A
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0	metadata	70dd03b4649d2ee4fe29b91e8b5166e6af934bd7
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0-rc.1		N/A
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0-rc.1	metadata	ca8c571762934e982d00a69d17bc832aa2268435
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0-rc.2		N/A
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.0-rc.2	metadata	c58ac118c0a24a74c6df37ac8e7c5a0d46b271e6
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.1		N/A
com.apollographql.apollo	apollo-mockserver-macosx64	4.0.1	metadata	5b5178162a67b68e6c3d3020879fd24a67c9d6b8
com.blazebit	blaze-query-connector	1.0.0-Alpha2		N/A
com.blazebit	blaze-query-connector	1.0.0.Alpha1		N/A
com.blazebit	blaze-query-connector	1.0.0.Alpha2		N/A
com.blazebit	blaze-query-connector	1.0.0.Alpha3		N/A
com.cosium.code	git-code-format-maven-plugin-parent	4.0		N/A
com.cosium.code	git-code-format-maven-plugin-parent	4.1		N/A
com.cosium.code	git-code-format-maven-plugin-parent	4.2		N/A
com.cosium.code	git-code-format-maven-plugin-parent	4.3		N/A
com.cosium.code	git-code-format-maven-plugin-parent	5.0		N/A
com.cosium.code	git-code-format-maven-plugin-parent	5.1		N/A
com.cosium.code	git-code-format-maven-plugin-parent	5.2		N/A
com.cosium.code	git-code-format-maven-plugin-parent	5.3		N/A
com.github.athi	athi-fx-gui	2.0.0		9df01370369eff1ef27e29f5242a07539e8a42f9
com.github.dbunit-rules	jpa	0.1		39fdfbbb96d7d2e7bef1b93b3ed749d219162a2e
com.github.dbunit-rules	jpa	0.2		ba68811c8356284a96b03b53cb58ab33e330332c
com.github.dbunit-rules	jpa	0.3		2b603bb5555c62017d251b42ca75756585cf3922
com.github.dbunit-rules	jpa	0.4		f24977b4f715ecc5fb95c5622ffc70b67bc08f71
com.github.dbunit-rules	jpa	0.4.1		afeb624f370fc93b01e4f71125c2400d4aba5a26
com.github.dbunit-rules	jpa	0.4.2		7145cdb151e7dfaf2abf05164f9d08341e2353e8
com.github.dbunit-rules	jpa	0.5.0		67cb4450019d546bb43040baae08ca250414c72e
com.github.dbunit-rules	jpa	0.5.1		31989db55dbf99dfc1ab0fa9c27df9a15054e1de
com.github.dbunit-rules	jpa	0.6.0		fa73ed3556e4f1e2f10bc663ba30e1dc1a16f4c9
com.github.dbunit-rules	jpa	0.6.1		fbe4ce582c5fb0679161e864661a93ea9df2a03b
com.github.dbunit-rules	jpa	0.7.0		dfd1ce22a6c6ebd729985704af539cfdf5da2065
com.github.hadasbro	javautils	1.0.1		555c073194c711827f97c054b359aaec7320ca53
com.github.hadasbro	javautils	1.0.1	onejar	65d338cad7cdd5cec36745037aed5fb614726eb2
com.github.nagyesta	cache-only	1.2.1		ddc62632dbc014842612d37016b5ecab2366f438
com.github.nagyesta	cache-only	1.3.0		b851c2d2af6db747a7cb71fbc095a36be79d78b0
com.github.nagyesta	cache-only	1.3.1		59fcf7dba37278f29991d570068e14f6d130e453
com.github.nagyesta	cache-only	1.3.15		7b306819f90277d4d835db7b525e83503c122582
com.github.nagyesta	cache-only	1.3.26		90762d958d00a80a51d07d31c7382c41c8ebc7b0
com.github.nagyesta	cache-only	1.3.28		f084d803251be384ad7e74a38f7977e3d2278252
com.github.nagyesta	cache-only	1.3.3		015002f081f3a8c68691676327673bc33ba06c79
com.github.nagyesta	cache-only	1.3.4		9c79b57e9d9af5e6dc37424690a6a042d9fcbdee
com.github.nagyesta	cache-only	1.3.5		cde95fb5797e786c37c21226efe006a89d8c2a91
com.github.nagyesta	cache-only	2.0.0		ac36d4589b77c0e6825798b06e57633f8e3c7bb1
com.github.nagyesta	cache-only	2.0.10		971612f5a7a0ed7aa6c1d108ce86d2b46f99efcf
com.github.nagyesta	cache-only	2.0.103		d0f128726c4b566ac7607799b505a5c6fa2e3a1f
com.github.nagyesta	cache-only	2.0.11		a112d86214f0550f40444d942fdf3479d1726473
com.github.nagyesta	cache-only	2.0.120		f5682564474e40089092e844ab8d103b48d57955
com.github.nagyesta	cache-only	2.0.13		ec43a9375c42397d78162f79142f4276fe2852a0
com.github.nagyesta	cache-only	2.0.135		3fb2be37e93266877987437c718adc128788f2a5
com.github.nagyesta	cache-only	2.0.143		d70c6e66edbfe2a9ae313725b7ff68b8795f9095
com.github.nagyesta	cache-only	2.0.151		4a92c2c9966717f2f3cf0d9d64d24d9066bd6f49
com.github.nagyesta	cache-only	2.0.158		7f13c952e0a4ecfcf5a6c29c416bc8d371d0867a
com.github.nagyesta	cache-only	2.0.17		87dbcd55432a65f0e4c4658e3d5d972ae4859590
com.github.nagyesta	cache-only	2.0.172		c07df4016a6239868ceb96cd263dcf88f91abeff
com.github.nagyesta	cache-only	2.0.173		a582b40935117bb4b761a9a373a6b73cddf87cec
com.github.nagyesta	cache-only	2.0.18		2745dfdef5c1c21dfaaffc735409ed9c54d80954
com.github.nagyesta	cache-only	2.0.187		12302af1394882ac64b4cf886fb595a7d4d3655a
com.github.nagyesta	cache-only	2.0.202		f8dc0ba77b33aceab5392f7ae5d20792c77b41b9
com.github.nagyesta	cache-only	2.0.212		7a1a0413860661b8ea2924eb02b974a9063b0f53
com.github.nagyesta	cache-only	2.0.22		7bf04c1579e7508814b484aea1bd845c9c4d0208
