al.bluecryst	bluecrystal.client.jaxws.jdk8	1.5.0		4d6950454a8006f9ead3d631a2beff9b4505a18b
co.luminositylabs.oss.ica	omega-sample	0.2.0		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.0		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.0	metadata	d1482f8f2f7e99fafb257025bd53febb41d8aa05
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.1		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.1	metadata	5366d22c59af604327a65e905ab0cb187547c36c
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.2-preview.2.1.20		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.10.2-preview.2.1.20	metadata	45435852a16595ef5e503f6151eefcb6da875bd9
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0	metadata	563497d611ba3b7a2c4b5ebf924c23d52f6dc06c
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.1		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.1	metadata	6814324eeb4316020fda989dce9c7d3fbae25783
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.3		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.3	metadata	21a965b276c9476b17fef226c06173814120cfe1
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.4		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.4	metadata	47ce277234dd3da5e73a57a04bb26532a87ce816
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.5		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.0-RC.5	metadata	4bcc4a52a72c6ad2afc726c41aec11a3735c19b6
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.1		N/A
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.1	metadata	61171297d22cee9b22cb1c174a700b03519d0282
co.touchlab.skie	configuration-annotations-1.8.20-macosx64	0.9.2		N/A
