com.adobe.aem	core-forms-print-components-print-dor-api	1.0.6		fbe6c065d352b2db613f010160f219cc100dffae
com.amazonaws	aws-android-sdk-transcribe	2.10.0		ac6d40eb83d8e1f7fce061b064970017d59c40f6
com.amazonaws	aws-android-sdk-transcribe	2.10.1		3b7335eb3bce47059da04d836ffdf0888bead74b
com.amazonaws	aws-android-sdk-transcribe	2.11.0		4358a9595fcc4f9a2c4f11834869abf8058d5fc0
com.amazonaws	aws-android-sdk-transcribe	2.11.1		edbaf8772f2217beebd9e404b809f68c8c41d9d7
com.amazonaws	aws-android-sdk-transcribe	2.12.0		e3b6347a58eececd1525b9d71a29f8bc4eeaed95
com.amazonaws	aws-android-sdk-transcribe	2.12.1		8966193343b90b83ec86cb8755d1603ee7757131
com.amazonaws	aws-android-sdk-transcribe	2.12.2		5da3b88bcf8e99649a7a93e1c2b0e097c1d0b771
com.amazonaws	aws-android-sdk-transcribe	2.12.3		85c80f28ea27a07fe07e703aa9db83340aca376b
com.amazonaws	aws-android-sdk-transcribe	2.12.4		9013a1b7f658e9797404933bdc8e28aa097e20d5
com.amazonaws	aws-android-sdk-transcribe	2.12.5		2dd6a184fdd86b19745f0dba821bc543573b94fb
com.amazonaws	aws-android-sdk-transcribe	2.12.6		29111a6c2aa11c4303cf37b8933890e14f2c98db
com.amazonaws	aws-android-sdk-transcribe	2.12.7		b3924e9ea40d5e349f3828320bdc4072503b53e2
com.amazonaws	aws-android-sdk-transcribe	2.13.0		5cd34154417ae9c50e1db9571bcb4b4815e508a6
com.amazonaws	aws-android-sdk-transcribe	2.13.1		18ed63b8fc6f3baeca800f8c6ab27c3e3bcd2c90
com.amazonaws	aws-android-sdk-transcribe	2.13.2		6b3a662a7653d7c6d6e5c92c62cd471897c8fd1c
com.amazonaws	aws-android-sdk-transcribe	2.13.3		11ce0d7ca7b75f50f8fd3512da26b08509175e6a
com.amazonaws	aws-android-sdk-transcribe	2.13.4		291e886d3076e7fb348c1822d6f2606cd9ffc606
com.amazonaws	aws-android-sdk-transcribe	2.13.5		65aa14f5ed4609bec2b49f04a8a29db6e7083711
com.amazonaws	aws-android-sdk-transcribe	2.13.6		65ec7d31dc03c5f1dff8d56046fdcee2dced2bf0
com.amazonaws	aws-android-sdk-transcribe	2.13.7		93c185ffd2f3115f03cce231a7a3cdafb4708bcc
com.amazonaws	aws-android-sdk-transcribe	2.14.0		5fbca63fdc4d9d755118cac34d445f5584bb3f0c
com.amazonaws	aws-android-sdk-transcribe	2.14.1		3e14cffde774c1e1511a5471c4467460daa9a123
com.amazonaws	aws-android-sdk-transcribe	2.14.2		eeb1c2415b2ac658e4c9df475a492679c39a4655
com.amazonaws	aws-android-sdk-transcribe	2.15.0		ea906a660162e61b9076391ada7be3565d1c02fa
com.amazonaws	aws-android-sdk-transcribe	2.15.1		977a878e76ae7166d86bd9b07004bc4d160ebdca
com.amazonaws	aws-android-sdk-transcribe	2.15.2		223235cc08bfc4555797ebb4caab84a2810c7532
com.amazonaws	aws-android-sdk-transcribe	2.16.0		7231cf8aa2758e320fe4ae02840808907b18eac1
com.amazonaws	aws-android-sdk-transcribe	2.16.1		5068bda60c2ac0d94f941711146dd636930e6c30
com.amazonaws	aws-android-sdk-transcribe	2.16.10		94eb8bd488e9bf6baac077177eaad389b723d9ac
com.amazonaws	aws-android-sdk-transcribe	2.16.11		1856d796409fb2114e8e73f6521557178f4574df
com.amazonaws	aws-android-sdk-transcribe	2.16.12		5c292b6f1994e2134d6d894a8f390addf4e4d8c4
com.amazonaws	aws-android-sdk-transcribe	2.16.13		4372f0bd58f420a1d8360610934e0bfb8dc93296
com.amazonaws	aws-android-sdk-transcribe	2.16.2		ecb1b3536f3b7f4cc3b3abd244cbd25ffb2b4452
com.amazonaws	aws-android-sdk-transcribe	2.16.3		77cc84282f33954a3e502f8ac23b200540075267
com.amazonaws	aws-android-sdk-transcribe	2.16.4		3286da72acb451d770af345771bb72d2f0499ac7
com.amazonaws	aws-android-sdk-transcribe	2.16.5		a1a94c8bd32f21ee195446f43ba50d9c54661149
com.amazonaws	aws-android-sdk-transcribe	2.16.6		7f47afe9ce55b3e73a6569adef32cab7611d419e
com.amazonaws	aws-android-sdk-transcribe	2.16.7		6ec4b2e6c33af39e5476249b9803da9230840177
com.amazonaws	aws-android-sdk-transcribe	2.16.8		e996cc5503b7b7f2233bdbd6761d7648a5a86264
com.amazonaws	aws-android-sdk-transcribe	2.16.9		5c47bfb2a9cca24c57b27b1d3610f5f3ebbc2757
com.amazonaws	aws-android-sdk-transcribe	2.17.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.17.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.18.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.19.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.19.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.19.2		N/A
com.amazonaws	aws-android-sdk-transcribe	2.19.3		N/A
com.amazonaws	aws-android-sdk-transcribe	2.19.4		N/A
com.amazonaws	aws-android-sdk-transcribe	2.20.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.20.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.21.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.2		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.3		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.4		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.5		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.6		N/A
com.amazonaws	aws-android-sdk-transcribe	2.22.7		N/A
com.amazonaws	aws-android-sdk-transcribe	2.23.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.24.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.25.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.26.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.27.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.28.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.29.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.30.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.31.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.32.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.33.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.34.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.35.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.36.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.37.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.37.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.38.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.39.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.40.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.41.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.41.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.42.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.43.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.44.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.45.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.46.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.47.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.48.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.48.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.49.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.50.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.50.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.51.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.52.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.52.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.53.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.54.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.55.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.56.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.57.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.58.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.59.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.59.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.6.19		4f3377e632a10fc8a98a6130042b6f40f93a30a9
com.amazonaws	aws-android-sdk-transcribe	2.6.20		5e0b62fb759bae8ac60308c51f18b6cd809be97b
com.amazonaws	aws-android-sdk-transcribe	2.6.21		9c64808c4e27a6a6f6a5e1b6c34485739ff415da
com.amazonaws	aws-android-sdk-transcribe	2.6.22		4ab6ac89cc918f06609aae5383c95f8faa574e24
com.amazonaws	aws-android-sdk-transcribe	2.6.23		a32021924295a4d9a0531a2af720666ad9f48808
com.amazonaws	aws-android-sdk-transcribe	2.6.24		1cb2b4c43586dfc410566bc2820a3076c272bd4f
com.amazonaws	aws-android-sdk-transcribe	2.6.25		cc026dd72b3b6456c48e552ced38ea8ff2ff62d8
com.amazonaws	aws-android-sdk-transcribe	2.6.26		066b11a9f1afb03342092349333635ec16eb1b38
com.amazonaws	aws-android-sdk-transcribe	2.6.27		2e4787e5b95cee389a3ec9a81dbfba6c313050f7
com.amazonaws	aws-android-sdk-transcribe	2.6.28		f28ccb0f061b5823b90b9e5a379e1966128294fb
com.amazonaws	aws-android-sdk-transcribe	2.6.29		05b85df74ff08b77251d1cd9485c9bb3b9d968d1
com.amazonaws	aws-android-sdk-transcribe	2.6.30		2ad20301ed3016f15be1bbd733b72fe60b4e6210
com.amazonaws	aws-android-sdk-transcribe	2.6.31		ae5e72b78036068e5f58d0fce60cf4e567642876
com.amazonaws	aws-android-sdk-transcribe	2.60.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.61.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.62.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.62.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.62.2		N/A
com.amazonaws	aws-android-sdk-transcribe	2.63.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.64.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.65.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.66.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.67.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.68.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.69.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.7.0		799b4bc1c400732aab636a39ae542f555066566b
com.amazonaws	aws-android-sdk-transcribe	2.7.1		413fab2b7dc1016f08631adeb18e4c31f521ec25
com.amazonaws	aws-android-sdk-transcribe	2.7.2		6a1a5b52df0fa8c4a42f1229f9c03d859b4f92e3
com.amazonaws	aws-android-sdk-transcribe	2.7.3		c1e762684e5bba6520c522ab75c93c87bee91ad4
com.amazonaws	aws-android-sdk-transcribe	2.7.4		a22d275a39dfa5bc38fb46a20f1fc39ba9eea0d3
com.amazonaws	aws-android-sdk-transcribe	2.7.5		bd88d729d4acdc972f4c13925eb40d5415ee1f0d
com.amazonaws	aws-android-sdk-transcribe	2.7.6		56ba0c5c2d9e765d431f51124661ac971f6d4abd
com.amazonaws	aws-android-sdk-transcribe	2.7.7		ebacac55ca0fd3a775d56034d064a333ee1bf700
com.amazonaws	aws-android-sdk-transcribe	2.70.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.71.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.72.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.73.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.74.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.75.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.75.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.75.2		N/A
com.amazonaws	aws-android-sdk-transcribe	2.76.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.76.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.77.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.77.1		N/A
com.amazonaws	aws-android-sdk-transcribe	2.78.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.79.0		N/A
com.amazonaws	aws-android-sdk-transcribe	2.8.0		17c531c4f3c8a30f45a46bb68dbd0a3c21ab947e
com.amazonaws	aws-android-sdk-transcribe	2.8.1		ac2fc91a1dca31a31ecf6f7839f299664ade9530
com.amazonaws	aws-android-sdk-transcribe	2.8.2		bcac5f6987fc3e70136d87b86fda169a19d095d0
com.amazonaws	aws-android-sdk-transcribe	2.8.3		155cfe8d87f49a4f90466bcc4ef7a7d6ee617b3e
com.amazonaws	aws-android-sdk-transcribe	2.8.4		8c439f8bab7b27bd7bce5986d003216994bc376a
com.amazonaws	aws-android-sdk-transcribe	2.8.5		0e825d8052d084b3095734625c358782d539b33f
com.amazonaws	aws-android-sdk-transcribe	2.9.0		95c54794845021510c55011b9d31542a2882325b
com.amazonaws	aws-android-sdk-transcribe	2.9.1		26d43f02085c9b3a7846800bccbb2674f5dc322a
com.amazonaws	aws-android-sdk-transcribe	2.9.2		3191f4a2d77e3c980b2978fc4613ce8ea8080000
