biz.littlej.jreqs	jreqs-beanvalidation	0.1.2		621989706b0ce0dc4bc706275bc96c1bf7a38023
cn.sliew	carp-module-application	0.0.10		N/A
cn.sliew	carp-module-application	0.0.11		N/A
cn.sliew	carp-module-application	0.0.12		N/A
cn.sliew	carp-module-application	0.0.13		N/A
cn.sliew	carp-module-application	0.0.14		N/A
cn.sliew	carp-module-application	0.0.3		N/A
cn.sliew	carp-module-application	0.0.4		N/A
cn.sliew	carp-module-application	0.0.5		N/A
cn.sliew	carp-module-application	0.0.6		N/A
cn.sliew	carp-module-application	0.0.7		N/A
cn.sliew	carp-module-application	0.0.8		N/A
cn.sliew	carp-module-application	0.0.9		N/A
cn.zhgliu	area-reptile-from-stats-gov-cn	1.0.0		aa9c6f8c80014e8fe9d9b05418ffe40d78ba65e2
cn.zhgliu	area-reptile-from-stats-gov-cn	1.0.1		6fa196a71ea05e65a99151f9b0f6ee33c1d07585
co.touchlab	sqliter-driver-watchossimulatorarm64	1.0.10		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.0.10	metadata	c8f438fe3c7ac1a21930ec0dc468d6748c884503
co.touchlab	sqliter-driver-watchossimulatorarm64	1.0.9		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.0.9	metadata	b06b01130bda97f6f07b4877e05998c333f17c58
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.0		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.0	metadata	afa0508298d6a915baf47f713cf856ccc770379c
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.1		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.1	metadata	65177ab833e25191169d0a3692e2941c16979458
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.2		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.1.2	metadata	9d947c2df8b38b91478c09dc40f55b739cbc54d6
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.0		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.0	metadata	0ebc0d49078d9f7090fd50784398f2149cdb8ee9
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.1		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.1	metadata	c1751d9289d81b0b83b53f8d856e74b90fafe88b
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.2		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.2	metadata	26c1bbc2721efb905333c7f3e20f3e3428e41c84
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.3		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.2.3	metadata	aab79e6d5eba86d8d703fe6ccd5921fb44162e47
co.touchlab	sqliter-driver-watchossimulatorarm64	1.3.1		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.3.1	metadata	054621e79cc6463daebad795fa68a3168ce076ff
co.touchlab	sqliter-driver-watchossimulatorarm64	1.3.3		N/A
co.touchlab	sqliter-driver-watchossimulatorarm64	1.3.3	metadata	9876793cb6c12ab41d4b8b90988e6fb3590f5fdd
com.att.ajsc	sdk-java-rest	6.2.0.4		b4c38d46deb75fd7d93b8ec80ae7f0d506485617
com.att.ajsc	sdk-java-rest	6.2.0.4-oss		0c0f4c95a103c9a546632f59acfd8210251493df
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.0		775542e3c176a2abc078e7b7d47e33b431050537
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.1		57d25fdb1933a80f6a403a97537a9bcfe003b269
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.2		e8aa4a61b4f9fc64f84f39b96cbad2356f9bfeb1
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.3		260ec1b833f146f293665f4f25ecabcda87c4a18
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.4		7e52c953f56f6e133bd456c767595b42b36714ca
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.5		9c45b93491b296ac31917c9c680e880038b6190d
com.chinanetcenter.wcs.sdk	wcs-java-sdk-v2	1.0.7		00a37ba62273a6fdbe559000555cccf6016181cc
com.contentgrid.configuration	contentgrid-configuration-api	0.1.0		55abc86b63a6f8defd51e4cc1b93d15b991d12a0
com.contentgrid.configuration	contentgrid-configuration-api	0.1.1		599537e211e0b87ab52ea1d32ce638c5ce8310c1
com.contentgrid.configuration	contentgrid-configuration-api	0.1.2		55c03ab7830008cdacb5aafbfbda5643ae9164e7
com.dbvis	mongo-jdbc-standalone	1.12		N/A
com.dbvis	mongo-jdbc-standalone	1.12	jar	5e96a989d9aee6fceb719cd7f960ebaaffcc1a62
com.dbvis	mongo-jdbc-standalone	1.13		135ae6888158cfb742249b96b4788294abbb86a9
com.dbvis	mongo-jdbc-standalone	1.19		5f67d52585ff6626d11eab184f704f78d2904103
com.disneystreaming.smithy	aws-auditmanager-spec	2023.02.09		79e018563bb5a251b8d21d76345b45b9f744a2a9
com.disneystreaming.smithy	aws-auditmanager-spec	2023.02.10		2b3ff56003433dfbdd8a352411a2c4ae22861b97
com.disneystreaming.smithy	aws-auditmanager-spec	2023.09.22		4c9002b7f3cc355d2518f89dab123d73737f0e96
com.disneystreaming.smithy	aws-auditmanager-spec	2023.14.24		b8960fb4089924c8229a0d26ca739779b92bf1e2
com.disneystreaming.smithy	aws-auditmanager-spec	2023.22.04		10317d9ed63b21161b488073b6312aa8001753af
com.disneystreaming.smithy	aws-auditmanager-spec	2023.22.13		fdb268fd3921cf2b9f2cb096b071c048225ce90f
com.disneystreaming.smithy	aws-auditmanager-spec	2023.23.06		289591ac68de9b94d272ced44fe7c57031c4217f
com.disneystreaming.smithy	aws-auditmanager-spec	2023.23.30		0cf54a0f326a9fe3b1618a47473289310b6ea6a2
com.disneystreaming.smithy	aws-auditmanager-spec	2025.03.31		0d20db6af1c78a445b27095d0ec9922470d1da4a
