ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.beachape.metascraper	metascraper_2.10	0.0.1		ed6e966501a247dc1cafd1de56cdbb48098b25a2
com.beachape.metascraper	metascraper_2.10	0.0.2		e332465f5e2d38f61218fc3043274a206ed3ac3c
com.beachape.metascraper	metascraper_2.10	0.0.3		fe406eaa68214b6dce7ed9715f5e1ba1fb154945
com.beachape.metascraper	metascraper_2.10	0.0.4		7123da2810846445f97e3b94aea37a29a19c1200
com.beachape.metascraper	metascraper_2.10	0.0.5		74ca94fedf63fbb01b9d38524a936ff09572efbd
com.beachape.metascraper	metascraper_2.10	0.0.6		369f0b4d9d1142b3b844a398763cef638dfbd871
com.beachape.metascraper	metascraper_2.10	0.0.7		0cb4660191598435e3b90a3e03dc47cdaf814607
com.beachape.metascraper	metascraper_2.10	0.0.9		5a186912f4f86561222ad123540d519131887622
com.beachape.metascraper	metascraper_2.10	0.1.0		f82e8e86f4a40270b7ab24736af63207eeea0472
com.beachape.metascraper	metascraper_2.10	0.1.1		7580e8e0184088720b49868e2a2a27b0bcbb4668
com.beachape.metascraper	metascraper_2.10	0.1.6		25d0f1c35e808e6f0eb467fa6c4f9dd21873a977
com.beachape.metascraper	metascraper_2.10	0.2.0		a9ad1b137d17a5a13ecdf8fb8b303218afc5e0d8
com.beachape.metascraper	metascraper_2.10	0.2.1		6144ce468d193af8b42e48acccec42b4d84a2909
com.beachape.metascraper	metascraper_2.10	0.2.2		6221595385cbb3db865630fda3faaa7653d6e51a
com.beachape.metascraper	metascraper_2.10	0.2.3		77491fb59cac05635827bb7ee4b96879da3c4d7a
com.beachape.metascraper	metascraper_2.10	0.2.4		16866d62801de13ac88cf191c62dceab3cd2bca7
com.beachape.metascraper	metascraper_2.10	0.2.5		579868aa23d0819ec858d28feb28685e2dee7477
com.beachape.metascraper	metascraper_2.10	0.2.6		fd639127b2b4d2b0da1a5042bbf6116224822f3f
com.beachape.metascraper	metascraper_2.10	0.2.7		1de2de9607496c92ef3a1a7bc49f85ff05629572
com.beachape.metascraper	metascraper_2.10	0.2.8		435fcc7e2db48c568d5181f037f292702c88d184
com.beachape.metascraper	metascraper_2.10	0.2.9		3c9a60cba55b91515a6319ea8e5353f77e007d8d
