cn.hejinyo.nacos	nacos-consistency	2.0.1		4cdae2e3e71914865a2600d0209ca0ff6a66348a
cn.kicent	kicent-framework-starter-mybatis	1.0.1		c3f85412cfac5d1270628b12d861ee53a7424c30
cn.kicent	kicent-framework-starter-mybatis	1.0.2		89dabd01d84712a8b475ce7326ef6d7fea09d1a0
com.arpnetworking.metrics.extras	jvm-extra	0.10.0		6c127880061d5c7e12ffdbe85d0d9d16515c0895
com.arpnetworking.metrics.extras	jvm-extra	0.10.1		6cdf634a39a9867650ff7bdd6893106b83ffcad2
com.arpnetworking.metrics.extras	jvm-extra	0.11.0		ccb8b5d54b452f88c3297e9cc06a39b483d626b7
com.arpnetworking.metrics.extras	jvm-extra	0.11.2		481469a8a9c64710e943aaeed7efa7b1fee63617
com.arpnetworking.metrics.extras	jvm-extra	0.12.1		2340a3d319b27924448be15bb9bb16a5b0a6666a
com.arpnetworking.metrics.extras	jvm-extra	0.13.0		3750516f66bbfa2f54b54b93dc59c6745597c17d
com.arpnetworking.metrics.extras	jvm-extra	0.13.1		524d12a95bf9f5421210932f846951470a52fa76
com.arpnetworking.metrics.extras	jvm-extra	0.3.5		202658d35c81c570179c5125fff3a8e462438563
com.arpnetworking.metrics.extras	jvm-extra	0.4.0		c1882a66040e4a422baf79773447275aa09b2c55
com.arpnetworking.metrics.extras	jvm-extra	0.4.1		272928be2da161a9ec480f32a52dca573a15ed8e
com.arpnetworking.metrics.extras	jvm-extra	0.4.2		53bb76ff8a36e722fffd7bb59fd6f5ca075deacd
com.arpnetworking.metrics.extras	jvm-extra	0.7.0		8d8eb297b67af32eacbdc62b81fc33562c973b4d
com.arpnetworking.metrics.extras	jvm-extra	0.9.0		877081ed652b4d69e4643c415edc621acccba242
com.broeskamp.monorepo.gradle.plugin.vue-app	com.broeskamp.monorepo.gradle.plugin.vue-app.gradle.plugin	0.0.1		N/A
com.broeskamp.monorepo.gradle.plugin.vue-app	com.broeskamp.monorepo.gradle.plugin.vue-app.gradle.plugin	0.0.2		N/A
com.broeskamp.monorepo.gradle.plugin.vue-app	com.broeskamp.monorepo.gradle.plugin.vue-app.gradle.plugin	0.2.1		N/A
com.codemettle.jsactor	jsactor-bridge-shared-scalapb-model_sjs0.6_2.11	0.7.1		8f29d63ebc1c4d0bd381d810c2c0db25f6207c3a
com.codemettle.jsactor	jsactor-bridge-shared-scalapb-model_sjs0.6_2.11	0.7.2		6cf95dd47b2845b5467670c0031de39558cb3867
com.codemettle.jsactor	jsactor-bridge-shared-scalapb-model_sjs0.6_2.11	0.8.0		294867324c9a76db9dc2b623ef4b2d67a92dc8ba
com.codenameone	filechooser-common	1.0		7d1d9e679d555b815e1a2bd84a11661459e81591
com.codenameone	filechooser-common	1.0	cn1lib	fa630e54bfa71a19b51e30f2fc772c02ee9fe661
com.codenameone	filechooser-common	2.0.0		b027458d139e1bf5bea913fec4af565ca8817879
com.codenameone	filechooser-common	2.0.0	cn1lib	876dff6a2c7ef350822b2680ab393941a1b34f54
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.02.09		1699e722c2679691e755d07275fc0d56232ef989
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.02.10		9cd980d7d4d060290bec2f025bc316329330d8c1
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.09.22		2b155a9b8652f5560329d3a3c6871aa39fda042e
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.14.24		ec2c344260f862b780da6e2fcd3d41353fa33095
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.22.04		ce0ad1f91ac464122798e05e898a1655e2058b6d
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.22.13		cc9d0b8da4b9a5533be2a151a848abf44ffffb5e
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.23.06		28b320d685da8064272b6b37ab41e03de08b6b3c
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2023.23.30		490c4301b4e4e8e451caba831cb0c170e62c47a1
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2025.03.31		a3c11993b083ff714e1734a057792c4592809c0a
com.disneystreaming.smithy	aws-migrationhuborchestrator-spec	2025.04.08		f86e1f6875983937e066402db25e1b71026c5d14
com.garyclayburg	upbanner	3.0.0		N/A
com.gitee.hljdrl	utils	2.0.0		N/A
com.gitee.hljdrl	utils	2.0.1		N/A
com.gitee.hljdrl	utils	2.0.2		N/A
com.gitee.hljdrl	utils	2.0.3		N/A
com.github.dingey	common-spring-boot-starter	0.0.1		66926ab9f7a0ef927d7b1dee32656174d8177f80
com.github.dingey	common-spring-boot-starter	0.0.2		beefbc23d9c8d73418f1d717711dabef1a45f02b
com.github.dingey	common-spring-boot-starter	0.0.3		419fca0612ea7c53b044a399a340d8b6365d09c5
com.github.dingey	common-spring-boot-starter	0.0.4		5394b86ae6618d19b76f00db0eb1ab043ab53b50
com.github.dingey	common-spring-boot-starter	0.0.5		eba0c98e396c69e13b865b5651ffb12819867a4d
com.github.fs2-blobstore	gcs_2.13	0.6.1		03966805573563b07f3d68a57fb3d8354491c735
com.github.fs2-blobstore	gcs_2.13	0.6.1-b33		aabd9a30d7f8ae6c02223eda431c5c92f519d824
com.github.fs2-blobstore	gcs_2.13	0.6.2		5932684658a814cfb5c6cd0c47d5fa6e09f0872e
com.github.fs2-blobstore	gcs_2.13	0.7.0		a8f792c267a6d2701cb5be7400f89a8f66b5ccac
com.github.fs2-blobstore	gcs_2.13	0.7.2		804224474b750ab0c4a15bfafa78e3366903e253
com.github.fs2-blobstore	gcs_2.13	0.7.3		5d0e3743eb0070805d1696a2abf1cd0c87909bb1
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta1		916c37e2e3d15134222468e1d32e28628266836f
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta2		4ae398fbc872a55400659f3533e7a6457c3e4585
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta3		c506b0670d21ef9e613e6b41ca91cad978a4637a
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta4		6a6159ed6f68f209cf4f86000d86f919b39f8979
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta5		6cc390cda5ab2e05aa7201b9529799f5d0cdaf22
com.github.fs2-blobstore	gcs_2.13	0.8.0-beta6		460e97b5f2b257c1205e3b641a1ba9a02e89b067
com.github.fs2-blobstore	gcs_2.13	0.8.1		db5111b988513d23d2f2ca7c3997b29e6da8db92
com.github.fs2-blobstore	gcs_2.13	0.8.10		b62b737c0ad385f14cd649ddd52235eaa2baa54f
com.github.fs2-blobstore	gcs_2.13	0.8.11		78f7141f8a004fa956159720b743d179f419cdbc
com.github.fs2-blobstore	gcs_2.13	0.8.2		8ef2e7ce8ee308e3febae92b23335763bc74dc74
com.github.fs2-blobstore	gcs_2.13	0.8.3		1e312cf842504054624ad03cee50bcfddf3caf99
com.github.fs2-blobstore	gcs_2.13	0.8.4		fa92191e471e33571329f6e715f355b9c1fc81c8
