ai.yda-framework	rag-starter	0.1.0		7692e90089b21dc6b8f88a35a988c55aca2910c1
cn.herodotus.stirrup	web-module-api	3.3.0.0		bc3c1fe2adf3886570719cb65a08e0d81f357b6c
cn.herodotus.stirrup	web-module-api	3.3.0.1		c6c1e1f60c5b857d9ccc2b73e61a3a5deb67c426
com.alialbaali.kamel	kamel-core-android	0.0.6		N/A
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.6.10		3f3b7495cbf509888d01dccb1b8ceeb0322c7a33
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.6.9		c565c94aa7905067672b3df45d424a607d712b82
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.1		666d6581764932c4d90d4ea257d77541a4077da4
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.1-SNAPSHOT-3c76893		cb7909ebf85d337bc0558c5b6203788b475d7406
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.1-SNAPSHOT-4670905		558f8bfe2b9c469b8499705127338ca9087e0426
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.1-SNAPSHOT-8da4484		87275ddd405e1087fad0c0dad912c87248f566f9
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.10		6105c6ae1ecae2c10997f6c1b459f7ec0be491a2
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.11		a642baf917ed80fe202edab44697b62b5584b1bd
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.2-SNAPSHOT-86382c9		f4d2b244a4907456cce6a45f10829412857c3d63
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.3		9a239c9b02dd1ff85a0449fb23adcde6a3a01149
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.4		2269ed8d4ddfb8b81ce60676229b3f54f3a89f4f
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.4-SNAPSHOT-35e64fa		65aa1118796719da34d3041c244c7ea31304c28d
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.8		ff8bd99a354ed49f0cf24e36e4057eb34516a188
com.ascentstream.pulsar	pulsar-transaction-coordinator	2.10.7.9		5294fe9ddff9055901d41088d6f90ade989f07df
com.ascentstream.pulsar	pulsar-transaction-coordinator	3.0.10.0		e4cc255e4d2b3e904c21acf2cff300835e44954d
com.ascentstream.pulsar	pulsar-transaction-coordinator	3.0.11.0		41b2fd24b8596de25b8c92ed88b2182d7d56a228
com.ascentstream.pulsar	pulsar-transaction-coordinator	3.0.7.0-SNAPSHOT-a030c50		def5e8007cf0b37e243cd7a36cfbe7c3390025d7
com.ascentstream.pulsar	pulsar-transaction-coordinator	3.0.8.0-SNAPSHOT-16a7bcc		ef473a3aa330ff0fe90038d5bca847550c1746ee
com.audienceproject	spark-dynamodb_2.11	0.1.0		21a76de18aaec63e442062c2eab644187962ddd2
com.audienceproject	spark-dynamodb_2.11	0.1.1		8cee0a3c1b44fa3d7e645ccfc65eb3eb8dd6beab
com.audienceproject	spark-dynamodb_2.11	0.1.2		6093aefa72abfdb94790a35b7fcfa43c792a44ce
com.audienceproject	spark-dynamodb_2.11	0.1.3		2efa258250e54641c9185672ed218630ad69fdd8
com.audienceproject	spark-dynamodb_2.11	0.2.0		5e2298169da653438509236dc5caf11e69cc6f12
com.audienceproject	spark-dynamodb_2.11	0.2.1		491411c5bead2d3370535cb52a29daa1e7de0be8
com.audienceproject	spark-dynamodb_2.11	0.2.2		c8ff9b9459bddfba6c5550d6f45d4b9baff501c8
com.audienceproject	spark-dynamodb_2.11	0.3.0		381937275bc08e215424dc75b11c9dc0a89d8056
com.audienceproject	spark-dynamodb_2.11	0.3.1		0854f83fbf7791e4adecc01903408e5178efe044
com.audienceproject	spark-dynamodb_2.11	0.3.2		a42f606e85e514cd196e44211831169511d8b5a2
com.audienceproject	spark-dynamodb_2.11	0.3.3		1b1276c893e2b957e940204c65f261b33b19b11e
com.audienceproject	spark-dynamodb_2.11	0.3.4		85caa65d66875fc6d09a6630cde1beb83bdf736e
com.audienceproject	spark-dynamodb_2.11	0.3.5		4fac281ad5190c9f68823863fbb154cd7690f59e
com.audienceproject	spark-dynamodb_2.11	0.3.6		21c203900239ec8464552fec5a8d5afd4d707ba5
com.audienceproject	spark-dynamodb_2.11	0.4.0		8fa84d8c6c6a865a4793b191d7e55759be669566
com.audienceproject	spark-dynamodb_2.11	0.4.1		1effae2a74b0fe8fd7347af740a8aad4ab9b28e1
com.audienceproject	spark-dynamodb_2.11	0.4.3		7c3b04f8c5835aee717215fc68fd1e139bfb8901
com.audienceproject	spark-dynamodb_2.11	0.4.4		3d0ede9419aabea4b970a55920dda9714adc989f
com.audienceproject	spark-dynamodb_2.11	1.0.0		85046316129729f4cc4ec93c392f39ab78d3415f
com.audienceproject	spark-dynamodb_2.11	1.0.1		6e70cb46dd739112c61a9271d10e490cd038ed3f
com.audienceproject	spark-dynamodb_2.11	1.0.2		0b4c950396ef86fe48e2ef08e738c13e14ee2e2a
com.audienceproject	spark-dynamodb_2.11	1.0.3		1f6b67da8c664af7c1925a1c0d4ca3b0658a53bb
com.audienceproject	spark-dynamodb_2.11	1.0.4		1480b1407fa8110d51ebe9d7733bb018ee50b85a
com.comcast	ip4s-cats_sjs0.6_2.13	1.2.1		3d02a87b02a905619d56d5b249ccedbb90195b55
com.comcast	ip4s-cats_sjs0.6_2.13	1.3.0		32fa47da8d8b44782c62fd3bc4f5d0f817c575e0
com.daml	sandbox-on-x-app_2.12	1.12.0		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.12.0-snapshot.20210330.6619.0.007b8674		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.12.0-snapshot.20210330.6622.0.eef158d6		1407fba77a1be8129da5597dc5a55917250bcbb8
com.daml	sandbox-on-x-app_2.12	1.12.0-snapshot.20210331.6626.0.29a68134		1407fba77a1be8129da5597dc5a55917250bcbb8
