cloud.altemista.fwk.framework	cloud-altemistafwk-bom-tsf-custom	3.1.0.RELEASE		N/A
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.0		8cd913daa154f65d0e8af7bb5ddc0477c02de5b4
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.1		e0c360245d30b8ed3f339b7c570f7d818682d3e3
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.2		755f9eb26eaf12526558ee8602c281612bff775a
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.3		aebf0c7d78daa987e1c71b70c3744f56a6ffd2c6
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.4		871328591c2c307f1db1d0fc6eb840c47d5693e1
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.6		40d56518deb0cdcddfd31e86f28716487fd55b8a
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.7		2d77b9e6ab1ef0edf877e67748e339c18b2b0d5d
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.8		b9450e65a5b9fe32ae9410d58d4fe9acfe8314b0
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.0.9		cd1a51f6bc7a34008eb4c38b0b7e03bfc371b397
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.0		7dd861f5efcf7584805896122331b4e333431597
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.1		b8f002485ca05fced400919a038aa630d7635657
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.2		77fffd92ba882646ce86294f0c82541c493eb3b4
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.3		399f6c4f21484d95ef60016943bf32e26eac4f7d
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.4		02d3110f3c8538d315b24ed56458269bc9e851eb
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.5		d1c8d62f01b942559aa7427aa620c246db248b30
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.6		8b863c85724523898881a15e18461308d5e1998f
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.7		d6beb53a17d8a6aafa5482bb26966f565fc93c60
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.8		9a5b33bccadb0253dd5b86db06fe2f91ec907ce0
cn.fox-tech	fox-edge-server-protocol-omron-fins-core	1.1.9		abb85f4ea615ab8677c8ff5e520e7e05313f8e63
