cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
cloud.oneentry	sdk-storage-tvosx64	1.1.1		N/A
cloud.oneentry	sdk-storage-tvosx64	1.1.1	metadata	f636813e21107fe0087ac5774ac6413f862961d9
cloud.oneentry	sdk-storage-tvosx64	1.2.0		N/A
cloud.oneentry	sdk-storage-tvosx64	1.2.0	metadata	423c0de360dbad44820eec037d3de5cb65979ba6
cloud.oneentry	sdk-storage-tvosx64	1.2.2		N/A
cloud.oneentry	sdk-storage-tvosx64	1.2.2	metadata	c507caf4acc37432bfe60bc8ab0c9ca7541097f7
cloud.oneentry	sdk-storage-tvosx64	1.2.4		N/A
cloud.oneentry	sdk-storage-tvosx64	1.2.4	metadata	388cea9fb0813644ed0d89f648fe40d209f072ed
cloud.oneentry	sdk-storage-tvosx64	1.2.5		N/A
cloud.oneentry	sdk-storage-tvosx64	1.2.5	metadata	13ecc01f6b947b62dc652c8d29245822fedd3fb4
cloud.oneentry	sdk-storage-tvosx64	1.2.6		N/A
cloud.oneentry	sdk-storage-tvosx64	1.2.6	metadata	415a578d496700297bf3f524defa641611e1839d
co.cask.cdap	cdap-app-archetype	2.5.0		e4a9f03ba67443d67425834e9d6c88eca455c900
co.cask.cdap	cdap-app-archetype	2.5.1		63ce76424a32b39c8f81bef17f8206341c5210bb
co.cask.cdap	cdap-app-archetype	2.5.2		5caf044af8ee89aa248f57b54816e8977a8e854f
co.cask.cdap	cdap-app-archetype	2.6.0		03f32a351ffe49c63af9277b678768a3ee96f83a
co.cask.cdap	cdap-app-archetype	2.6.1		21c66568ff06da4d8b73e705aca62c875ffb5e29
co.cask.cdap	cdap-app-archetype	2.6.2		49215de1a359db531693b5ea4b328ab4393750da
co.cask.cdap	cdap-app-archetype	2.6.3		6adc7f0df217ca462d9801b983fe80a86e4792ab
co.cask.cdap	cdap-app-archetype	2.7.0		f4c6da5cfb0ad07e5b9ad0dbfbc344a8894d987b
co.cask.cdap	cdap-app-archetype	2.7.1		312f200a5e2077a4ce4f5f1f2013c41a1f6daf59
co.cask.cdap	cdap-app-archetype	2.8.0		5c93d2f567ddf4c61d009606f5e36ac8f498af92
co.cask.cdap	cdap-app-archetype	2.8.1		4a5e1b37311577bb6e802787243c9e4e7cacd5ec
co.cask.cdap	cdap-app-archetype	2.8.2		b164cf4f9ce8da821ea15c8a63bb7bfc2654f49f
co.cask.cdap	cdap-app-archetype	2.8.3		06d0ec1990df1bf1a68d9c5bec5935b4e5cdd674
co.cask.cdap	cdap-app-archetype	3.0.0		fbe18e0f31e6e1c592603a0588efbee7222fbe80
co.cask.cdap	cdap-app-archetype	3.0.1		3d1466e948c886328665bb18a9c2db75f54edb1e
co.cask.cdap	cdap-app-archetype	3.0.2		beeb06e1765e49f2713fa922e041f889611304c8
co.cask.cdap	cdap-app-archetype	3.0.3		6312024765f6acd76826228f11d7baa982cab73f
co.cask.cdap	cdap-app-archetype	3.0.4		d3a6b39e07f2a7e0e19c14b0e99ae64a0d8ef247
co.cask.cdap	cdap-app-archetype	3.0.5		a980c24485075500d579ecec803465ddc6fc306a
co.cask.cdap	cdap-app-archetype	3.0.6		0c36f16acfd59ebcd879bc1cae0814d9892299b2
co.cask.cdap	cdap-app-archetype	3.1.0		781b0b12bdb51d23b786231b0c5590b44ae5319c
co.cask.cdap	cdap-app-archetype	3.1.1		8ba70e1c6b37925b6e31a179100b941241f4b7f0
co.cask.cdap	cdap-app-archetype	3.1.2		4314d91992ebd8362bd2149a09bfcd2e7edc0273
co.cask.cdap	cdap-app-archetype	3.2.0		00ce7e3e4588863e8fa198d18389e7b7da7e8e11
co.cask.cdap	cdap-app-archetype	3.2.1		f1352ae606d98cda11eeb3b82d30c8b3ef662a8d
co.cask.cdap	cdap-app-archetype	3.2.2		548c429efbbdc783849830ec6a92cf2509ad3fd8
co.cask.cdap	cdap-app-archetype	3.3.0		fadab21db8859effb1a03c0fd35de319e94be871
co.cask.cdap	cdap-app-archetype	3.3.1		b7d2d600a5d9ccf2a798fd4078ec3ae0cd0126b9
co.cask.cdap	cdap-app-archetype	3.3.2		957b3c3820d794e447007dd8eb75325332481e81
co.cask.cdap	cdap-app-archetype	3.3.3		0c2d7e5679eda0991e311562edead2c975aac5cd
co.cask.cdap	cdap-app-archetype	3.3.4		773015285df130d75cf4d553d7db39f877822e8d
co.cask.cdap	cdap-app-archetype	3.3.5		4b4655c276bbcf968dd5623aacce927016e95ba8
co.cask.cdap	cdap-app-archetype	3.3.6		dd2e605dbff21ce84456834a2c1387121a09cd85
co.cask.cdap	cdap-app-archetype	3.3.7		b1fc39bac0bfabd9535491e0f5a70a3828f1ef5f
co.cask.cdap	cdap-app-archetype	3.4.0		583136a0bfdf4616d91375b22b32055fd6d9fb45
co.cask.cdap	cdap-app-archetype	3.4.1		d2dda2394f7b1debba8876e381f36619405a69fa
co.cask.cdap	cdap-app-archetype	3.4.2		17a655c8966b25c2c4133892d12b0cba5eab4382
co.cask.cdap	cdap-app-archetype	3.4.3		52dd6ac30204eb6e414bbe2d9fbae39f806bf6a9
co.cask.cdap	cdap-app-archetype	3.5.0		a1076a790ab13a3725ce42353facd78d24c11871
co.cask.cdap	cdap-app-archetype	3.5.1		4a1a72738137d001c9cf22aec27665de802a353d
co.cask.cdap	cdap-app-archetype	3.5.3		199b88594ce2f946ffc4eabe5f664562ac3b6c17
co.cask.cdap	cdap-app-archetype	3.5.4		19c1175eb516e1e55e112bc1196c2872ac1a97cd
co.cask.cdap	cdap-app-archetype	3.5.5		ef04a74c3b4ae0a53906a5a5e100c887d794182a
co.cask.cdap	cdap-app-archetype	3.6.0		751c0cea836449a95264b995eaedec6c3bc2ffac
co.cask.cdap	cdap-app-archetype	4.0.0		9a77e838e9debba7ebd41d931d4a18ef96e2aee3
co.cask.cdap	cdap-app-archetype	4.0.1		c4ca125a945ada0d5a0729f1b1ce01c569b60e5a
co.cask.cdap	cdap-app-archetype	4.1.0		41ee6da803b45dc729bf39d9ca996eab35018646
co.cask.cdap	cdap-app-archetype	4.1.1		1493faf0c1ede01502ab95a690c25e75e6928d9a
co.cask.cdap	cdap-app-archetype	4.1.2		80c7e69adbd49dec4bbebf7fa385bd23b9855822
co.cask.cdap	cdap-app-archetype	4.1.3		46ff7c3987094f77852cad1db5658f2de1040ef6
co.cask.cdap	cdap-app-archetype	4.2.0		3456569911703482e5123243619aa32b599e2c95
co.cask.cdap	cdap-app-archetype	4.3.0		acef3da1899767440bf870acd6962c35456b7551
co.cask.cdap	cdap-app-archetype	4.3.1		9be0559bcbe318ce93b6e0a3cd3a4729b0a2bbdc
co.cask.cdap	cdap-app-archetype	4.3.2		823343156580eb3b5a6f9e8913e644a37e4decfe
co.cask.cdap	cdap-app-archetype	4.3.3		021a130fbaba990289d198e8381407a94268b833
co.cask.cdap	cdap-app-archetype	4.3.4		4eabb23cdd40b2c8cb7de98643d035c1d93e32bf
co.cask.cdap	cdap-app-archetype	4.3.5		2c4eb6c2b91124570cbc6501ddf64c4fe514a1e7
co.cask.cdap	cdap-app-archetype	5.0.0		04e2765755a8174111e93473f1b40cbcd90b6778
co.cask.cdap	cdap-app-archetype	5.1.0		6a9fd49f9991ebd6da0773165c71bb575426dfbf
