cc.vihackerframework	vihacker-mbg	1.0.6.R		3b8d23f17787e4cfc9ea19af354c6eeadb3eca19
cn.herodotus.engine	facility-sdk-log	2.7.0.0		45f4027030406980ea93b6c3484059c4f2a1bd47
cn.herodotus.engine	facility-sdk-log	2.7.0.10		100c70858a964fe4ab2c1d4824d21b0c657ea031
cn.herodotus.engine	facility-sdk-log	2.7.0.20		3506df55c22b742de60f3a397b95065000efe338
cn.herodotus.engine	facility-sdk-log	2.7.0.30		7c306d5c4d0901a98992363149921fa23bc22a95
cn.herodotus.engine	facility-sdk-log	2.7.0.40		65dcfafb6d2dfd91745dfeb5607fdab6689ed6bb
cn.herodotus.engine	facility-sdk-log	2.7.0.50		084ebcaf22e854523b22d16f9ee680d38722b141
cn.herodotus.engine	facility-sdk-log	2.7.0.60		882f60e1bec97ed0f73f116d6faccb201667cf90
cn.herodotus.engine	facility-sdk-log	2.7.0.Beta1		00294ee3348417eaf3afcf9bcc619c7314783f88
cn.herodotus.engine	facility-sdk-log	2.7.0.Beta2		6460d0ff9b9c3d73bb4361df16de0b1e54ef1e4c
cn.herodotus.engine	facility-sdk-log	2.7.0.Beta3		c932c222f0f7ebfa46c441796b82e57e2398b835
cn.herodotus.engine	facility-sdk-log	2.7.0.Beta4		e0762fbd39d412b893351c7021040595b91dfb32
cn.herodotus.engine	facility-sdk-log	2.7.0.Beta5		a0efd986ce1bf69b7203971604bf0301e989b367
cn.herodotus.engine	facility-sdk-log	2.7.0.RC1		4e897edff82abea4957ed2b533206b2c100ea1bb
cn.herodotus.engine	facility-sdk-log	2.7.1.0		1fcc2f81e6aecadbe9a16d061663482ba1b59f32
cn.herodotus.engine	facility-sdk-log	2.7.1.1		e4dcdcc7e0fd7407e93cf9bde42b2816007b1669
cn.herodotus.engine	facility-sdk-log	2.7.1.2		7a011f8db5e67dd118f56cfd4b1bdc14a107d738
cn.herodotus.engine	facility-sdk-log	2.7.1.3		ac87825d834882f00dbd313c398b7f790d23328f
cn.herodotus.engine	facility-sdk-log	2.7.10.0		1c694236fedc10c2b489b6b1854022005b47840b
cn.herodotus.engine	facility-sdk-log	2.7.10.1		4e518d557e422afc99278361c8a488fb40817301
cn.herodotus.engine	facility-sdk-log	2.7.10.2		448cfa1fdf9e11a1c98f3ace528f395c6fde8ebd
cn.herodotus.engine	facility-sdk-log	2.7.11.0		7071f41da66572518097425321ced2cb081b43ec
cn.herodotus.engine	facility-sdk-log	2.7.11.1		2e8abab493248f4234b57318bfb81d58cca6fe2a
cn.herodotus.engine	facility-sdk-log	2.7.12.0		cd5ccee1c8afd803e78215153adb1d417675fa68
cn.herodotus.engine	facility-sdk-log	2.7.12.1		11a33158f1ab5570dab459704b77803e873568d5
cn.herodotus.engine	facility-sdk-log	2.7.13.0		88b96eb29bf4673144cb5fddbc8443d88e0c05d1
cn.herodotus.engine	facility-sdk-log	2.7.14.0		6a0565314d54db5682437f50bd071e6e978e45d7
cn.herodotus.engine	facility-sdk-log	2.7.15.0		e442475bd78179eb0ae8acb24a103ad0c270fd6e
cn.herodotus.engine	facility-sdk-log	2.7.16.Final		86bf448042311bb967976fef3cb8e66ad149f987
cn.herodotus.engine	facility-sdk-log	2.7.18.Final		af9c3e477efa44f218838104e31d656979df97b6
cn.herodotus.engine	facility-sdk-log	2.7.2.0		042df44c1974f4dc37374366cee2adb16bc56b1a
cn.herodotus.engine	facility-sdk-log	2.7.2.1		8d4fc44464fc7f12ba92ecb89f95ddde503cd35e
cn.herodotus.engine	facility-sdk-log	2.7.2.2		b85eb5d502a403070f65542dd4bd3247309213d0
cn.herodotus.engine	facility-sdk-log	2.7.2.3		ac786b0144a75f9a76c5a173dbfc124efda63168
cn.herodotus.engine	facility-sdk-log	2.7.2.4		76024025092ea147643817a0a9226776765b89ef
cn.herodotus.engine	facility-sdk-log	2.7.2.5		486dd0f7f665dccdc2961d6111a7b2c4246658e9
cn.herodotus.engine	facility-sdk-log	2.7.2.6		05e6d6921957ab215a0fc8b6fdd778befd6fd5b5
cn.herodotus.engine	facility-sdk-log	2.7.3.0		e7d22d973f8087fdaabfa52f8eedb4463eaa3889
cn.herodotus.engine	facility-sdk-log	2.7.3.1		793cadd9b882c54f7898f3f8c0cf71aad220fd1b
cn.herodotus.engine	facility-sdk-log	2.7.3.2		d2c2f3b8a861a17738732aae47f00cf628400530
cn.herodotus.engine	facility-sdk-log	2.7.3.3		31767b776656a7d1b05732192ff70cde89199358
cn.herodotus.engine	facility-sdk-log	2.7.3.4		07b81fdd5d454ba184f1b6d575fb3fde625268bd
cn.herodotus.engine	facility-sdk-log	2.7.3.5		3ded236596eda7c50b4ac0ec8c6df7ed995355c6
cn.herodotus.engine	facility-sdk-log	2.7.3.6		dad067a002440205b6d4b3814e446af5c08b5eb8
cn.herodotus.engine	facility-sdk-log	2.7.4.0		bf54c55c97e2a1e4cf006e46679a15207cd02585
cn.herodotus.engine	facility-sdk-log	2.7.4.1		96697cf4d2fe1cb7b1427c3621c4ce2905ff353b
cn.herodotus.engine	facility-sdk-log	2.7.4.2		1f6d2ff941fb1fcb27476b3655d3c9d6a08cf50f
cn.herodotus.engine	facility-sdk-log	2.7.4.3		cee8684529d813669f9488aab652ab57cafe44dc
cn.herodotus.engine	facility-sdk-log	2.7.4.4		e802ba302d1ca2e02b3fb1174f2e821580fdd0aa
cn.herodotus.engine	facility-sdk-log	2.7.4.5		b621f2d481c52b5063cb7d2c8650bd4e9d5a5107
cn.herodotus.engine	facility-sdk-log	2.7.5.0		fb2374a7774525dcf89eafafb90c1d69b0b0cf34
cn.herodotus.engine	facility-sdk-log	2.7.5.1		ab4a2bf44a9f2289845e0de95dbafd2bff4afcf5
cn.herodotus.engine	facility-sdk-log	2.7.5.2		9317d53bfb93e7d57fb38d4fc96bc7cc574073f9
