cn.net.vidyo	jsmth-faker	3.3.120.RELEASE		f7d9407426834e685ca426f1061e8216134ba34e
com.attafitamim.file.picker	core-android	0.1.0-alpha01		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha02		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha03		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha04		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha05		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha06		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha07		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha08		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha09		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha10		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha11		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha12		N/A
com.attafitamim.file.picker	core-android	0.1.0-alpha13		N/A
com.azure.resourcemanager	azure-resourcemanager-terraform	1.0.0-beta.1		351c97a701461f8630ca9caab2dd7084be964d2d
com.barrybecker4	bb4-sudoku	1.1.2		145dc7053b1be72d1de85189b72885bc6424612f
com.barrybecker4	bb4-sudoku	1.3		faaad6eb375d0ad96359380e1382a1868f42d2c2
com.barrybecker4	bb4-sudoku	1.4		34f113e4a0fdf91b9ca59818f804fcf7ee71922b
com.barrybecker4	bb4-sudoku	1.5		7782ee3d1275b85eee5715d86bfa9a1d4c7da7a7
com.barrybecker4	bb4-sudoku	1.5	scaladoc	3e069ddb58eab4836db50a134a3efaabec27a8e9
com.barrybecker4	bb4-sudoku	1.6.2		0fd324a19bce2030a3c30d8d5ac8ea8c7e2cd32b
com.barrybecker4	bb4-sudoku	1.6.2	scaladoc	9becedd7ac264cbb2907df0f3dba0df84d7e1cb4
com.c332030	c-spring-task-dao	0.0.1		87ad8792ef6b6c2e707fd97fb8fad93147a73bd4
com.c332030	c-spring-task-dao	1.0.0		9372efe0efabb7a7710e883988275a32389e01d3
com.c4-soft.springaddons	spring-addons-webmvc-jwt-resource-server-test	5.0.0		b4c5b3d8fb1f2af1ee57064c11500fc9bb7b3dc1
com.campusdual	utils	1.0.0		f889aea7ff714364eda6e5b6d0368a1497998996
com.campusdual	utils	1.1.0		7c8f81113c514a377d53cace65780b4fffe86ca6
com.codbex.olingo	olingo-odata2-jpa-processor	3.1.2		N/A
com.codbex.olingo	olingo-odata2-jpa-processor	3.1.3		N/A
com.codbex.olingo	olingo-odata2-jpa-processor	3.1.4		N/A
com.daftmobile.redukt	redukt-koin-mingwx64	1.0		N/A
