avalon-apps	avalon-apps-hsql	0.1		f253c9debc737dcecb7a325879f525d00edc331e
ca.ace-design-lab	island-arena	3.0		3237d9d5c583de0d21d2069b4c7f490ae2fc4b90
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.0		94c4a646767f1759e3871469504adf142fb689bf
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.1		9614ab35d966f7af3878e3011aec16ff09c1e3de
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.2		3511affd4d10d5d9598d367b7eef7819edc53f1f
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.3		e74ef1e2d94a154ed4820faab455c5189cce6b7a
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.4		ac6dde9a1b4bb36f2cf831ba19103966d098993d
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.5		47eafccdb2466f3f06d596bb96ea11e21f17f3a4
com.acxiom	metalus-mongo_2.12-spark_2.4	1.6.6		8b5ac0eb589fadc3c3d4819c559b2ba9fc65b76b
com.acxiom	metalus-mongo_2.12-spark_2.4	1.7.0		b209d77a7e7c0584caaa83f8e16170674292cba3
com.acxiom	metalus-mongo_2.12-spark_2.4	1.7.1		7f43d504f08f37b1670984cdc8edf4c635181785
com.acxiom	metalus-mongo_2.12-spark_2.4	1.7.2		c06a9717952aa7018f0755df2b2ced0f7726129d
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.1		b6785116c0593e6949aa999a401e3f53ecf37ec9
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.2		9f553bcabfbe53f9e34eadc129e29eaa024c7f56
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.3		84f834208da994251c3a7e7729a8be0e3a5a5e26
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.4		2938f207e33b37ff81fe9818390f57895999f5c8
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.5		a285692beb94188454e10c799fd3f9e029f6eaae
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.6		a53a367743e864246e60e841d4b8d3adcba0a3ef
com.acxiom	metalus-mongo_2.12-spark_2.4	1.8.7		c9f60eb72566b81978718d3d65aa8192c018fcb0
com.acxiom	metalus-mongo_2.12-spark_2.4	1.9.2		363d27b44fc6294d149650f777c0f7f9a43594e6
com.acxiom	metalus-mongo_2.12-spark_2.4	1.9.3		ea26f3d1fd0dd093faecf0407451cc152bfac3bf
com.acxiom	metalus-mongo_2.12-spark_2.4	1.9.4		c09e46aa2b7aa36e3726944f3a68363e9ec8723f
com.admin4j	plugin-example-api	1.0		cd9ef607722aa080f9613fab79cfd3b57b519671
com.admin4j	plugin-example-api	1.1		ac02cd398da1c3170608fa148cf74c34a27f670d
com.azimo	scala-updatable-config_2.12	0.1.0		fb1db596ab79eee1d4e52a3f4970c7b469dd8935
com.azimo	scala-updatable-config_2.12	0.1.1		5d95c355f00a7a29b0ef34b593f0ae2fbd406106
com.b2wdigital.iafront.persistense	spark-cloud-persistense-gs_2.11	1.0.3		bc0b413274a08a257123bbd98f66d8042a18b299
com.b2wdigital.iafront.persistense	spark-cloud-persistense-gs_2.11	1.0.4		527e3261ec98e8d41cb33ec0c972ea0a846af1a0
com.b2wdigital.iafront.persistense	spark-cloud-persistense-gs_2.11	v1.0.6		08d8a8762188658f8a48325e9947935ce88de636
com.busymachines	pureharm-db-testkit-ce2_3	0.3.0		3a172f19e90a8a3455527827bad2fc0ddc22f3bc
com.github.ansell.csv	csvstream	0.0.1		1fe0cae1607347c42afb7e025d738b544995270d
com.github.ansell.csv	csvstream	0.0.2		46f785153c7362e5141abe0fe34d00dbe49b73f6
com.github.ansell.csv	csvstream	0.0.3		b3b73d3d80f2f49bf7f11e98e42cd92d16cd991a
com.github.ansell.csv	csvstream	0.0.4		7a3565b0f42bd11779559b5226335574b8b618d7
com.github.ansell.csv	csvstream	0.0.5		c27e75a763c9f383e131ffed57cdf139bc98fc14
com.github.nfalco79	bitbucket-rest-client	1.0.0		a3123ee5668d6d91f8b2361cf88bc189629a7923
com.github.nfalco79	bitbucket-rest-client	1.0.1		7eccb3c581b4adc851b6ceaba50f8a034de7c298
com.github.nfalco79	bitbucket-rest-client	2.0.0		56a38fefc16883d07404bc41aa4ee7f442b32069
com.github.nfalco79	bitbucket-rest-client	2.1.0		80cfc6188ae11c8f7e09639732197fddc4d18001
com.github.nfalco79	bitbucket-rest-client	2.2.0		3d77848e9406544430b7ee37473466e4f3c8c0fd
com.github.nfalco79	bitbucket-rest-client	2.2.1		775d00aa1f6a970ec8fd5451787a5181289cbc9d
com.github.nfalco79	bitbucket-rest-client	2.2.2		25133f0a098a9f8eaa327729e83f433f0767ba38
com.github.nfalco79	bitbucket-rest-client	2.2.3		37ba0ec285e47c8b69c26993778868e6b3e8d146
com.github.songyz0310	java-toolkits-file	0.0.1		35bc17545932e51257503d176c2722e566b3d355
com.github.songyz0310	java-toolkits-file	0.0.2		03bcd6789e2b4bae27e6c4ea4f77c82a1d7e772e
com.github.vindell	spring-boot-starter-log4j2-biz	1.0.0.RELEASE		eff5dac1b8159882605b4d471944596c11fba9fd
com.gluonhq	charm-down-plugin-connectivity	3.0.0		72c597a4b6f76ce5c6f21c838ad5cdcb07c29cec
com.gluonhq	charm-down-plugin-connectivity	3.1.0		0fccc9bfd81d3f784a41da1e77efd91330219102
com.gluonhq	charm-down-plugin-connectivity	3.2.0		77d2d8772603b4f47177cd476b432cbe2252847a
com.gluonhq	charm-down-plugin-connectivity	3.2.1		a3eb722c18c1995a2f84ba7f842fe02c81ef4ec1
com.gluonhq	charm-down-plugin-connectivity	3.2.2		1b7fa33c38ec13b76589ef6e122043ee555017e1
com.gluonhq	charm-down-plugin-connectivity	3.2.3		5c2c9b84eaa0aad078df7d758910d5f54e78e51f
com.gluonhq	charm-down-plugin-connectivity	3.2.4		e15454bf1841b24153bff6b05007de13da2edd69
com.gluonhq	charm-down-plugin-connectivity	3.3.0		f835cd277f5552b4d2f85550212498ef61a3fe8a
com.gluonhq	charm-down-plugin-connectivity	3.4.0		1b2000a7325657276f174bf6087403f6fef6eaa8
com.gluonhq	charm-down-plugin-connectivity	3.4.1		2bca2816081abe0b693328618d68fce3680eedd4
com.gluonhq	charm-down-plugin-connectivity	3.5.0		447e370a33ad24f28abd5f5ca2fa8b545364e1f4
com.gluonhq	charm-down-plugin-connectivity	3.6.0		7461662d3c33ccc8cd197ce7372bbda613a89a56
com.gluonhq	charm-down-plugin-connectivity	3.7.0		d7103939237a3b6558528d58ed0c13e5485f71da
com.gluonhq	charm-down-plugin-connectivity	3.7.1		47896d01ae65c8d1389569c5539862ea1d1cedf7
com.gluonhq	charm-down-plugin-connectivity	3.7.2		f142dbc290223876821b443156e64e8dd5ffa162
com.gluonhq	charm-down-plugin-connectivity	3.8.0		470025422fccd5eeca8bf5da368a5231078868b4
com.gluonhq	charm-down-plugin-connectivity	3.8.1		e15ee9c19526c87732c1d809ab6de2eadbf99ec5
com.gluonhq	charm-down-plugin-connectivity	3.8.2		ef8beb4933896d783cfac6c9f880aea2be341b9c
com.gluonhq	charm-down-plugin-connectivity	3.8.3		8c6a9372de5e29be52e73f103fc94702a8ad1061
com.gluonhq	charm-down-plugin-connectivity	3.8.4		4b7524897a322ac06e49eec5ee085148c9e3bb22
com.gluonhq	charm-down-plugin-connectivity	3.8.5		6e65c24a0f07a4041e13105fe1316455c8507784
com.gluonhq	charm-down-plugin-connectivity	3.8.6		bfd721988623053a2940fbf4988ad1e1b749bf9b
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.0_0.12.0		fbc64040c62ba1b48198d9f5585a8dcc4dcd6ed7
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.0_0.14.0		78e4edfaa44cf2a37cffb2d9289f68279b3cb7b3
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.0.1_0.12.0		961c2b7ecc7678eaf2ab9dfcd21ec5225c142fb4
