ca.ibodrov	mica-concord-server-plugin	0.0.1		6659a3702f548b11a6c5800c985a2cda3b19d42a
ch.epfl.scala	cross	0.13.17-sourcedeps		2fbc5562321c85499c0be7aa71a443ab1a1c68f3
cn.lzgabel.jaxb.xml.bind.mvn	jaxb-external-parent	4.0.0		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.13		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.13	metadata	8f3cc8ca31aca2b6b244ca932dfe806be039cbec
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.14		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.14	metadata	adc279197cd7913acf959f4f279cd7fbb63f2ed4
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.15		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.15	metadata	5dfa23db7a27b67b7f9367761aeccfba8bd27f8a
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.15-preview		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.15-preview	metadata	42585c0d058a41086d732c50d8e0cb28d57846fa
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.16		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.16	metadata	224ba6e52c12b8ff36329e0fb963c114f428858b
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.17		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.17	metadata	c6ad25d8aaa0cc220195efc6902c72b0f3b0cda5
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.18		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.18	metadata	d739d8ac0393a79bb7a2c93a03055edb05ce215a
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.18-preview		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.18-preview	metadata	b497194e34db71044b84f02a53ec2a9a1573f94a
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.19		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.19	metadata	42ee03469ff784f36e5c75db888d288b3c4f8c8a
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.20		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.4.20	metadata	b84ca6a9693bcddf07fadb86db32b6983448e397
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.0		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.0	metadata	ad2c5b3191676c9ab053c5a5b44a752addea4fa4
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.1		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.1	metadata	86a6dd4b8dbf9efea2dee494a028ea895196b0ef
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.1-preview.1.9.20-RC2		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.1-preview.1.9.20-RC2	metadata	1fd1a9877d72c2f96e237695faa0a3c4231c4261
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.2		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.2	metadata	3bafcf37e3c63fd40962c53314359b79419a56ee
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.3		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.3	metadata	e5d819811d4ece9e7457f7f22fef89ba149d80e6
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.4		N/A
co.touchlab.skie	runtime-kotlin-iosx64__kgp_1.8.0	0.5.4	metadata	49adf1bb7491784d31d8813769c14445bb91ab32
