br.com.ignisinventum	patterns	1.0.2		f4ea89268029e9afa15575eff96e6e2bd36ab74d
ca.bc.gov.open.cpf	cpf-api-app	5.0.0-RELEASE		a30376c6921af69757a0baea32b26b5649cc448f
ca.bc.gov.open.cpf	cpf-api-app	5.0.1-RELEASE		24c9f6ca1cfc9b2e71098e979eb531eaf882131f
ca.bc.gov.open.cpf	cpf-api-app	5.0.2-RELEASE		ea9282bc4dae899dcf985417cc19905b8d266e40
ca.bc.gov.open.cpf	cpf-api-app	5.0.3-RELEASE		1e6225c79557615f8885fde09e7c0ea2fc9e5eab
ca.bc.gov.open.cpf	cpf-api-app	5.0.4-RELEASE		6ce94bc77ea91c260eff375432f498f66c3e6bc6
ca.bc.gov.open.cpf	cpf-api-app	5.0.5-RELEASE		bb64d6f3f95bb7e2735cb1ec0e94ccf6a2e1fad7
ca.bc.gov.open.cpf	cpf-api-app	5.0.6-RELEASE		453bb8b3a77fb19ce9ec394337a68060fc2b9a3c
ca.bc.gov.open.cpf	cpf-api-app	5.1.0-RELEASE		49b8aed59308f406eb8f3713adb9315a22bf9d9c
ca.bc.gov.open.cpf	cpf-api-app	5.1.1-RELEASE		ad36a408f0e497501af47743a1752e3a687c5f4c
cc.spray	spray-client_2.9.0-1	0.7.0		c01e73c02b60988163b5e61bdd8de4e85addcc4a
cn.com.antcloud.api	antcloud-api-provider-ak_31a66bf9ba7c431fa33f8eed7c26ebd2	1.0.0		902e850f4b2d7603710491d8781ad2ac4dd8972a
cn.herodotus.engine	event-pay-spring-boot-starter	2.7.0.0		55d6e096731dff824c8f4a5493063852c6ab7548
cn.herodotus.engine	event-pay-spring-boot-starter	2.7.0.10		8e162300d204d207af96981b0f68adabb5d71df4
cn.herodotus.engine	event-pay-spring-boot-starter	2.7.0.20		e02ebd4039c0c02e56425205948a5b751c3452a6
cn.herodotus.engine	event-pay-spring-boot-starter	2.7.0.30		acfe84d2df8589b5a6bcd1e87231b4d6928faf45
cn.herodotus.engine	event-pay-spring-boot-starter	2.7.0.40		a2805e7f295f93c43d5cb45a2c3a6c6ed0fab322
